case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,cruise_velocity,cruise_alpha,coarse_runtime_seconds,full_runtime_seconds,coarse_static_margin,full_static_margin,coarse_CLa,full_CLa,coarse_Cma,full_Cma,coarse_Cmq,full_Cmq,coarse_CYb,full_CYb,coarse_CYr,full_CYr,coarse_Clb,full_Clb,coarse_Clp,full_Clp,coarse_Clr,full_Clr,coarse_Cnb,full_Cnb,coarse_Cnr,full_Cnr,coarse_phugoid_eigenvalue_real,full_phugoid_eigenvalue_real,coarse_phugoid_eigenvalue_imag,full_phugoid_eigenvalue_imag,coarse_phugoid_damping_ratio,full_phugoid_damping_ratio,coarse_short_period_eigenvalue_real,full_short_period_eigenvalue_real,coarse_short_period_eigenvalue_imag,full_short_period_eigenvalue_imag,coarse_short_period_damping_ratio,full_short_period_damping_ratio,coarse_dutch_roll_eigenvalue_real,full_dutch_roll_eigenvalue_real,coarse_dutch_roll_eigenvalue_imag,full_dutch_roll_eigenvalue_imag,coarse_dutch_roll_damping_ratio,full_dutch_roll_damping_ratio,coarse_spiral_eigenvalue_real,full_spiral_eigenvalue_real,coarse_spiral_eigenvalue_imag,full_spiral_eigenvalue_imag,coarse_spiral_damping_ratio,full_spiral_damping_ratio,coarse_roll_subsidence_eigenvalue_real,full_roll_subsidence_eigenvalue_real,coarse_roll_subsidence_eigenvalue_imag,full_roll_subsidence_eigenvalue_imag,coarse_roll_subsidence_damping_ratio,full_roll_subsidence_damping_ratio,coarse_gate_longitudinal,coarse_gate_directional,coarse_gate_static_margin,coarse_gate_spiral,coarse_gate_overall,full_gate_longitudinal,full_gate_directional,full_gate_static_margin,full_gate_spiral,full_gate_overall,status,error
107,1.4579640630730393,0.1458571538283369,0.7256214716518858,0.23966436373183858,7,9,4.245267060250576,3.3501277638233407,30.058048479902418,0.22216786100629793,0.0012254000175744295,0.23144939984194934,0.3053909731707638,0.2680531871998559,5.73028545937067,6.327043053257536,-1.7499774529834862,-1.6959840559763901,-23.315737772473145,-22.8222536042626,-0.1211126118120292,-0.13120811144290248,0.11413968903415948,0.11255149012996542,0.0014887179912168361,-0.00011365428094293861,-0.6955658351706051,-0.7335955582054708,0.07010556941043439,0.06882271002370985,-0.055214562378134595,-0.06736173925826118,-0.05658022990578468,-0.057913877805284564,-0.030941144287865686,-0.032626158439688864,0.4604221640734886,0.4603058302510344,0.06705045135082284,0.07070193102374983,-3.134099398901166,-3.0677653008748154,13.567699124193458,13.360806626070683,0.22507031512931883,0.2237860072770576,5.18131817751595,5.80534579142881,0.0,0.0,-1.0,-1.0,43.89959018120908,-705.0128473840183,0.0,0.0,-1.0,1.0,-30.10346279366999,-31.749354950165653,0.0,0.0,1.0,1.0,True,False,True,False,False,True,False,True,True,False,ok,
108,1.3980976171182946,0.27366892468055454,0.8580976929611281,0.15019445193437903,7,8,2.7933727667653265,1.2778798560980875,29.343370531466757,-1.0255385549552176,0.0039078001864254475,0.34398280014283955,0.2896538973063424,0.2702139748570691,4.9724912530025005,4.513588406626665,-1.4403014707538722,-1.219634664223376,-11.945786310379495,-10.743192555035511,-0.1064281854148034,-0.1002250241738984,0.09909990459847624,0.09738471395610074,0.00414790181196512,0.004716746779051801,-0.5636595757807662,-0.49249977637086784,0.053477352516711714,0.052538237047861966,0.01809967313983208,-0.0019447292218847173,-0.06582457572573686,-0.05836078899858069,-0.05660998504145878,-0.040274676406766255,0.4692978170795238,0.4709809783414717,0.11975884306476182,0.08520137653773094,-6.106443166389987,-5.49170168111138,16.687774004591027,15.402365471285668,0.3436391030809117,0.3358404610267137,-1.3884813634342728,-0.12572324823277103,3.826951349164197,0.0,0.34106233606764197,1.0,-5.663119716732538,-0.6946774737078055,0.0,0.0,1.0,1.0,-33.33122920778437,-29.123292917114835,0.0,0.0,1.0,1.0,True,True,True,True,True,True,False,True,True,False,ok,
109,1.7215204266039539,0.2734940452041295,0.31043369622514555,0.239022338750365,7,9,3.893250103147248,6.306812742183097,28.729579165564274,-0.0951244405213008,0.0016659998800605536,0.307749800151214,0.2646444602003528,0.25743073743606887,6.4370408007791475,5.8812814445807495,-1.7035271880098444,-1.5140226193474908,-3.3362022348193023,-3.952728201456937,-0.2577785906663901,-0.2601782888466171,0.0750703238528518,0.09260756362057711,-0.019049903289222708,-0.01881255706117113,-0.6099479025880358,-0.5904206522042861,0.0575180282476089,0.0605498834472637,-0.017630361387359003,-0.005271970833654496,-0.012960902832327151,-0.017861292102527012,-0.04830401725351092,-0.03969975714561418,0.4803763136533801,0.48116380795424335,0.10004999453847845,0.08222836756513091,-4.70013779833233,-5.568717337427289,31.40613750327246,29.41504989829564,0.14800836283048557,0.1860112413237931,3.993273173768678,1.553841994242908,0.0,0.0,-1.0,-1.0,-2.6412017984177583,-1.389757101390219,0.0,0.0,1.0,1.0,-34.750231191650336,-33.63771574157121,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
110,1.45376049493921,0.20311541389417417,0.6887142078624174,0.13977925264311497,8,1,4.469034362635265,3.624717448079852,30.27708309741196,-0.5069369101737369,0.002880499931052327,0.3810998999979347,0.25602582329805507,0.2682161249595274,5.469537484410312,5.070125745401412,-1.400342837505723,-1.359889480489102,-13.326674382337298,-12.513554082812275,-0.12503798594521254,-0.12028981924332595,0.10218385761091305,0.09683763351765566,0.0010274251425277168,-0.0010100334883276325,-0.6360916630530585,-0.5621902595401322,0.059601150094139896,0.05767576893547203,0.0033858645316128012,0.024932185626926465,-0.04750171309776127,-0.04547516922407263,-0.042199366827040403,-0.029479506656570502,0.4561745681212888,0.45717281399163623,0.09211376240924213,0.06434855487774509,-4.639996950795504,-4.356889882806623,16.406748658227688,16.22745736838576,0.2721366176085438,0.2593052149954822,-1.1843951459460502,-1.1344435267332287,1.843077774955821,4.830618760516934,0.5406152918972454,0.22862442770023958,-5.449089346598476,30.789484011943273,0.0,0.0,1.0,-1.0,-34.32687695880118,-30.338765601870325,0.0,0.0,1.0,1.0,True,True,True,True,True,True,True,True,False,False,ok,
111,1.2669191228850343,0.3141920206453003,0.6795759303828238,0.25192495032608436,8,6,4.434142503290166,5.018339495973488,29.42960275111632,-0.5809253373320498,0.0018905000761151314,0.3073559000622481,0.3294951564889187,0.3210891081065471,4.82284496439649,4.449215044553392,-1.589104056265615,-1.4285944904298802,-7.5415344480516495,-7.10420564147821,-0.11550944249001294,-0.10522636377701554,0.09890170118486236,0.09494098000762337,0.003110068123806028,0.004721217666942729,-0.5058848846964547,-0.468474684288319,0.056602006103804996,0.05645883116645162,0.004733709548395894,-0.01218410876350019,-0.058009702284661235,-0.0497326061044268,-0.05045181862760762,-0.0368217002126997,0.4686066821536494,0.46987420755643217,0.10704485044199216,0.07812549675631918,-7.248742380098777,-6.828392400120114,22.79759640998031,21.629710179464936,0.3030124020030545,0.3010494872643935,-1.3793183010160959,2.252531468113703,2.2436001933518823,0.0,0.5237231742229477,-1.0,-3.0979117937879743,2.0623495493409645,0.0,0.0,1.0,-1.0,-30.590760363574795,-28.328572837404167,0.0,0.0,1.0,1.0,True,True,True,True,True,True,False,True,False,False,ok,
112,0.9133413882089301,0.15802325007169876,0.6675392295291394,0.1751863539988497,8,3,3.6321183952197504,3.758153018155854,30.46846791301594,1.0571804382740364,0.002241099951788783,0.28572809998877347,0.31435165102493434,0.31974041795056507,5.019256230750753,5.750995551439369,-1.577811483053688,-1.8388257212490648,-18.319289676122654,-20.659451343245316,-0.09633834024463139,-0.11635104839975459,0.1259466513024825,0.13849194776371865,0.006303375561613256,0.004237488348149934,-0.5915878802225261,-0.6452639735039177,0.08004120004897577,0.08090969426742274,-0.06764143549224923,-0.0953431104527355,-0.08635721898466801,-0.10073034376044203,-0.027901743540215223,-0.02962663686264603,0.4543887803950721,0.45427957626944965,0.061289561354592244,0.06507849859519593,-2.910088735093314,-3.2818323030039784,13.59544215609127,14.64623669947048,0.2093076326078761,0.2186515148253656,5.498025731401139,6.541583528509804,0.0,0.0,-1.0,-1.0,6.859095648952367,15.268378741895123,0.0,0.0,-1.0,-1.0,-23.255821151051137,-25.365873887374335,0.0,0.0,1.0,1.0,True,False,True,False,False,True,False,True,False,False,ok,
113,1.3976425354025057,0.239533367729651,0.33010973507589125,0.1598049759461838,8,5,1.858059624539956,6.50142611446025,29.487358298958792,0.17328862172852016,0.0022700000554323196,0.2718668000306934,0.2695497764610244,0.24884408684871295,6.005958628677825,5.7447197715002485,-1.6189048057942683,-1.4295395457407265,-4.045035698134177,-4.563124189307361,-0.20708693673511167,-0.20376375707806543,0.08890610202549006,0.08967611998087573,-0.010938329795571158,-0.011661439836392127,-0.5936671178959224,-0.5910568470108175,0.062388447267071045,0.06350801179864188,-0.010892522836918392,-0.013938493384539615,-0.018605344413633124,-0.02143670167464724,-0.04036745408973626,-0.03370294099630663,0.46865632156118203,0.46918268388500844,0.08581669423262793,0.07164868450183354,-4.680145103491587,-5.279578457382126,30.007165988625413,28.045914493197763,0.15410447966973695,0.1849983106523851,3.1080010069137587,3.5340863160730263,0.0,0.0,-1.0,-1.0,-2.7746774109286805,-3.3456452536426635,0.0,0.0,1.0,1.0,-31.897093513754044,-31.756846476300613,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
114,1.5719882023071166,0.2540114959077384,0.37429417914424296,0.09500860327610301,4,10,1.5635315032815051,1.5328363671651597,29.46763456939612,-0.6046172790597925,0.001862499862909317,0.2969593000598252,0.2695795478395183,0.2595736593497112,6.008105286712813,5.3578833631565965,-1.6196623065642597,-1.3907653909434954,-4.550124435266248,-4.86893057694481,-0.20577297916138035,-0.2026999166768365,0.08284611819880718,0.08920530172743403,-0.01148880694166143,-0.009448455633236347,-0.6063594795181905,-0.5467866021594019,0.0536470553800369,0.05576982818970965,0.006894812269278792,0.0028245256794770636,-0.018821096331185824,-0.021925749059392,-0.055397978023843365,-0.04202941769449099,0.4674351801193397,0.4688263127227522,0.11769113283803681,0.08929007806571784,-4.804138819877774,-5.140742572817513,27.757159862579698,25.592310487892277,0.17054195061732194,0.19693678091366595,-0.9338633556272494,-1.038989755317809,3.0655922861500424,2.0282757160713207,0.29140635937169773,0.4559164801472907,0.4703603677822165,-0.18477431878617304,0.0,0.0,-1.0,1.0,-34.526552979082744,-31.134429699540764,0.0,0.0,1.0,1.0,True,True,True,False,False,True,True,True,True,True,ok,
115,1.6730643436889623,0.22411638452599902,0.3229378180853109,0.19847951650100765,6,9,2.525731975624103,7.549727669523304,29.09772927339507,0.26578656670644735,0.0015992000699043274,0.3775814000982791,0.2831446978614219,0.301210838609009,6.3236760229239035,6.185415341754948,-1.7905153368843068,-1.8631141422350375,-5.2827902690948605,-5.538557391578105,-0.24368134368995015,-0.24423268777995488,0.08453622287754126,0.09515928205927024,-0.017287907535860375,-0.016512068944862453,-0.644266370059902,-0.6421078794948748,0.06333130735314607,0.06557149238962448,-0.04433520983299934,-0.009715132301152424,-0.015444786621068192,-0.0199283157815452,-0.03895539224278168,-0.033370632908469595,0.4750959412915933,0.47552084799324656,0.08172054127549823,0.07000484469487127,-4.652042582513945,-4.877271956460486,28.23486376586454,28.779551144665497,0.16257050746760876,0.16708764732230288,6.697307889819803,2.51489250096632,0.0,0.0,-1.0,-1.0,-6.510616402722575,-2.141722570651262,0.0,0.0,1.0,1.0,-34.27579407870991,-34.16095962270558,0.0,0.0,1.0,1.0,True,False,True,True,False,True,False,True,True,False,ok,
116,0.8690469518279702,0.1854995299153549,0.3912627727253759,0.23432845049924017,6,7,4.2373512595390554,5.889470750001875,29.780098996724064,2.096680863115923,0.002701899968087673,0.31877440004609525,0.3621974781000918,0.3302509277121609,5.1263432019182895,5.75755870068809,-1.856748579610354,-1.9014391022594652,-8.618583192096901,-9.272860778467193,-0.1293007807803999,-0.15098852633348175,0.1264307861774039,0.12235489422037797,0.001799285938734809,0.001585359292777288,-0.5431324819161243,-0.6142297469680645,0.08645486742690014,0.08704884263560861,-0.1127841393627487,-0.17561017019437417,-0.05389362162502276,-0.05710740465000357,-0.028388978710966444,-0.032827830326905096,0.4649016641349984,0.46460932511527353,0.06095094736529961,0.07048113208799127,-3.19526855812302,-3.437836571149877,20.780681049054664,20.99684373072106,0.15197544169600805,0.16157963226756517,9.033332571867565,11.403838315008167,0.0,0.0,-1.0,-1.0,66.3343198391875,118.50776591455644,0.0,0.0,-1.0,-1.0,-19.76235736191872,-22.34929444668781,0.0,0.0,1.0,1.0,True,False,True,False,False,True,False,True,False,False,ok,
117,1.7719702357114238,0.28065315982731276,0.35383916881148064,0.12198987758012131,7,4,4.551354483410619,4.460995656903521,29.13756733287647,-0.6425700130199309,0.0018706000410020351,0.27737909997813404,0.25244366133066404,0.2487996552835246,6.267384778830081,5.53243016423134,-1.5821615605359398,-1.376466717740931,-3.412944012364997,-3.9333212810611062,-0.2369984288055879,-0.2359129821305918,0.07195418811521252,0.08850041035489001,-0.016292518125692983,-0.014873798921541805,-0.610588489335724,-0.5589779369105703,0.05319900401916916,0.055633105498009094,0.02762274220834933,0.02471754875607756,-0.013202864294499843,-0.018399789105114087,-0.057174291360886136,-0.03940920046513426,0.4725926735297769,0.4744045210427057,0.12010432164518708,0.08278572721721293,-5.001411528368551,-5.763985089882728,30.624068815915308,28.362749504517108,0.16118097938045545,0.19915288643039952,-0.8738190946208042,-1.0886728852000804,6.16007366755592,5.83818694884193,0.14044606215364747,0.18331454309286135,3.205041111131009,3.082664944859466,0.0,0.0,-1.0,-1.0,-36.67574009236837,-33.57568950211277,0.0,0.0,1.0,1.0,True,True,True,False,False,True,True,True,False,False,ok,
118,1.3995841965661184,0.244368601145886,0.8204221812870358,0.24708617423359075,10,3,4.154012821115692,8.229661141487899,29.71357876015925,-0.06575125051220135,0.003902600146830082,0.3051003001164645,0.30097515901080585,0.3391726452391081,5.125580572693374,4.884231386641816,-1.5426724278890855,-1.6565976793671822,-13.63370498636202,-12.316486371788283,-0.10938980717269886,-0.09795405389187228,0.10647014786936843,0.10074654959713593,0.0037966106784732925,0.0014087026734749479,-0.589580086075388,-0.5420518480846156,0.06433855771280184,0.06197857544210254,-0.014839390860325529,0.023363239004028556,-0.06496746889702784,-0.05833993811256825,-0.03806618396715392,-0.026388249115182297,0.465255710067803,0.46606391237863826,0.08154528564827032,0.056528842337056566,-5.193705971924553,-4.691916752362799,16.088962414093423,16.879677088625233,0.3072019667535071,0.2678090596534784,2.0658159782476666,-1.132258500369401,0.0,4.236202159103084,-1.0,0.2582171630558493,3.3546110136735137,-19.538016034628207,0.0,0.0,-1.0,1.0,-33.67529251016647,-30.96060225072068,0.0,0.0,1.0,1.0,True,False,True,False,False,True,True,True,True,True,ok,
