generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
20,1,10752,129.69092200003797,82.9048003837682,561.9939953334979,1.4125333329142364e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
21,2,11264,154.86208691599313,72.73568517845364,633.5267192017901,1.6826649573051992e-05,-2.9712172492350115,2.9712172492350115,1.655941815919429,0.14236581981182095,0.5761427376419306,0.22700438052415844,1.0,8.629952189483834,6.726201567276581,4.058257850352675,19.755665878765285,14.564331966867558,443.45613857731223,1011.361263692379,0.8399141603149474,0.7532118037343025,6.0
22,2,11776,160.8429277910036,73.21428527651226,622.3921988434488,1.5826366053393737e-05,-3.7346376133261607,3.7346376133261607,1.7682920883610844,0.1809992572121836,0.48861266736138886,0.20911369001492858,1.0,8.914972129724681,5.552379923309664,2.713505070235871,17.154167785028356,13.315349674589621,362.7748020895566,1199.1878040490938,0.9401609332213261,0.7370846286716317,6.0
23,2,12288,165.22006137500284,74.37353489483165,605.8068917083438,1.499156659813688e-05,-3.7346376133261607,3.7346376133261607,1.7682920883610844,0.1809992572121836,0.48861266736138886,0.20911369001492858,1.0,8.914972129724681,5.552379923309664,2.713505070235871,17.154167785028356,13.315349674589621,362.7748020895566,1199.1878040490938,0.9401609332213261,0.7370846286716317,6.0
24,2,12800,170.01265479100402,75.28851317412222,591.644038672694,1.4397336297388232e-05,-4.684583903587135,4.684583903587135,1.7696743567598803,0.17520319121277655,0.367890543351424,0.2891423743918386,1.0,8.455852491971834,5.840551420685967,3.3107666302703764,21.391031303754403,16.488836312387598,281.63137175142765,1138.439176526685,0.9758826790668893,0.773925588466227,6.0
25,2,13312,175.889138166036,75.68403676771516,581.7871493184268,1.4342318104845839e-05,-4.684583903587135,4.684583903587135,1.7696743567598803,0.17520319121277655,0.367890543351424,0.2891423743918386,1.0,8.455852491971834,5.840551420685967,3.3107666302703764,21.391031303754403,16.488836312387598,281.63137175142765,1138.439176526685,0.9758826790668893,0.773925588466227,6.0
26,2,13824,181.4926820830442,76.16836029606229,571.3658510021762,1.4267133078723445e-05,-4.897890761480327,4.897890761480327,1.8193483490418643,0.1771320954838095,0.6991582207381726,0.29055979650778707,0.0,11.02467872603485,6.641376837815793,4.1354628875746595,16.885605547577143,12.724643612114953,303.8831282460342,2347.1615184228635,0.9638032535602641,0.9038086963621921,6.0
27,2,14336,188.29026162502123,76.13776663898872,564.8707848750637,1.4290619623393312e-05,-5.091659540730267,5.091659540730267,1.4723681338433177,0.1901930544929771,0.5071688188043427,0.08385717829512063,0.0,9.373518123069339,6.80208366450101,2.5822990805596486,18.767851580555625,14.711817452952532,285.3255426372764,2456.097007265863,0.9027727677841655,0.9481859929619971,6.0
28,2,14848,194.76077200000873,76.23711822214041,557.4187612414044,1.3794234455250892e-05,-5.091659540730267,5.091659540730267,1.4723681338433177,0.1901930544929771,0.5071688188043427,0.08385717829512063,0.0,9.373518123069339,6.80208366450101,2.5822990805596486,18.767851580555625,14.711817452952532,285.3255426372764,2456.097007265863,0.9027727677841655,0.9481859929619971,6.0
29,2,15360,201.49384241603548,76.2306173519951,550.7498359371637,1.3579404484110797e-05,-6.269520053324108,6.269520053324108,1.5362607386294076,0.28501798129085126,0.770494415226545,0.22341962784491085,0.0,9.201582951492533,7.444295143644327,3.3783789563422424,18.823691517376982,12.559145175446652,387.0607084385354,1782.5150862336159,0.9372031683011733,0.8199954575711674,6.0
30,2,15872,209.4496221659938,75.77955899782461,547.2715934014677,1.3561301190635374e-05,-6.269520053324108,6.269520053324108,1.5362607386294076,0.28501798129085126,0.770494415226545,0.22341962784491085,0.0,9.201582951492533,7.444295143644327,3.3783789563422424,18.823691517376982,12.559145175446652,387.0607084385354,1782.5150862336159,0.9372031683011733,0.8199954575711674,6.0
31,3,16384,233.5694701250177,70.1461539097147,583.9236753125442,1.8184730103541783e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
32,3,16896,237.14697108301334,71.24695678312312,567.7154762290319,1.713193899605197e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
33,3,17408,241.66013987502083,72.03504892864368,554.3967914779889,1.6625247852240214e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
34,3,17920,245.98381704103667,72.85032086891499,541.1643974902806,1.6042637742767148e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
35,3,18432,249.59871570800897,73.84653381615362,526.9306220502411,1.566169389074045e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
36,3,18944,253.7367363750236,74.66006014990559,514.3312223818047,1.5095727227396617e-05,-5.93186718574306,5.93186718574306,1.636115402847901,0.34357098113745455,0.8914731100201607,0.1792095160111785,0.0,7.50032328614912,5.535805421339495,3.378378378378378,16.646744539029896,12.296206014381744,247.37290320917964,1489.1471322625875,0.9280134150758386,0.9313481370918453,8.0
37,3,19456,258.71920966601465,75.20121921026315,503.8216188232917,1.4832492461711212e-05,-6.101461686020284,6.101461686020284,1.399625664861808,0.2666084419073893,0.3948025737711588,0.10509084691385921,0.0,13.59921014027524,11.540385436673407,2.672710014847427,21.875141692792134,15.37587952747379,234.43886867593974,2309.189500844539,0.8151606721533309,0.8250266383327319,8.0
38,3,19968,265.16838441602886,75.30309483905796,496.340822112054,1.4767870627329576e-05,-6.101461686020284,6.101461686020284,1.399625664861808,0.2666084419073893,0.3948025737711588,0.10509084691385921,0.0,13.59921014027524,11.540385436673407,2.672710014847427,21.875141692792134,15.37587952747379,234.43886867593974,2309.189500844539,0.8151606721533309,0.8250266383327319,8.0
