rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
2302,3015,18.84765428283446,-18.84765428283446,-18.847714285714286,True,1.134035652150959,0.19222983354061285,0.49744584744330095,0.1915838612616062,1.0,10.35638939816523,5.937230393031989,2.809696794865815,16.65910407435149,12.160445279457836,410.0557759841468,1675.9755469895467,0.9106107510010919,0.7509551146067679,8
2303,208,18.848285714285716,-18.848285714285716,-18.848285714285716,True,1.4582967006709535,0.3101985815753282,0.6027308500080484,0.176148419701946,0.0,10.348163631755174,8.97909849150395,1.3436643220337332,21.47542739363507,16.215673806472456,480.6643080897629,1255.0269869720496,0.6324379127472639,0.6853125413244062,8
2304,2569,18.848857142857142,-18.848857142857142,-18.848857142857142,True,1.5033741236086935,0.21588577870279552,0.776915810443461,0.24687269872054457,1.0,10.335840921686533,9.865815528926055,3.9112558704800904,14.84673772007227,6.039119040073006,214.38455060124394,1999.261923134327,0.655294400639832,0.8631990873254836,6
2305,1801,18.84914285714286,-18.84914285714286,-18.84914285714286,True,0.9288334374514,0.28574108329563,0.7314230318368385,0.08112357532013081,1.0,10.332974364417336,7.424595300142837,1.5034008847921554,22.531012367126685,16.182840877925322,309.8795807535791,1888.398865411105,0.9490483755846262,0.9719893265729403,8
2306,1114,18.84942857142857,-18.84942857142857,-18.84942857142857,True,1.4023502963152137,0.3053721984475851,0.8552733010404829,0.2910685976418935,0.0,10.329703855691202,8.291073019837528,2.910923399614708,11.85663895900818,7.152325661407856,310.4316069925008,1161.334354430437,0.8950291147382614,0.8192200381308794,8
2307,1535,18.84942857142857,-18.84942857142857,-18.84942857142857,True,1.312105451826627,0.2576395309332678,0.7448576491447136,0.17892150456749822,0.0,10.329321787414617,7.290238258101855,2.5484901419840753,16.22428177872613,12.142762707187053,369.4299877216923,2034.528752970735,0.9394452137618785,0.9797637766478924,8
2308,1792,18.849714285714285,-18.849714285714285,-18.849714285714285,True,1.3257404382365143,0.19249287469915577,0.565399655723447,0.13354037603593194,0.0,10.324396489113221,7.615239913633637,2.4816684587046107,21.371146557122437,10.322783507793366,252.53385773729116,1694.5988597410967,0.767206467583104,0.8470786714973146,8
2309,2886,18.849714285714285,-18.849714285714285,-18.849714285714285,True,0.9582863983652555,0.21281897981524053,0.46001181565225124,0.08655633016128929,1.0,10.322050074568109,9.727389635803062,1.0717444852157698,12.859483120299593,5.353379890868936,463.8035535812378,1366.7832345496208,0.5068560932517258,0.7663167346216933,8
2310,758,18.850026308993545,-18.850026308993545,-18.850026308993545,True,1.5689893988759605,0.3663314344118362,0.7484094609106221,0.11496097653537307,1.0,11.256095466242177,9.099182711723634,2.761380382507439,18.99910776349824,8.122179977499313,395.5614798588408,1657.8958463273939,0.8160401880597928,0.7295790034332931,8
2311,30,18.850571428571428,-18.850571428571428,-18.850571428571428,True,1.082706306574866,0.15925697884703818,0.7061302920517313,0.26873234911229893,1.0,10.311235094837201,7.563665278054431,1.4520755342075713,19.59908054075124,10.678071766602983,224.70160135999322,1323.509081564423,0.6934748354194207,0.9837069145271025,8
2312,410,18.850571428571428,-18.850571428571428,-18.850571428571428,True,1.4135308691882993,0.36310780141222687,0.3734597880408021,0.12220411998367367,1.0,10.310816777600188,10.229975614648446,1.5934992087035171,15.07719645600034,11.81634079805911,272.5670316256583,1653.2480805755094,0.9650230291171955,0.682308223172483,6
2313,2025,18.851142857142857,-18.851142857142857,-18.851142857142857,True,1.2237985941075382,0.3680797016378139,0.540165536720726,0.29392758987022016,1.0,10.302091072736621,7.492996259393805,2.3327617796253675,18.10784581130416,9.26361700487075,247.72572157315005,1537.7024069311258,0.5962247609957961,0.8302782656777028,8
2314,2340,18.851142857142857,-18.851142857142857,-18.851142857142857,True,1.7041973929569454,0.193102270672954,0.45717071928083897,0.14910796624210815,1.0,10.299697668641228,7.654124286174121,3.27360961958766,20.15909640584141,8.176891570515833,351.1017192460004,1085.3136028038443,0.9597375574669296,0.6416636701869265,6
2315,246,18.85142857142857,-18.85142857142857,-18.85142857142857,True,0.9904983736071736,0.1548430324345827,0.4020256564021111,0.1488404165394604,1.0,10.296544005776822,8.360398196082619,3.378378378378378,11.909070648252964,8.028293458825665,411.4858044311404,2605.481604114175,0.532565541099757,0.5784662552177906,8
2316,849,18.851714285714287,-18.851714285714287,-18.851714285714287,True,1.1835795482214162,0.20082900311797858,0.6890477491446713,0.16775976272931503,1.0,10.290833778773262,6.6469144701102545,2.8691991974983417,15.85238319600825,9.40776859247184,262.64249040956497,1818.0767855648874,0.5229390626614293,0.575471654365139,8
2317,1883,18.853714285714286,-18.853714285714286,-18.853714285714286,True,1.2156333907099794,0.2018118422083726,0.6955470490901153,0.2555340255506542,1.0,10.262417253547557,10.23637672711502,3.356449758457513,22.197708399595005,12.623406436470276,258.1208876583419,1424.280743452277,0.997890899777234,0.6346704306773059,8
2318,2628,18.853714285714286,-18.853714285714286,-18.853714285714286,True,1.1655523607843064,0.1326875986206178,0.7432995858233086,0.14735854346587415,1.0,10.262071834374824,8.724003018399184,2.218914114384685,16.496337543155132,11.127668131205832,230.92282266627768,1593.5169411020001,0.9640103069608257,0.698792114306278,8
2319,2501,18.854285714285716,-18.854285714285716,-18.854285714285716,True,1.6889040738356387,0.38512796071773897,0.6571426044820259,0.1303651685802972,0.0,10.250387708450743,6.228380944763365,2.1119718237947565,12.604500656016171,7.066037772982963,414.65478966675283,1427.4299226957764,0.6665709541127343,0.6040625208072083,6
2320,2852,18.85457142857143,-18.85457142857143,-18.85457142857143,True,1.7981602802829868,0.2400576341617057,0.7717440492999733,0.196447547944011,0.0,10.246980802891326,9.104072184512527,2.802154387303692,11.406606078768036,9.118848390509122,342.2650044197707,2235.9667034819554,0.9719572702483417,0.8757924785498756,6
2321,211,18.855714285714285,-18.855714285714285,-18.855714285714285,True,1.235111568303143,0.26374513424890655,0.709368460976407,0.2449354229232628,1.0,10.22752056617152,8.775145505747124,2.0151718206971525,16.96138025258243,13.56410824392998,201.7465929516677,2355.5798848634086,0.862420077817562,0.542306616005002,8
2322,1128,18.856,-18.856,-18.856,True,1.4718231041122747,0.12623760348668003,0.7188697755303016,0.2468116378251645,1.0,10.225756578213506,7.922574574873702,2.4414679845795035,15.447535806341335,11.536650263803423,346.0862180708732,1386.9924220703392,0.7853412863488796,0.7207202557976469,6
2323,2532,18.856,-18.856,-18.856,True,1.3813056810020252,0.17589052600189364,0.38565430872304485,0.10243256283479196,0.0,10.223510016125482,8.023700068837226,3.12670483900298,16.004387130658458,9.597280573243673,396.25727413222194,1983.4537467386472,0.8198253646747353,0.8433695442769367,6
2324,2847,18.85742857142857,-18.85742857142857,-18.85742857142857,True,1.4572082628251415,0.15060899939284533,0.8261569105088711,0.2100910785612289,1.0,10.201387801277388,8.890367322902673,2.1493882082867106,13.448591563006861,6.669283846139031,237.7277480992011,1667.2006054523317,0.5843037055857544,0.917176579350655,6
2325,3018,18.858,-18.858,-18.858,True,1.4327556040315865,0.3542620006967496,0.7967764337922569,0.09555152742067469,1.0,10.193551358367616,9.707660946230657,3.7989848367869854,13.23620750950705,9.23440627423825,378.2586557017898,1979.6525181905579,0.60125618474558,0.6425894056941115,6
2326,2291,18.858285714285714,-18.858285714285714,-18.858285714285714,True,1.3019427391420062,0.2656936192885041,0.8219744457434235,0.2749322217825223,1.0,10.18583200455995,8.750393895882048,2.9122405334185055,21.977638474259713,11.327137028951341,370.83331465682494,1133.2867946475744,0.7282529125253496,0.6164187006820875,6
2327,2826,18.858285714285714,-18.858285714285714,-18.858285714285714,True,1.6009687191789908,0.24095014847072974,0.6391235871422568,0.14467995570431022,0.0,10.187535809720705,9.985414156168922,2.348743248178084,22.218164881801826,16.266041951830612,446.4631290233758,2625.8843194371666,0.8603343870817637,0.859750218260565,8
2328,1133,18.858857142857143,-18.858857142857143,-18.858857142857143,True,1.5143564225323771,0.12489171393261803,0.6816158084313587,0.16879834280634912,1.0,10.178446299993588,7.02325171230645,1.683379569556564,21.60804506383063,16.22936860020455,238.19624597868636,2219.5804493884325,0.8381878695510664,0.5093636582580706,6
