generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
13,1,7680,252.58463439997286,30.40565004377331,1633.3806357864912,0.0,8.208163560305653,-8.208163560305653,1.7650987470850348,0.3186899517849088,0.7251202890649439,0.15114841554313896,0.0,0.3296146467413753,0.04004214855935424,3.2583728994986743,1.7985458097721931,2.2384873976981314,11.602730248123407,5.234778940256504,617.7956505212933,2663.975615054369,0.974381506908685,0.7790945754386485
14,1,8192,261.2185302999569,31.36071545381232,1567.3111817997415,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
15,1,8704,270.7905466000084,32.14292415036519,1513.2412898235764,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
16,1,9216,282.17765770002734,32.66027535673001,1473.5944346556985,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
17,1,9728,293.5302628999343,33.14138686720802,1436.7533920891522,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
18,1,10240,304.87210939999204,33.58785433063385,1402.4117032399633,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
19,1,10752,317.8859999999404,33.823446141075785,1377.5059999997416,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
20,1,11264,330.485416600015,34.08319833256899,1351.9857951818797,0.0,-4.777470947408316,4.777470947408316,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
21,2,12288,379.0029050000012,32.42191507740544,1389.6773183333378,0.0,18.961736878700332,-18.961736878700332,1.4800071950122713,0.18937130622565745,0.5071906641125679,0.20938975661993026,0.0,0.5512896518412977,0.016503740230854602,0.9257722038730947,0.5949252883218747,2.213352722896112,13.986913515254855,9.16002042628648,339.6774874534458,1443.5582030564547,0.8476100503467023,0.7478273850865662
22,2,12800,386.3870179000078,33.12740699614417,1344.626822292027,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
