generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
27,2,14336,419.56915950006805,34.16838362734255,4525.35307746502,2.871469835510087e-06,-5.30835882135391,5.30835882135391,1.4719673923576597,0.39736262898628594,0.8020437197471212,0.12017082672249949,78.0,14.0,1.6618307638903504,3.3839262161444785,18.182245230947814,8.391569157862829,399.93088936091397,2092.3221232935316,0.798911610976582,0.7564359474832887
28,2,14848,437.63789679994807,33.927591985452025,4542.379549544289,2.217665711015508e-06,-5.30835882135391,5.30835882135391,1.4719673923576597,0.39736262898628594,0.8020437197471212,0.12017082672249949,78.0,14.0,1.6618307638903504,3.3839262161444785,18.182245230947814,8.391569157862829,399.93088936091397,2092.3221232935316,0.798911610976582,0.7564359474832887
29,2,15360,453.5941731999628,33.86286885398037,4535.941731999628,1.908840134687809e-06,-5.30835882135391,5.30835882135391,1.4719673923576597,0.39736262898628594,0.8020437197471212,0.12017082672249949,78.0,14.0,1.6618307638903504,3.3839262161444785,18.182245230947814,8.391569157862829,399.93088936091397,2092.3221232935316,0.798911610976582,0.7564359474832887
30,2,15872,468.91595400008373,33.84828318295428,4522.770007936292,1.481717263768836e-06,-5.30835882135391,5.30835882135391,1.4719673923576597,0.39736262898628594,0.8020437197471212,0.12017082672249949,78.0,14.0,1.6618307638903504,3.3839262161444785,18.182245230947814,8.391569157862829,399.93088936091397,2092.3221232935316,0.798911610976582,0.7564359474832887
31,3,16384,507.064095800044,32.311496979783946,4722.03439213791,8.372625898049945e-06,-4.825903246765661,4.825903246765661,1.3988591346923196,0.3478858236173593,0.7073285103667345,0.2639014713279903,54.0,11.0,2.8130107740900927,1.844992246478796,19.9125071694734,12.666511791509677,292.8376614116132,1736.1766767901179,0.7923786431326181,0.559139212149882
32,3,16896,523.1496260000858,32.29668752548669,4708.346634000773,7.081485929795364e-06,-5.03559688885835,5.03559688885835,1.5056829918288483,0.39583788041383894,0.6703586261467979,0.21256816859611805,71.0,17.0,3.614363727653606,1.5238365986952285,22.722199390590294,12.89510734059947,291.5644052568805,1676.8307611346245,0.6895717769154085,0.5395891908649413
33,3,17408,541.044534600107,32.17480056954365,4710.270065930343,5.683339415163134e-06,-5.03559688885835,5.03559688885835,1.5056829918288483,0.39583788041383894,0.6703586261467979,0.21256816859611805,71.0,17.0,3.614363727653606,1.5238365986952285,22.722199390590294,12.89510734059947,291.5644052568805,1676.8307611346245,0.6895717769154085,0.5395891908649413
34,3,17920,555.3124714998994,32.27011983288988,4680.490831213438,4.742207445422425e-06,-5.03559688885835,5.03559688885835,1.5056829918288483,0.39583788041383894,0.6703586261467979,0.21256816859611805,71.0,17.0,3.614363727653606,1.5238365986952285,22.722199390590294,12.89510734059947,291.5644052568805,1676.8307611346245,0.6895717769154085,0.5395891908649413
35,3,18432,575.9384055999108,32.00342227707632,4703.496979065938,4.012494931677078e-06,-5.052854122621564,5.052854122621564,1.4962863831650466,0.3189152796397838,0.8622457039488243,0.20797649404247118,80.0,22.0,3.5461461637887908,2.2805908611547334,15.064325626897759,10.994791537706456,371.7741204736544,2597.780972524236,0.9014582315616076,0.507757389889438
36,3,18944,588.8306334998924,32.17223921826319,4662.90204366131,3.3622308863807902e-06,-5.052854122621564,5.052854122621564,1.4962863831650466,0.3189152796397838,0.8622457039488243,0.20797649404247118,80.0,22.0,3.5461461637887908,2.2805908611547334,15.064325626897759,10.994791537706456,371.7741204736544,2597.780972524236,0.9014582315616076,0.507757389889438
