case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_wing_induced,coarse_CD_tail_profile,coarse_CD_tail_induced,coarse_CD_body,coarse_D_wing_profile,coarse_D_wing_induced,coarse_D_tail_profile,coarse_D_tail_induced,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body,error
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,30.174699362710825,0.2600400686085087,-1.0301053053888394,30.32165062036064,0.1540309919078018,-1.2406313246527303,0.018438386749931396,2.3333273359282574,0.007102995295138268,0.004362597619588327,0.0014528287924591194,1.938971398969928e-05,0.005500575328755985,0.8988645977489104,0.5520747785312,0.18385150403036846,0.002453715192201629,0.6960827404255774,0.019732632777065082,2.497108904716835,1.8942592400659986,0.6028496646508364,0.8611720436828885,0.23389609634525255,0.7991911000378575,
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,30.365534976999523,-0.1042585465277269,-0.36436569956370113,30.34529476379194,-0.22009734861625707,-0.4353514448534488,0.017145024594377934,2.3198676330691566,0.007715995092958892,0.0023483380916919814,0.0018616157127546713,9.387367019264347e-06,0.005209688329953126,1.044039754772089,0.3177501146429402,0.2518924375674962,0.0012701905901536788,0.7049151354964778,0.016754258409911245,2.266992083020289,1.9216406911074067,0.34535139191288217,1.0017777800303256,0.28941544249090295,0.6304474685861781,
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,29.893403567715943,-0.7725578723616465,-0.7716102241803957,29.950447026453947,-0.7360345912717179,-0.8805004951156101,0.014189321053783632,2.7414689159776082,0.00667645698852374,0.0018381847949334807,0.0020056879304782057,0.00013305871150613195,0.003535932628342073,1.289934820244177,0.355149232160693,0.3875119250396591,0.025707806611143247,0.6831651319219361,0.014667937349045144,2.8339387376445817,2.4696002127122547,0.36433852493232777,1.2841483132839977,0.39968672722667664,0.7857651722015802,
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,30.25013543095168,0.24966429483496994,-0.866226910424538,30.37101382120966,0.1398245831849308,-1.060766227385178,0.018357840995464968,2.276207348588535,0.007295644355547539,0.003981345238447511,0.0014271382598047369,1.1631173031987179e-05,0.005642081968633193,0.9045943528374681,0.4936510394256558,0.1769523221833047,0.0014421609564356861,0.6995674731856706,0.0194070679313961,2.406300403818166,1.8607196044375216,0.5455807993806443,0.8655140885046677,0.2274548907985446,0.7677506251343091,
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,29.70396474456985,-0.9605014121254223,-0.8102677887620101,29.750394111424512,-0.8702577791644963,-0.8644412281923133,0.013650618984306858,2.9640082502428773,0.0064633517924472805,0.0015965915270534227,0.00228002757436553,0.0002041095927176302,0.0031065384977229955,1.403410941222501,0.3466736903209018,0.49507063005493746,0.044319053770695276,0.674533934873842,0.014088972587203962,3.059187444791267,2.714054710174577,0.3451327346166895,1.426636841332921,0.4820485658937963,0.8053693029478598,
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,ok,30.47811569657831,0.4461643809970348,0.3189865192292253,30.475731548549415,0.4042103320213102,0.4691913736019344,0.02152435075994879,2.140535655604728,0.008454453717180803,0.0030022097929645005,0.002886383755729447,4.030761063871491e-05,0.007140995883435325,0.8407714514650707,0.2985612518173576,0.2870426808130992,0.004008477594824654,0.7101517939143761,0.021424749261128112,2.1306291007885454,1.7297870613184094,0.4008420394701359,0.8283616137779011,0.3169074814638738,0.5845179660766348,
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,30.036923700383262,-0.7626924876320057,-0.32382976345593495,30.087158747447887,-0.8588226195537356,-0.4200707560332484,0.014055701020697484,2.613204202653957,0.007329056313418624,0.0012891200031373525,0.0016768007137120467,5.0799868164742854e-05,0.0037099241222647186,1.3626016042537215,0.23967028076104063,0.3117470032717042,0.00944459680715274,0.6897407175603377,0.014320520493684987,2.6624370066249163,2.4213409043585634,0.24109610226635309,1.3314863992040054,0.33762786796133737,0.7522266371932206,
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,30.254092652642804,-0.0839763558583022,0.05658511791879824,30.224888529873052,-0.21168983686358495,0.11125369707712135,0.01911819875185433,2.464339785119492,0.008182043984928158,0.0019461752111179613,0.003561250091258455,1.0736083259073488e-07,0.005428622103717168,1.054667166994505,0.2508623884405499,0.45904587553246395,1.3838833592586202e-05,0.6997505153183806,0.018630946200888534,2.4015311753939703,2.1174677505429527,0.2840634248510173,1.0221726657669716,0.4451794312061174,0.6501156535698637,
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,29.746200818075373,-0.37847459274984707,-1.4202824204492268,29.659899945110716,-0.32081573982269096,-1.390365864694099,0.016969223074953247,3.107345670714836,0.006428688547046822,0.00313212723298649,0.003413241001875151,0.0003010516976680494,0.003694114595376733,1.1771992999800334,0.5735443487636174,0.6250209336889363,0.055127549757474234,0.6764535385247745,0.016432595749208606,3.009078250028568,2.511670402872441,0.49740784715612746,1.1686346117752604,0.5790612785780603,0.7639745125191202,
39,0.9854490663268253,0.24435446015817283,0.5880971411727625,0.12551307755084729,9,10,1.8164064648352531,5.113746591310805,ok,30.225951478711025,0.13715262997824873,-1.1179350504624361,30.2048841008299,0.06924829577189633,-1.2713466229740575,0.01843692099789801,2.484327818049499,0.007049971926814714,0.003966181652593219,0.002187481667746449,4.9889432998574044e-05,0.005183396317745052,0.9499656355988421,0.5344328053528158,0.2947575443467699,0.006722473141757493,0.6984493596093138,0.018074083220434994,2.435434679941839,1.8812465714885935,0.5541881084532461,0.9111692247590039,0.32642236907305144,0.6436549776565381,
40,0.9721990711003974,0.1694015411004398,0.4529026812479918,0.08487364954932287,7,2,3.2642883542088232,7.715469857529972,ok,30.508366852329477,0.8362630662158465,-0.4426570789903763,30.49697757647383,0.8048998007029804,-0.36505995942470915,0.022543929991072787,2.116636099560732,0.008062405294633571,0.0047335160871632784,0.002156647613842269,1.2633178670567196e-05,0.0075787278167631,0.7569744096379233,0.4444269935148288,0.20248635421143069,0.001186121587359078,0.71156222060919,0.02230189867602218,2.0939104813356746,1.5277204882487996,0.566189993086875,0.7410592223900213,0.24884275712443332,0.5378185087343449,
41,1.269371898894717,0.3454721170867479,0.8925002581829862,0.1412541364741185,8,10,2.1868247915063694,8.92599633752307,ok,29.62772705978343,-1.1672527857864403,-0.6592741304400245,29.701962814177342,-1.007668961478082,-0.7847402813503074,0.012671190412674987,2.9875973232883104,0.006270194395020486,0.0013588545724687328,0.001997105222537427,0.00019882591185916478,0.0028462103107891774,1.478378540687238,0.32038902038633565,0.47087495514309285,0.04687892318914318,0.6710758838825007,0.01335776739391585,3.1494754093547663,2.8028026951030975,0.34667271425166857,1.5374568677186222,0.4645834422514546,0.8007623851330206,
42,1.0395724669381083,0.12249854071797198,0.5218851278798544,0.1743307528614404,6,1,3.269428833964043,3.440067060993653,ok,30.62710886181375,1.2014635473920612,0.9588217929949499,30.684944625811973,1.3902107516960573,2.0790963546244607,0.02492849102094355,1.823894743672745,0.009137902174284746,0.004281375587463858,0.0015428277431243993,0.00016509674228015506,0.00980128877379039,0.668575235054194,0.3132471365035146,0.11288109692291223,0.012079314395295125,0.7171119607968292,0.0266447962834573,1.949466991796533,1.447937601551795,0.5015293902447377,0.6922562353906686,0.1647727901666015,0.5909085759945248,
43,1.5433368653996176,0.25723380818867303,0.31111909025929074,0.19065511243994177,6,5,0.5671942394521928,9.382885148621579,ok,29.581078894711336,-0.665647255445079,-0.9903916311474403,29.327578928557585,-0.7170017648015747,-0.7947504300233736,0.016851376871217634,3.585570626654576,0.0069733635012628505,0.0015751949151349928,0.004830576528547489,0.00032825963410003763,0.003143982292172266,1.4837652454274797,0.33516386596340897,1.0278313423842727,0.0698458120627402,0.6689643608166748,0.015060997558471546,3.204618450768751,2.9651687929367716,0.23944965783197958,1.4554675479909256,0.8557526381382572,0.6539486068075886,
