rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
2238,1669,16.790734434737278,-16.790734434737278,-16.790734434737278,True,1.3532317543627745,0.364012788308317,0.6129487232809872,0.21381424974120328,0.0,0.4915908274404416,5.088597414145807,2.038011024113965,4.225819654042038,16.477928199400708,9.986747578677589,424.8834111899995,2220.8695946316734,0.8087285825805937,0.5131365828218937,6
2239,1146,16.791098000174365,-16.791098000174365,-16.791098000174365,True,1.5740701905695376,0.39026930654697933,0.3715183104337706,0.1667643956044903,0.0,0.4005023487132513,5.109283795628494,1.1224544465463442,3.54635753940539,14.724668506587197,7.761085094352868,470.4217926783405,1184.4455459019528,0.8498464709706546,0.7732104143860827,6
2240,1944,16.771720720377992,-16.771720720377992,-16.793674772706137,True,1.5939414063969919,0.37510159581420743,0.37745581745807844,0.1628539653475361,1.0,0.2895930406237644,4.964245053981618,4.736897260822815,3.0659504720610884,17.806683235827734,9.586320130076341,317.4635807898319,1432.4022723269181,0.8196201432023287,0.9177030956654342,8
2241,1361,16.795074041173354,-16.795074041173354,-16.795074041173354,True,1.5078757226161903,0.35978390239281255,0.39814591596745763,0.16818439618700112,0.0,0.39436309062509967,5.050073925508923,1.5718260642385573,4.34725242241201,20.113937129886303,12.389067022259677,336.1188092481765,1676.206706877239,0.8010647393805227,0.7165434264703748,6
2242,538,16.797008427903798,-16.797008427903798,-16.797008427903798,True,1.4478790786778746,0.34410881442944,0.5065882198632066,0.21782120609957656,0.0,0.20514007278679516,5.0172715435919635,4.207924247766691,3.801826357780611,14.464373845218885,11.210394825675698,515.63657904562,2772.4083978485664,0.656917075678001,0.5268658360346123,6
2243,2921,16.79785605940813,-16.79785605940813,-16.79785605940813,True,1.6841411710597924,0.3304006409593789,0.8714764889844604,0.2799177729353456,0.0,0.20905278361647958,4.576131459494937,3.1406654988924085,4.130921305434512,12.61397242324297,8.030885768978187,588.0574183334801,1869.7936312068184,0.8769296349335604,0.5412133198151972,6
2244,1571,16.785240899192054,-16.785240899192054,-16.79799626044525,True,1.697992590753009,0.35766329084296256,0.6912270182553598,0.08823971376625195,1.0,0.5839270511815482,2.707234085279419,2.0748062693383833,4.188934090565943,24.477454893340703,10.399435703576758,456.58033529200327,1582.561276401323,0.6288486916097579,0.7390058951335096,6
2245,235,16.758462072495995,-16.758462072495995,-16.799227883970545,True,1.7416057971234689,0.3818060073128238,0.792576378639747,0.11078947763758162,0.0,0.3207684336235967,10.867420085588215,5.180226487476015,1.6557584354787078,17.14506657835265,12.509655055145188,532.0561507381777,1027.1020015768072,0.6723730155415876,0.866719576992395,8
2246,253,16.802044636372848,-16.802044636372848,-16.802044636372848,True,1.7171234268172122,0.30556246116708036,0.4784456174480797,0.10242049808953053,0.0,0.22230004191381086,4.8477976878556,2.2120907508128074,3.2525571335864245,15.692325641037705,10.48448153766282,406.8566122928973,2650.5649547400703,0.6276577152668671,0.5372155691472755,8
2247,1774,16.79956366372904,-16.79956366372904,-16.805431758979445,True,1.1233497058145652,0.3412856186941452,0.43958688781094885,0.2200982287551469,1.0,0.20655975806094629,2.5021251431489144,1.3063124031315017,3.304829382289936,16.47184925084163,8.2783359146466,389.10742067931176,2318.563537742085,0.8757997042564791,0.8913890787724208,8
2248,372,16.810000365256876,-16.810000365256876,-16.810000365256876,True,1.6963153630729264,0.29846007930883645,0.7217158084318298,0.17063559732249634,0.0,0.25880506256956914,4.780140536524282,1.5539173077704742,2.759727707653792,15.339325747094712,11.82497698663751,327.4530965293268,2350.3034923122455,0.9352797190240822,0.7360651547526506,6
2249,502,16.812201580723958,-16.812201580723958,-16.815882777563324,True,1.3000537123582478,0.33644964049434856,0.5840081081651441,0.27135884929013393,1.0,0.2170554815203068,2.1462805256678976,1.9111834872819795,3.188577071055969,12.376334166925272,9.330691989563435,355.8799233250803,2304.6197270661455,0.9366039176857971,0.9330292432366283,8
2250,783,16.82458308460673,-16.82458308460673,-16.82458308460673,True,1.5848936131573519,0.2267563883563773,0.6261430342982586,0.19126037512624325,0.0,0.3244742413655698,4.602861476821616,3.172859069658055,3.931939163503799,15.086948849879558,10.790231212413358,440.12912414502955,2220.025895287498,0.8835309498720543,0.6056466261044053,6
2251,2890,16.826535988807017,-16.826535988807017,-16.826535988807017,True,1.4817306546262634,0.3101270642759794,0.8435530165219662,0.2509121240871022,0.0,0.22832945306003088,4.726935738809569,3.4679277794784253,3.7662627988006405,16.218082387322852,8.21302342174784,508.401141758361,2861.385365756374,0.8461221799216733,0.6506311449979257,6
2252,1906,16.831658506034497,-16.831658506034497,-16.83175462082999,True,1.3593309356565555,0.34909990759026355,0.4079770313349933,0.08932213781911807,1.0,0.450539507620681,0.6298894361428413,0.05865754912252896,3.9443984470540654,20.58315530119982,12.192770326957577,335.2590729573902,2140.9438383774514,0.8880741017780769,0.9491837980141951,6
2253,2884,16.82861840198814,-16.82861840198814,-16.8364287809611,True,1.255488855821267,0.3537198530137539,0.8366119207202876,0.21240606764851103,0.0,0.5048397363228723,8.142078185420047,4.494963218124127,4.395804717428651,17.08577102020438,10.835776999139892,529.2603370508033,1344.2506529390812,0.6194698680367019,0.7378280304435045,6
2254,2237,16.836558829180678,-16.836558829180678,-16.836558829180678,True,1.5528218643127416,0.3675520094719334,0.42158569934599344,0.2955915660754697,0.0,0.18778067338926013,4.60258803627382,3.4070711285299033,2.3187124805751935,17.67139073613722,13.987431800340815,213.85538030832103,2675.2120468132343,0.880715606494792,0.6978535136356254,8
2255,1743,16.83794890221135,-16.83794890221135,-16.83794890221135,True,1.4833744305908396,0.3381495885876302,0.5767263851943032,0.23705830759404606,0.0,0.5119413397888859,4.656503209942547,3.2280963223343218,4.291611066440209,20.20015648095122,11.017628338272672,339.5257184925835,2850.851183401778,0.9274344074151967,0.8104437377432698,6
2256,2594,16.820440252405582,-16.820440252405582,-16.839806123676283,True,1.8271066124338655,0.20430216283152836,0.7495971167395327,0.23139479335711005,1.0,0.3912402628025627,3.5055288965417972,3.090242404444104,4.354747185658772,16.172056098591206,10.25222889235865,585.7487136077943,2281.9315595442713,0.7903600500535368,0.668726169625923,6
2257,1644,16.844190426240967,-16.844190426240967,-16.844190426240967,True,1.6715616394259034,0.24797691002488137,0.5706917822239163,0.08438376859350952,0.0,0.2803038823797219,4.6617376213658615,3.070995235272327,2.5702578483930036,20.782569898292422,12.109586016522112,305.56441570241475,1086.394125522569,0.929921119762003,0.8159641349070732,6
2258,2513,16.847035448425995,-16.847035448425995,-16.847035448425995,True,1.3885051954299434,0.28197421499987685,0.5851280305560145,0.1637164364440844,0.0,0.5882095828432562,4.865758739142419,3.8254675434973313,2.4526866299875665,21.85267468398565,13.03479784726596,203.61250740125325,1428.5641987867657,0.9228337030999667,0.6556220423406068,8
2259,2399,16.848042674443885,-16.848042674443885,-16.848042674443885,True,1.7003414771862175,0.26592604496133143,0.4997952629147784,0.2767860535137884,0.0,0.4132485720370411,4.5653525926981695,2.5068458812766874,3.3367723264242217,15.221815152290821,9.526344376583326,382.03574981802245,2812.696002384496,0.7308486074360501,0.5733204387885781,8
