generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
11,3072,43.06122730008792,71.34027970432993,104.06463264187913,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
12,3328,45.9284508000128,72.46053245930675,98.92281710771987,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
13,3584,49.96943040005863,71.72385138886425,96.36961577154163,0.0,-5.068119891008174,5.068119891008174,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7.0
14,3840,54.339166400022805,70.66725999680386,94.1878884267062,0.0,-5.081283105228342,5.081283105228342,1.455265613985434,0.39563184380218247,0.8620751199462289,0.2779848200818308,44.0,14.0,1.268072441898725,3.6188040004159867,20.572004601575692,10.262473679761698,295.5633339907959,1753.3221307322988,0.843768270063586,0.8529642293569242,8.0
15,4096,60.921742300037295,67.23379610233985,95.19022234380826,2.6669933358818952e-06,-5.081283105228342,5.081283105228342,1.455265613985434,0.39563184380218247,0.8620751199462289,0.2779848200818308,44.0,14.0,1.268072441898725,3.6188040004159867,20.572004601575692,10.262473679761698,295.5633339907959,1753.3221307322988,0.843768270063586,0.8529642293569242,8.0
16,4352,66.25893620005809,65.68170649253776,93.54202757655258,1.7960127534543347e-06,-5.081283105228342,5.081283105228342,1.455265613985434,0.39563184380218247,0.8620751199462289,0.2779848200818308,44.0,14.0,1.268072441898725,3.6188040004159867,20.572004601575692,10.262473679761698,295.5633339907959,1753.3221307322988,0.843768270063586,0.8529642293569242,8.0
17,4608,68.96448300010525,66.81700202106884,88.12128383346781,1.4113353579348556e-06,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
18,4864,73.53219749999698,66.14789392089362,85.14254447368073,1.259797103549844e-06,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
19,5120,83.22708630003035,61.51843381303297,87.38844061503187,1.0888083192740696e-06,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
20,5376,85.70377280004323,62.72769359340606,81.62264076194593,1.0887955237213386e-06,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
21,5632,90.33603100001346,62.34500163062467,78.01748131819345,8.871776359583333e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
22,5888,97.84109230001923,60.17921367787962,76.571289626102,8.871669314132942e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
23,6144,100.68970160000026,61.01914994651234,71.32187196666686,8.871426536344904e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
24,6400,105.87372330005746,60.44937119913801,67.75918291203678,8.871234539145524e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
25,6656,116.70708930003457,57.03166825528934,67.33101305771225,8.871088224412547e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
26,6912,126.20778380008414,54.76682809793061,65.4410730815251,8.870942097444553e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
27,7168,128.38549220003188,55.83185356201968,59.6075499500148,8.870871027403744e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
28,7424,132.25969930004794,56.13198910393492,54.7281514345026,8.870765734725704e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
29,7680,138.1476520000724,55.592692954318,50.65413906669322,6.258137602234887e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
30,7936,144.53576850006357,54.90682398105843,46.62444145163341,6.257976097633186e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
31,8192,151.54965460009407,54.05489060081906,42.62334035627646,6.257902868932097e-07,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
32,8448,159.0980782000115,53.09932147250405,38.56923107879067,1.2217090211505504e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
33,8704,169.4329079000745,51.37136644749856,34.883245744132985,1.3950658956248051e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
34,8960,172.71407210000325,51.87764894346343,29.608126645714844,1.4889710312081888e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
35,9216,182.4544093000004,50.511248455753154,25.340890180555615,1.5470595900388783e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
36,9472,189.62608400010504,49.95093396536498,20.500117189200544,1.5839016072343064e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
37,9728,201.10523880005348,48.37268316849741,15.876729378951591,1.7143804546987993e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
38,9984,208.56011990003753,47.871088704711674,10.69539076410449,1.762550283244572e-05,-5.364574337426668,5.364574337426668,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7.0
39,10240,218.27925480005797,46.91238299021937,5.45698137000145,1.8150153844916513e-05,-5.381049561693821,5.381049561693821,1.4411815223672657,0.36119483226869864,0.8998286897522982,0.14780217112027216,89.0,20.0,1.4858611240718858,2.338073026394681,18.72709803317923,9.459879193296121,352.6397288813894,1509.257734580368,0.8186803427815266,0.7344425965650598,8.0
40,10496,220.83990830008406,47.52764154265864,0.0,1.9726872461907086e-05,-5.381049561693821,5.381049561693821,1.4411815223672657,0.36119483226869864,0.8998286897522982,0.14780217112027216,89.0,20.0,1.4858611240718858,2.338073026394681,18.72709803317923,9.459879193296121,352.6397288813894,1509.257734580368,0.8186803427815266,0.7344425965650598,8.0
