rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
47,81,-5.051124744376278,5.051124744376278,True,1.3954908038396483,0.37641479466789296,0.7527641427971348,0.08622332775625562,82.0,24.0,0.9209585417893213,1.8789132557998716,15.009264655870638,10.60409541190072,342.5212771690293,1434.5546221549514,0.935711240364671,0.7509038692588151,7
48,2,-5.051020408163265,5.051020408163265,True,1.4122440693328961,0.355526909722771,0.850218155753804,0.2140691114607987,87.0,16.0,3.681469675396827,1.8637168514124074,19.76884856867014,14.505312614651334,338.05502771099265,2159.5136233411877,0.7355429010210331,0.6547180320612732,6
49,98,-5.050200803212851,5.050200803212851,True,1.4059065708197955,0.3811597787539118,0.7769445467611185,0.18072063744428668,88.0,17.0,1.307097783440208,2.3386841945009573,22.16215004370642,10.880055369374237,294.48555059189397,1979.0761984919188,0.9129447003866544,0.8069293305270169,7
50,21,-5.0498007968127485,5.0498007968127485,True,1.2220975672512855,0.35948713029151463,0.7878277610403719,0.22540685075012018,90.0,15.0,3.379541968063287,1.1260289363266238,16.192000118231125,9.758068404575793,315.42275861444966,1439.0325397140523,0.9115925046220805,0.6334463919160892,7
51,13,-5.049407114624506,5.049407114624506,True,1.3479169952741765,0.36992711517468185,0.8139226773911966,0.09152946789975448,89.0,18.0,3.51163363563828,2.775282792853989,20.660885794904125,11.921946433339484,283.69929077554275,1114.1456889467054,0.868206194062775,0.5919053683425364,7
52,220,-5.0484496124031,5.0484496124031,True,1.440805057842314,0.3497288383578108,0.8895942610327021,0.15668889860559637,85.0,28.0,2.189204221917463,1.183153981749819,19.452993264254342,11.494280321810342,240.4599090461134,1550.0655262503371,0.9435728818971328,0.6349888611129388,8
53,28,-5.048076923076923,5.048076923076923,True,1.3666308708546697,0.3135023631238727,0.8317229595973012,0.24384000622757038,93.0,16.0,0.7220431663751783,3.111401745007722,18.89503784180392,8.887103211062467,344.66208783853995,1960.3936007768395,0.9493409377942259,0.682765569355707,7
54,133,-5.047421784086456,5.047421784086456,True,1.26969397327398,0.35437325266052155,0.7527526555796171,0.16034772932714464,59.0,18.0,1.7360588316571786,1.92387696604832,24.252795463414913,13.532283562362597,235.6027459519807,1788.8205583269748,0.9291799294727143,0.7779081409654371,7
55,169,-5.046296296296296,5.046296296296296,True,1.4916227678772227,0.3961375058294436,0.8546454772242056,0.09895474567224936,94.0,21.0,2.0102855811921425,2.890479347887853,18.695333198370047,11.817875267741996,245.92248992226666,1464.754686818299,0.9719646670969827,0.7994221323257487,8
56,100,-5.046040515653775,5.046040515653775,True,1.3219921273798951,0.3285507314101205,0.7877621450495835,0.14039534939159326,94.0,22.0,1.2082067574274284,1.5081864400713443,16.93374829980737,8.689179008205455,328.84237761048456,2054.9518585604847,0.9724600311964215,0.8529832801492649,7
