prop_name,diameter_in,pitch_in,velocity_mps,cruise_selected_rpm,cruise_thrust_n,cruise_torque_nm,cruise_current_a,cruise_voltage_sag_v,cruise_voltage_required_v,cruise_throttle,cruise_power_w,cruise_flight_time_s,cruise_valid_rpm_count,cruise_failed,max_selected_rpm,max_thrust_n,max_torque_nm,max_current_a,max_voltage_sag_v,max_voltage_required_v,max_throttle,max_power_w,max_flight_time_s,max_valid_rpm_count,max_failed
14.4x10.2E,14.4,10.2,0.001,9300.0,55.070115359360535,1.2025056597705004,67.40877212710929,21.031581283130105,18.856963113770618,0.8966022506779461,1417.713070187294,204.27608403895283,64,False,10200.0,66.53245600861608,1.4516173975374498,80.97397061883096,20.796451175940263,20.78340554155483,0.9993726990112369,1683.9712264965394,170.05464712629154,73,False
14.4x10.2E,14.4,10.2,8.334,9200.0,50.94903516228842,1.3100076966522127,73.26271735521041,20.93011289917635,18.749096513764833,0.8957952880656775,1533.3969455450006,187.95371639352226,63,False,10000.0,60.76561645552467,1.5392991912407359,85.74861892066251,20.713690605375184,20.467662772287582,0.9881224530299898,1776.1703621608237,160.58567675288697,71,False
14.4x10.2E,14.4,10.2,16.667,9100.0,44.55211836196752,1.370121477332987,76.53616955915838,20.873373060974586,18.60400721331577,0.8912793902054248,1597.5680198663197,179.91493537387603,62,False,10000.0,55.568395432055596,1.6536043235812312,91.97302176382333,20.605800956093727,20.557447584841093,0.9976534097676831,1895.1777797958198,149.71781655016028,71,False
14.4x10.2E,14.4,10.2,25.0,9200.0,37.23723098712532,1.3561929633893335,75.77770246309109,20.88651982397309,18.785374285653273,0.8994018363984139,1582.7324847104865,181.71572312722105,50,False,10000.0,47.09577103991308,1.6451384981648847,91.51202139829081,20.61379162909629,20.550797817393615,0.9969440938942179,1886.4097406617677,150.47203405188012,58,False
15x10E,15.0,10.0,0.001,9200.0,61.99865203777778,1.357617398111111,75.8552690198203,20.885175336989782,18.786493155837583,0.8995133080144547,1584.250593713476,181.52990791453158,63,False,10000.0,73.49462531925,1.6080195728750002,89.49073731962676,20.648827219793134,20.521641508476424,0.9938405358346554,1847.8787726848664,153.87067323871534,71,False
15x10E,15.0,10.0,8.334,9100.0,56.834149587499994,1.4706045738333335,82.00790349393272,20.778529672771832,18.682935042708465,0.8991461540799284,1704.0036561504896,167.91064535650224,62,False,9900.0,68.16919114985001,1.73745842795,96.53923602696678,20.52665324219924,20.43100592049237,0.9953403352909846,1981.6274221923754,142.6363058865885,70,False
15x10E,15.0,10.0,16.667,9000.0,48.95889338805556,1.5166957846111113,84.51776685295782,20.73502537454873,18.52683124287097,0.8935041509817386,1752.478040296274,162.92432363903728,61,False,9600.0,57.40181005472222,1.733899117944444,96.34541638943486,20.53001278258313,19.851287063754988,0.9669398297012292,1977.9726300183918,142.92324965767654,67,False
15x10E,15.0,10.0,25.0,9100.0,40.12458597222222,1.4727247222222224,82.12335463238564,20.776528519705316,18.684600384603307,0.899312912976875,1706.238219653634,167.6745922233643,48,False,9700.0,48.547355972222235,1.7216647222222223,95.67920126891946,20.54156051133873,20.033984838256426,0.9752903060698759,1965.4001025420664,143.9184255029213,54,False
17.4x10.5E,17.4,10.5,0.001,7500.0,70.83494720774729,1.709595882620147,95.0220013865114,20.552951975967137,15.793735731306459,0.7684412316914039,1952.9826311572515,144.91380731909823,46,False,7500.0,70.83494720774729,1.709595882620147,95.0220013865114,20.552951975967137,15.793735731306459,0.7684412316914039,1952.9826311572515,144.91380731909823,46,False
17.4x10.5E,17.4,10.5,8.334,7200.0,58.90692098867655,1.7296458205648113,96.11380617421081,20.534027359647013,15.232561552820496,0.7418204566511472,1973.6035256210546,143.26765891511178,43,False,7200.0,58.90692098867655,1.7296458205648113,96.11380617421081,20.534027359647013,15.232561552820496,0.7418204566511472,1973.6035256210546,143.26765891511178,43,False
