rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1680,505,13.714944097498176,-13.714944097498176,-13.714944097498176,True,1.4734457619741301,0.32452871343599465,0.5036347980303691,0.18878411815252336,0.0,0.34753452547928465,0.10983992512600443,7.647185581837263,2.9595245154772556,1.8051893737405345,11.0,8.5,17.0,12.0,480.16802696541765,2023.8119291586047,32.22468758755423
1681,1819,13.718256551359676,-13.718256551359676,-13.718256551359676,True,1.7191884521581233,0.3779984309524298,0.7802935967221857,0.09116804046556354,0.0,0.568225005725026,0.14746213342174885,8.556170635543197,1.9619368395911607,1.9345236217250694,10.0,7.0,10.0,5.8,588.0379308015108,2371.985647827387,21.71629812568426
1682,695,13.718405365223806,-13.718405365223806,-13.718405365223806,True,1.4739038383690928,0.35378130746425784,0.7267302898391359,0.2378252432401303,0.0,0.44318268537863353,0.0746141663860072,7.02618648557619,1.6390252542938342,3.183546056489277,20.0,13.0,19.0,12.0,337.1689258330885,1176.3691588512468,20.99518075824969
1683,1868,13.723984474200654,-13.723984474200654,-13.723984474200654,True,1.3218782057214231,0.36920936536933435,0.8109707849855159,0.2522369669443071,0.0,0.5905521224104707,0.14102027442945264,2.174213642710619,0.1948521693317602,2.3713193887937845,24.0,12.0,20.0,15.0,292.28592902884964,2598.302728738796,7.45713868660296
1684,2313,13.725871469208535,-13.725871469208535,-13.725871469208535,True,1.526109797002713,0.2856094763532053,0.5229102987796068,0.19425482984595835,0.0,0.3312129816342888,0.1167366565630035,10.923491198681667,8.2756605572418,1.5273809459161112,19.0,12.0,20.0,15.0,272.31071441522306,2561.5473191087463,31.369633299297508
1685,241,13.737142281459588,-13.737142281459588,-13.737142281459588,True,1.0322794025885065,0.3573976820924896,0.38578079779551827,0.09560709812448634,0.0,0.28078516656732533,0.1287570308910965,3.139055015808559,1.241375185862374,3.075961007609812,14.0,8.5,21.0,13.5,555.7778641156339,1399.0678562950125,33.469306106207775
1686,1396,13.743647118209571,-13.743647118209571,-13.743647118209571,True,1.374361416306884,0.3464884695276756,0.4996891489573705,0.18863663686468385,0.0,0.2650827388100089,0.1038383286951946,5.77764499268531,2.8966732798579855,1.4439916701247761,19.0,12.0,20.0,13.0,274.58617714121436,1485.8402560616291,33.63722098523381
1687,2034,13.747436176281495,-13.747436176281495,-13.747436176281495,True,1.4747829351786554,0.3157580654044031,0.6032200726337339,0.26571284264343653,0.0,0.4835307273740479,0.08566680825453651,11.457126050311494,2.713582777293283,3.313081132423135,22.0,10.0,18.0,10.0,298.0354368198647,1487.3471833846147,9.869325102897601
1688,320,13.749204966693219,-13.749204966693219,-13.749204966693219,True,1.498875434696067,0.3354279687580407,0.46573136630629375,0.231591137260241,1.0,0.5074776463283032,0.09907484194365235,0.704334505060423,0.2941745845331951,3.001811182649153,10.0,7.0,22.0,13.0,499.1018649352072,1967.6727796083126,31.12326200065821
1689,2170,13.752260122334958,-13.752260122334958,-13.752260122334958,True,1.668008162419727,0.387051182143301,0.4390447437636452,0.18810363845066114,1.0,0.5135703837976238,0.0483096405888142,3.6366358389849793,2.131697173001605,3.009308191583896,22.0,10.0,20.0,13.0,300.43573111610846,2257.964079390765,20.22307286752355
