rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
3036,1334,8.735142857142858,-8.735142857142858,-8.735142857142858,True,1.4834446203894391,0.35481808499907375,0.6623157765278563,0.21617776089443927,6.0,12.141273249469615,7.994224267305636,3.2886363755835366,19.438055259570717,7.8742219981850194,357.9364998496575,1579.0317675230563,0.9810583733021194,0.9831946533883545,6
3037,1753,8.736,-8.736,-8.736,True,1.3438420721087605,0.39253233779221774,0.8987085174769165,0.1992484358511865,3.0,12.129133642455887,9.647178046197926,3.0126796453259885,10.607613967731595,5.053359201232238,465.99004343152046,2495.728934183717,0.9906610772013664,0.946997182443738,6
3038,1889,8.736857142857144,-8.736857142857144,-8.736857142857144,True,1.4168292412059778,0.3840226758375101,0.7011742648181877,0.16729217128943058,3.0,12.11700045794278,6.441724414115308,4.378662616124005,14.820900203382186,6.902194043030454,308.49724419063784,1161.8146138702352,0.8175486644571368,0.7833516812451786,6
3039,2541,8.739142857142857,-8.739142857142857,-8.739142857142857,True,1.090596489756987,0.3176842959447522,0.5746696841612162,0.1592287320828662,2.0,12.080432068132403,11.092447452716476,4.485237094786984,24.328162901654615,14.951947056279803,361.28642283190743,1189.4402855256162,0.9630471474039688,0.6204843020399726,6
3040,2693,8.739142857142857,-8.739142857142857,-8.739142857142857,True,1.6340726659435778,0.18748282920569181,0.7952582873404026,0.09149554371833801,2.0,12.078202385940399,5.689057146841349,3.378378378378378,15.520464689470828,7.363037433862446,358.9863333851099,2598.6336208879948,0.5956945177167654,0.6872857036069036,8
3041,80,8.740857142857143,-8.740857142857143,-8.740857142857143,True,1.7353000452183187,0.22255098127346318,0.6377647187096113,0.23201327768991345,4.0,12.053719581855912,10.460956932731557,4.2862388489842145,17.730826119068855,11.31500251139966,225.48459301649956,1634.9572416919536,0.5057311237115754,0.6866901458149934,6
3042,532,8.742857142857144,-8.742857142857144,-8.742857142857144,True,1.378445029680472,0.3703989307415074,0.6699951342796475,0.2222445320880186,6.0,12.018089234548725,7.524301984089712,2.5555071330110284,21.837728561938412,16.827877038514373,298.3793602084483,2039.8013277407588,0.8892288966356222,0.8119174903519324,8
3043,1999,8.743428571428572,-8.743428571428572,-8.743428571428572,True,1.4846714623957873,0.36145916931331157,0.7784624710679056,0.2952504511922598,4.0,12.013083822567777,7.316061517312231,1.5176944881677628,11.315976874902844,5.726577518180238,416.13792050629854,2228.3743005245924,0.73819381557405,0.9933076063171029,6
3044,2761,8.744,-8.744,-8.744,True,1.4886995975095778,0.24300315450876953,0.4030309790745378,0.18182253394275905,3.0,12.00051069134723,9.053787088399389,3.378378378378378,23.75738507602364,14.409832469378653,303.59830679371953,2325.590644031763,0.9859190252609551,0.9934651367366314,8
3045,1073,8.749428571428572,-8.749428571428572,-8.749428571428572,True,1.6706407173503663,0.2751313538816376,0.8393974015622285,0.20818591797580582,6.0,11.914810789363578,8.887799120511131,1.1873319221486416,16.874713959627908,7.315652566524605,286.3510549452484,1982.6149312933442,0.9318251730078684,0.9670186634175479,8
3046,421,8.749714285714285,-8.749714285714285,-8.749714285714285,True,1.74641645551231,0.2986495181693061,0.7631214550569371,0.187529199966022,1.0,11.912138847803849,10.311183546251987,3.553004540129847,17.780148707064146,9.19223108879157,293.5832705695902,1286.5508005268248,0.9449606060903777,0.7674395004359578,6
3047,724,8.756571428571428,-8.756571428571428,-8.756571428571428,True,1.3915380192434708,0.3166581751010069,0.7248850157484412,0.09198877040135194,3.0,11.802630409509622,9.055554568238328,2.9822021364887217,13.91202553887917,8.285206324876267,434.0980635876707,1766.0353841987112,0.7736481684763177,0.8246905076093554,6
3048,1189,8.757714285714286,-8.757714285714286,-8.757714285714286,True,1.7884235231102086,0.2293377193700083,0.6862574840784978,0.19965058356903972,2.0,11.786497547027881,8.32136540621012,1.5655083345702292,13.862082222730207,8.231462945559564,293.16390216142855,2092.8761918526734,0.8080875007895402,0.9626775330622295,6
3049,912,8.759142857142857,-8.759142857142857,-8.759142857142857,True,1.527978399956371,0.3223314443081231,0.3178741249079377,0.18912218501757033,2.0,11.762578899503277,9.551387654764945,3.2300701661172826,10.380868491339058,5.425892769185979,495.24068775023176,1121.8058595109173,0.9457743709933527,0.8282693570004274,6
3050,3065,8.760571428571428,-8.760571428571428,-8.760571428571428,True,1.4274175144881354,0.14685667087141574,0.48803627528250215,0.20461494766259172,5.0,11.740239186091298,9.550833613027612,2.6035358266070117,14.680027428799297,10.715101110539996,294.2736526951194,2770.9247065395152,0.5816278345882893,0.6198183480533694,8
3051,1013,8.76142857142857,-8.76142857142857,-8.76142857142857,True,1.586330811041359,0.24898555231097141,0.6750830883165688,0.165350603029804,9.0,11.727452518899355,6.094240370154021,2.0452880925571693,12.800117302685976,5.929469912852939,295.4523118695918,1378.1510583923837,0.7303341956909437,0.6600752644925927,6
