generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
11,1,6144,67.40003429993521,91.15722363966076,561.6669524994601,4.587163540875741e-06,-3.8102863617686245,3.8102863617686245,1.661685618001267,0.23842157110585155,0.3405036907224948,0.14114281988137195,0.0,11.556698492366845,8.213200539900487,2.730941993066807,16.75105582615007,6.940193065231308,465.3506952604089,1486.9088351754372,0.930096503348651,0.6757498684237708,6.0
12,1,6656,71.47309259988833,93.12595492769259,544.2950897991497,3.880441577282201e-06,-3.8346278203569057,3.8346278203569057,1.396317647199805,0.3390262688503464,0.41563555699434296,0.236570554934442,0.0,12.15648661703603,10.556537308391245,2.8155826672771473,20.97026633770507,11.256185517914815,265.0338397361338,2301.8226908264796,0.8492468391886798,0.7322912085801363,8.0
13,1,7168,74.71350929990876,95.93981151690801,522.9945650993614,3.2899861543794418e-06,-3.8346278203569057,3.8346278203569057,1.396317647199805,0.3390262688503464,0.41563555699434296,0.236570554934442,0.0,12.15648661703603,10.556537308391245,2.8155826672771473,20.97026633770507,11.256185517914815,265.0338397361338,2301.8226908264796,0.8492468391886798,0.7322912085801363,8.0
14,1,7680,78.54804239992518,97.77455637783426,507.94400751951616,2.8716890795648455e-06,-3.8346278203569057,3.8346278203569057,1.396317647199805,0.3390262688503464,0.41563555699434296,0.236570554934442,0.0,12.15648661703603,10.556537308391245,2.8155826672771473,20.97026633770507,11.256185517914815,265.0338397361338,2301.8226908264796,0.8492468391886798,0.7322912085801363,8.0
15,1,8192,82.59479329991154,99.18300745973019,495.56875979946926,2.359712889011602e-06,-3.8346278203569057,3.8346278203569057,1.396317647199805,0.3390262688503464,0.41563555699434296,0.236570554934442,0.0,12.15648661703603,10.556537308391245,2.8155826672771473,20.97026633770507,11.256185517914815,265.0338397361338,2301.8226908264796,0.8492468391886798,0.7322912085801363,8.0
16,1,8704,86.73819149995688,100.347953415703,484.7134230879944,2.1191786174349847e-06,-4.120351635901963,4.120351635901963,1.6713564992481993,0.25100211294374775,0.7083175700157881,0.2506097526935785,0.0,14.562552718334643,10.908865327344197,2.7552371976593504,21.264222794140785,12.338779187461201,284.5966493321057,2863.176353068045,0.8935344601722464,0.6608151961164096,8.0
17,1,9216,90.98577149992343,101.29056277780484,475.14791783293344,1.8534832231316873e-06,-5.034068840713752,5.034068840713752,1.67459042491409,0.14403317273930313,0.3359081575577092,0.19391369489651156,0.0,13.64782727684112,9.676407726394979,3.2980091434649728,19.1509184101541,14.693152824868893,333.78166187921033,2737.6543645328893,0.8857979557605993,0.8307828439735082,6.0
18,1,9728,94.5194261999568,102.92064172522925,462.64771771557804,1.411742962161945e-06,-6.124940638295525,6.124940638295525,1.396279685598335,0.29713685454176686,0.3868876055877105,0.23448101321256262,0.0,14.040642812527755,7.558583770337638,2.659727348312562,21.135268640553175,16.538870157313738,288.2931125217595,1643.3144269522186,0.9236090008711673,0.7439637740277792,6.0
19,1,10240,99.10593119997066,103.32378573123212,455.887283519865,1.2602361340679147e-06,-6.124940638295525,6.124940638295525,1.396279685598335,0.29713685454176686,0.3868876055877105,0.23448101321256262,0.0,14.040642812527755,7.558583770337638,2.659727348312562,21.135268640553175,16.538870157313738,288.2931125217595,1643.3144269522186,0.9236090008711673,0.7439637740277792,6.0
20,1,10752,103.85499909997452,103.52895954146359,450.03832943322294,9.934816484956481e-07,-6.124940638295525,6.124940638295525,1.396279685598335,0.29713685454176686,0.3868876055877105,0.23448101321256262,0.0,14.040642812527755,7.558583770337638,2.659727348312562,21.135268640553175,16.538870157313738,288.2931125217595,1643.3144269522186,0.9236090008711673,0.7439637740277792,6.0
21,2,11264,120.91893399995752,93.15331873504573,494.66836636346255,4.4303547212650226e-06,-3.621907144996902,3.621907144996902,1.6359155071750062,0.17816708486527205,0.37932049166411164,0.20570349235087632,0.0,11.864805288324108,8.084390258208428,2.2364415213318813,22.338243647125925,15.473552315221037,236.30826212465763,2772.9444025663893,0.8372924149684886,0.8833959988803213,8.0
22,2,11776,124.8439623999875,94.32574690533195,483.0918545042995,3.7460441149309523e-06,-4.396243055554648,4.396243055554648,1.7618125855655358,0.22471672429293188,0.4042848939076066,0.2261162566106134,0.0,10.441214840704832,8.669482927915944,2.39726508968169,21.274966139035858,11.84506138585844,333.8662793627717,2972.851416086719,0.8684965469874442,0.6283681216253679,8.0
23,2,12288,128.99781099997927,95.25743037610131,472.99197366659064,3.066459266006789e-06,-4.396243055554648,4.396243055554648,1.7618125855655358,0.22471672429293188,0.4042848939076066,0.2261162566106134,0.0,10.441214840704832,8.669482927915944,2.39726508968169,21.274966139035858,11.84506138585844,333.8662793627717,2972.851416086719,0.8684965469874442,0.6283681216253679,8.0
