evaluation,generation,status,objective,score,raw_score,implied_penalty,message,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,ground,m1,m2,m3
54,0,ok,17.284740329398275,-17.284740329398275,4.735598370618199,22.020338700016474,,1.1410487146759116,0.16952746694439158,0.6611523641180177,0.2504064819706943,13.801702447007855,9.516021721121605,4.543321157629929,1.8224531451045585,12.185986110613543,17.22865829632759,433.8382878125574,2341.7389902516916,0.6164035519432586,0.6843843055113576,0.16822429906542055,1.0,1.567374071552778,2.0
55,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.3323 m, at or behind the permitted tail-front limit x=0.3273 m; width 0.1292 m puts the fuselage back at x=1.1199 m, at or behind the permitted tail-front limit x=0.3273 m; width 0.1822 m puts the fuselage back at x=0.8415 m, at or behind the permitted tail-front limit x=0.3273 m; width 0.2352 m puts the fuselage back at x=0.6764 m, at or behind the permitted tail-front limit x=0.3273 m; width 0.2882 m puts the fuselage back at x=0.5477 m, at or behind the permitted tail-front limit x=0.3273 m",1.1645584310941597,0.211705132606485,0.3272903060462791,0.19273736067376926,60.763630830392984,15.683079650567525,1.3528556548378992,1.335226178569944,13.584855123530147,8.380193623270706,297.8453196161179,1749.1349683279277,0.807546305987688,0.7451248074829313,nan,nan,nan,nan
56,0,ok,-0.08372093023255814,0.08372093023255814,0.08372093023255814,0.0,,1.1191595073085034,0.3177565823970966,0.5097047881565905,0.236139806489111,41.44536143781252,1.220348519964162,1.5919181639338904,1.540578095319132,11.062799521193753,5.211200238960366,227.72869930203677,2522.431485258274,0.9095703888858808,0.8709939788161297,0.08372093023255814,0.0,0.0,0.0
57,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.7271 m, at or behind the permitted tail-front limit x=0.5349 m; width 0.1292 m puts the fuselage back at x=1.3826 m, at or behind the permitted tail-front limit x=0.5349 m; width 0.1822 m puts the fuselage back at x=1.0098 m, at or behind the permitted tail-front limit x=0.5349 m; width 0.2352 m puts the fuselage back at x=0.7859 m, at or behind the permitted tail-front limit x=0.5349 m; width 0.2882 m puts the fuselage back at x=0.6176 m, at or behind the permitted tail-front limit x=0.5349 m",1.2056676698043673,0.15448423624123594,0.5349275760861061,0.27173454001319447,69.71233584067795,11.019648893094223,4.140633210818368,3.805474393179492,23.941031202981733,13.75598976331274,421.81863745227247,1563.282428679794,0.9818179794380688,0.5969674657187182,nan,nan,nan,nan
58,0,ok,9.679541396336187,-9.679541396336187,5.346665654090408,15.026207050426596,,1.2750396249737386,0.3389710705072788,0.5672210616384586,0.08840228344688263,15.902355198324557,17.674345863315395,2.061821235626149,2.3047502497973875,20.219696983415666,10.408874398346082,495.5041818246113,2040.6311626042095,0.5679401943205764,0.5913739967755192,0.1276595744680851,1.0,1.8127584622463506,2.4062476173759726
59,0,ok,-0.09137055837563451,0.09137055837563451,0.09137055837563451,0.0,,1.521691129345528,0.3797205253346609,0.4731645849904619,0.10980876150617663,28.60262737484387,14.638207561140906,4.769244137443303,3.6279703116746704,13.346117242148065,9.290368448069321,250.02707746677277,1055.2455360242893,0.8897688907092502,0.8246292333026206,0.09137055837563451,0.0,0.0,0.0
60,0,ok,9.847457627118644,-9.847457627118644,0.15254237288135594,10.0,,0.9311169039479075,0.1964816747125135,0.701019892688459,0.181747516640531,17.784333156219077,7.209766360313674,2.3701868872783214,2.495509925452102,22.340974072809434,14.021703241992704,349.37466398521804,2021.0278852153326,0.9234059666573975,0.9296442380423386,0.15254237288135594,0.0,0.0,0.0
61,0,ok,15.657758620073647,-15.657758620073647,5.520579427684101,21.178338047757748,,0.9541645651841384,0.324911170584742,0.685010080223443,0.23959965730195806,22.678979002399807,31.641286355568656,1.2434597865228896,3.3882595134236584,15.68251811539752,17.267286839231296,476.73499875007553,1283.9111128039897,0.5948231837400799,0.7531554336637593,0.08256880733944955,1.0,2.1787845129055214,2.2592261074391304
62,0,ok,-0.10465116279069768,0.10465116279069768,0.10465116279069768,0.0,,1.4317443331281832,0.3437383897613753,0.6541173331672958,0.26107745740831134,18.392023065788614,24.908084759014216,4.9950728055511,1.966267058964903,17.162107156627368,7.238565956473758,220.21454347351533,2187.848637141313,0.5113819862216704,0.6096405454743923,0.10465116279069768,0.0,0.0,0.0
63,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=1.7273 m, at or behind the permitted tail-front limit x=0.3652 m; width 0.1292 m puts the fuselage back at x=1.2844 m, at or behind the permitted tail-front limit x=0.3652 m; width 0.1822 m puts the fuselage back at x=0.6782 m, at or behind the permitted tail-front limit x=0.3652 m; width 0.2352 m puts the fuselage back at x=0.5005 m, at or behind the permitted tail-front limit x=0.3652 m; width 0.2882 m puts the fuselage back at x=0.5080 m, at or behind the permitted tail-front limit x=0.3652 m",1.2504847528297134,0.23697440298933894,0.3651985013657254,0.1161684948282109,48.10329983456202,26.13075308895411,1.3095770232967516,2.8108721258562666,23.222427589355476,15.470743158155344,366.3736386427179,2858.423658446539,0.6776859724178455,0.6440157166912261,nan,nan,nan,nan
