case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_tail_profile,coarse_CD_wing_induced,coarse_CD_tail_induced,coarse_CD_interaction,coarse_CD_body,coarse_D_wing_profile,coarse_D_tail_profile,coarse_D_wing_induced,coarse_D_tail_induced,coarse_D_interaction,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body
66,1.190085661355573,0.24362881724326643,0.6217058645516639,0.17650869044221076,5,1,2.3711686841530706,4.5958311740081825,ok,30.131093998938944,-0.3805440632714283,-0.7918143237165096,30.110833581784746,-0.4304609982164869,-0.8957848440075431,0.016123067681223603,2.59950376160412,0.007065839810819838,0.0022959397611514924,0.002842027085179423,0.00012082902622997296,-0.0005512752676141442,0.0043497072654570205,1.1392172711963933,0.3701717417263131,0.45821677639599334,0.01948112570175234,-0.08888148088041334,0.7012983274640813,0.015812984722009277,2.549507683951524,2.1646348901369916,0.3848727938145324,1.1016602034542373,0.3679746867161631,0.694999999966591
67,1.2039147113760744,0.24043598656554085,0.5983695275688369,0.2017319990018104,6,4,2.239515654397759,6.229386883679782,ok,30.123334808853155,-0.374851566627643,-0.7831405656417176,30.103659135336503,-0.4316859406321416,-0.8731922326210496,0.016222083320918006,2.6098407613482264,0.007100898250238318,0.002353440681780288,0.0028037014321418965,0.00012084958243193332,-0.0005541185673037091,0.004397311941629281,1.1424065164158907,0.3786261788462923,0.4510650164654832,0.019442519187167124,-0.0891476880595422,0.7074482184929357,0.015904990506503812,2.558824480713172,2.182199421302033,0.37662505941113905,1.1037317922336554,0.3758159045680668,0.7026517245003109
68,1.4123243422468736,0.23980909948252913,0.6860987770540142,0.19913951474518798,5,3,2.8473483253529297,5.5908620117143375,ok,30.002258197856936,-0.7271157260840434,-0.5510443792542743,29.980537101413702,-0.7816291911394784,-0.6114634124838647,0.014733176561368619,2.7511259774464714,0.007118288864776634,0.002112845067308828,0.0018124811631368993,0.00013657566445551944,-0.0004433276309146832,0.00399631343260542,1.3291980401703531,0.3945315476795584,0.33844459752236333,0.0255027730649614,-0.0827825660575596,0.7462315850667944,0.01448042801051526,2.7039283787494077,2.426196367834549,0.2777320109148588,1.3013046492644786,0.39093452788706606,0.7339571906830046
69,1.2470299682251123,0.23900281025273187,0.7301235295658048,0.2053705627151335,4,5,2.4926067762575914,5.060925664587488,ok,30.111446401718183,-0.4845032950996292,-0.6363103735372339,30.084321434187537,-0.5359881061654517,-0.780026679986085,0.015900500364954342,2.631843233091683,0.007117593909448406,0.0020123926008964884,0.002480393740256753,9.491880292890613e-05,-0.0004190470105854956,0.004614248322009283,1.1781007475565788,0.3330902630376691,0.4105535883063043,0.015710914967946795,-0.06936046123350424,0.7637481804566881,0.015545580203669416,2.573095244307618,2.221225217458431,0.35187002684918744,1.1416634902073195,0.3330539016251089,0.7465078256260024
70,1.1464092852073573,0.26899738590723854,0.6912924181683674,0.23596008885794606,3,3,2.469801559673939,4.141588462488135,ok,30.01934266543111,-0.48259031443908473,-0.8833789167235504,29.997805821301906,-0.4822837416096446,-1.0105391644988897,0.015962581290914747,2.7170606074331034,0.00682396475917698,0.002198420011706208,0.002883537228399957,0.00016413054358748757,-0.0006450297856107885,0.004537558533654903,1.161536815115507,0.3742026620593804,0.49081945272921323,0.02793737593755983,-0.10979333412081627,0.7723576357122589,0.015765338595663852,2.683485218576491,2.267610283893821,0.41587493468267,1.1350721447774708,0.37270521928043787,0.7598329198359122
71,1.4886625066336094,0.25161333622279863,0.6240332035716719,0.1693699393023165,6,5,2.31784365363948,6.411013703163936,ok,29.885814814888207,-0.8632652604894955,-0.6101430436706784,29.87369597713217,-0.9038045552434261,-0.5933875946282684,0.014010321537079037,2.8708751376047292,0.00700367242305827,0.002313105357895429,0.00157602894446346,0.00021028161439142311,-0.0005489129289925229,0.003456146126262975,1.4351325897890725,0.4739817458912339,0.32294635785702935,0.04308910805894203,-0.11247853779685416,0.7082038738053051,0.013874230662199878,2.842986601668307,2.5910050927419737,0.2519815089263341,1.4197536174120293,0.46753723690587473,0.7037142384240694
72,1.3945718647990566,0.2868253159863212,0.776457462762867,0.25300062966175174,4,2,2.1833769940109975,4.235120356489042,ok,29.7549490178919,-0.9941287291398171,-0.6376866283450061,29.747702084646175,-0.9561930383616459,-0.7055030064961658,0.013815985116542143,2.996848237815462,0.006688803156649082,0.002048966487669577,0.001599909050940939,0.00023772493779680766,-0.0005641615717045382,0.0038047430551902766,1.4508793823972528,0.44444471792050794,0.347038924805774,0.051565310393115044,-0.12237322186903858,0.825293124167851,0.013824491797776072,2.9986913698322235,2.711330073892129,0.287361295940094,1.4622152737460943,0.4403339898598157,0.808780810286219
73,1.440290910367093,0.2623455044539871,0.7325531859965791,0.21642075874713648,5,1,2.8829553232220007,5.34681688317316,ok,29.858520342971133,-0.906125550812452,-0.5848532071750998,29.84415867418192,-0.9177581656331474,-0.636894385894069,0.014051404608981664,2.8992538548913416,0.006899867878098232,0.0020734804760753353,0.0015987255884024564,0.00019232932748060422,-0.0004998414340792937,0.0037868427730043284,1.423663263602158,0.4278252908225821,0.32986818429002357,0.03968368712052996,-0.10313326282430871,0.7813466918803565,0.013936348341330295,2.875512088233023,2.6066947858993568,0.2688173023336666,1.4160423733000522,0.4234680876788626,0.7671843249204416
74,1.4267577920624577,0.2804378115826064,0.8675779820191218,0.18257183765858528,3,4,1.951205261839395,4.650297833843178,ok,29.794422272014025,-1.0303690220569202,-0.5277133260912549,29.786314576261915,-1.0001120168062425,-0.6407681957702749,0.013579328161832646,2.954208453697447,0.006740143552955046,0.0018633252073203856,0.0014833843715849457,0.00019218958040405056,-0.0004583539389198078,0.0037586393884880267,1.4663309425896427,0.40536991328667704,0.32271306786266685,0.04181120570736588,-0.09971576391741575,0.8176990881685106,0.013568221767999204,2.9517902027760545,2.677505852390027,0.27428435038602705,1.4778869388093505,0.4025080138226266,0.7971108997580499
75,1.2837305142230175,0.27464766276688257,0.7595820817869713,0.19759448213437267,4,1,2.0567812325152426,4.619470621424515,ok,29.925774027352734,-0.7851764235053593,-0.6991616403266911,29.909508470658594,-0.7647752053810136,-0.8098489949747292,0.014542375727545314,2.8124318704175266,0.006780400121946571,0.002052662511800248,0.0020462069511029204,0.00018858502778262436,-0.0005625112684513349,0.004037032383364286,1.3112997322043645,0.3969759532800051,0.39572747607196623,0.03647151967163164,-0.10878721939943727,0.7807444085889965,0.014453911040710195,2.795321260671957,2.4605334513069517,0.3347878093650047,1.3006996911640645,0.3943899332638608,0.7654438268790267
