model,split,quantity,mae,rmse,bias,p95_absolute_error,max_absolute_error,correlation,sign_agreement,false_pass,false_rejection
unrestricted_refit,grouped_cv,Cnb,0.04818269717613722,0.058583569011360984,0.0016662880180648982,0.11242317892923794,0.1342409163827334,0.3712683250903181,0.8380952380952381,3,14
unrestricted_refit,holdout,CLa,0.5817260715248797,0.7128751908162422,0.3869268060706649,1.4225050034912388,1.4766305911709154,0.24503396044191364,1.0,0,0
unrestricted_refit,holdout,Cma,0.3346934122448675,0.4898434288282452,-0.05966078676544938,1.1309863526280006,1.6438479265000634,0.8482815140013168,0.8888888888888888,3,2
unrestricted_refit,holdout,Cnb,0.04730031851294602,0.05129603106165295,-0.005120464380748761,0.08939639948254949,0.09372803962165588,0.14950964079216553,0.8,3,6
coupled_simple,train,CLa,0.4581945754827909,0.5943150285217593,-0.057119905433292234,1.2802937432096009,1.3968596737507255,0.6609828276963573,1.0,0,0
coupled_simple,train,Cma,0.27744065725515155,0.34489271978556646,-0.0002564163262848574,0.7020626417292529,0.9649787948315911,0.9327317049461924,0.9619047619047619,1,3
coupled_simple,train,Cnb,0.007180394467106277,0.010192033954623165,1.62922495178075e-05,0.02073961038738899,0.03911620716587881,0.9863148861697973,0.8666666666666667,7,7
coupled_simple,grouped_cv,CLa,0.4846459210964424,0.6457957557044836,-0.05266683385738656,1.3812424223239335,1.8000500427279897,0.5491701397327189,1.0,0,0
coupled_simple,grouped_cv,Cma,0.31384075884868257,0.39142606976662686,-0.0003775875271095083,0.7629295045252104,1.101754562929432,0.913189309563128,0.9523809523809523,1,4
coupled_simple,grouped_cv,Cnb,0.007534961608563857,0.010600207796056246,0.0002779264309855599,0.02075634354700791,0.04001921620940277,0.9852072815206764,0.8666666666666667,8,6
coupled_simple,holdout,CLa,0.5567441781018704,0.6773222039979045,0.3499146364213251,1.292390202752196,1.3618139972195693,0.20027347392845568,1.0,0,0
coupled_simple,holdout,Cma,0.25945829571652074,0.3327775721934426,-0.08512738172338213,0.6405333342959537,0.7583267789750687,0.9372801285245119,0.9111111111111111,2,2
coupled_simple,holdout,Cnb,0.00785320138126016,0.00969123346172806,0.003636710517568559,0.016692306502826458,0.025934491533080823,0.981677761116644,0.8888888888888888,4,1
coupled_enriched,train,CLa,0.3953763868138132,0.46773420917362263,-0.04938126518266357,0.9839598649718783,1.0172269118924282,0.7956490011432955,1.0,0,0
coupled_enriched,train,Cma,0.18743705525608778,0.2448488982406408,-0.007002707783905191,0.5079077790671699,0.8523120012846674,0.9666137934266315,0.9809523809523809,0,2
coupled_enriched,train,Cnb,0.007180394467106277,0.010192033954623165,1.62922495178075e-05,0.02073961038738899,0.03911620716587881,0.9863148861697973,0.8666666666666667,7,7
coupled_enriched,grouped_cv,CLa,0.44113765493577006,0.5170616635123336,-0.048835363619124814,0.9790780404502105,1.1244913132624221,0.7414308587980447,1.0,0,0
coupled_enriched,grouped_cv,Cma,0.21306942246090665,0.2740541029536058,-0.013817508567568285,0.5673969365150809,0.9390329633500087,0.9580837230444358,0.9714285714285714,1,2
coupled_enriched,grouped_cv,Cnb,0.007534961608563857,0.010600207796056246,0.0002779264309855599,0.02075634354700791,0.04001921620940277,0.9852072815206764,0.8666666666666667,8,6
coupled_enriched,holdout,CLa,0.3816465960210727,0.47388902836820324,0.056035016123780215,0.9856818193763303,1.021253567555057,0.683470176740545,1.0,0,0
coupled_enriched,holdout,Cma,0.1739456776984989,0.22036987156881827,-0.009916681538685763,0.43199258145677727,0.5604460981383688,0.9710426862173878,0.9555555555555556,1,1
coupled_enriched,holdout,Cnb,0.00785320138126016,0.00969123346172806,0.003636710517568559,0.016692306502826458,0.025934491533080823,0.981677761116644,0.8888888888888888,4,1
reference_current_lift,train,CLa,0.42024044439481767,0.5325981253778641,0.0869619671814908,1.1648243730314454,1.3272172400293831,0.7283600293542413,1.0,0,0
reference_current_lift,train,Cma,0.2167275213351885,0.27912721613059643,5.774217083312362e-15,0.6213373247253916,0.7665381791333634,0.9563698835036637,0.9619047619047619,1,3
reference_current_lift,train,Cnb,0.007180394467106277,0.010192033954623165,1.62922495178075e-05,0.02073961038738899,0.03911620716587881,0.9863148861697973,0.8666666666666667,7,7
reference_current_lift,grouped_cv,CLa,0.42024044439481767,0.5325981253778641,0.0869619671814908,1.1648243730314454,1.3272172400293831,0.7283600293542413,1.0,0,0
reference_current_lift,grouped_cv,Cma,0.24570647142127514,0.31634838785636243,0.0044628981139916155,0.6728380428111911,0.8171889993409915,0.9436950494304116,0.9619047619047619,1,3
reference_current_lift,grouped_cv,Cnb,0.007534961608563857,0.010600207796056246,0.0002779264309855599,0.02075634354700791,0.04001921620940277,0.9852072815206764,0.8666666666666667,8,6
reference_current_lift,holdout,CLa,0.613161333797407,0.7646648118905239,0.4738956669007463,1.5113946925730952,1.5645171826091686,0.24503396044191378,1.0,0,0
reference_current_lift,holdout,Cma,0.2754242893292641,0.36400221752168244,-0.10715580300599506,0.7447219622740427,1.0856489110120355,0.9286573429699341,0.8888888888888888,3,2
reference_current_lift,holdout,Cnb,0.00785320138126016,0.00969123346172806,0.003636710517568559,0.016692306502826458,0.025934491533080823,0.981677761116644,0.8888888888888888,4,1
reference_refit_lift,train,CLa,0.35577933783147986,0.4042780048193399,0.0034273446679111124,0.6601397694939555,0.6814156365736137,0.850486065577177,1.0,0,0
reference_refit_lift,train,Cma,0.21481742977509247,0.27543639671758546,-4.431375901146696e-15,0.5504205628046214,0.7361559098104116,0.9574613193093007,0.9619047619047619,2,2
reference_refit_lift,train,Cnb,0.007180394467106277,0.010192033954623165,1.62922495178075e-05,0.02073961038738899,0.03911620716587881,0.9863148861697973,0.8666666666666667,7,7
reference_refit_lift,grouped_cv,CLa,0.3893675213285071,0.45984930853766187,0.001217621288510351,0.8161860322006971,0.8322440256375456,0.8011959706802669,1.0,0,0
reference_refit_lift,grouped_cv,Cma,0.2441219917303843,0.3150496317578663,0.004182613510532964,0.6537101744526895,0.8344656882644044,0.9439959149214378,0.9523809523809523,2,3
reference_refit_lift,grouped_cv,Cnb,0.007534961608563857,0.010600207796056246,0.0002779264309855599,0.02075634354700791,0.04001921620940277,0.9852072815206764,0.8666666666666667,8,6
reference_refit_lift,holdout,CLa,0.35411713537220013,0.3978344789133989,0.13642469543154992,0.7051728994905275,0.7272462980103285,0.751520037395277,1.0,0,0
reference_refit_lift,holdout,Cma,0.2660798347964424,0.3555066023746654,-0.11795602323958446,0.7867551979848728,0.9494619027872915,0.9306024106568922,0.9111111111111111,3,1
reference_refit_lift,holdout,Cnb,0.00785320138126016,0.00969123346172806,0.003636710517568559,0.016692306502826458,0.025934491533080823,0.981677761116644,0.8888888888888888,4,1
