generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
66,0,37376,1332.5193607999827,28.049123412031467,4691.198297610898,3.1218292179886945e-05,1.0,0.3203250178574057,5.86719436349522,-5.86719436349522,-5.86719436349522,1.7744224685389454,0.31020926412743355,0.7212084340265176,0.16360563187989885,0.0,0.583239059432632,11.008534027234425,6.990604483047795,3.0954586974752685,18.0,10.0,24.0,12.0,309.7887589457274,2452.8784108399213,26.958770491182804
67,0,37888,1374.332208799984,27.568298084989507,4754.446560172918,3.2912702089571484e-05,1.0,0.30383406299443677,5.86719436349522,-5.86719436349522,-5.86719436349522,1.7744224685389454,0.31020926412743355,0.7212084340265176,0.16360563187989885,0.0,0.583239059432632,11.008534027234425,6.990604483047795,3.0954586974752685,18.0,10.0,24.0,12.0,309.7887589457274,2452.8784108399213,26.958770491182804
68,0,38400,1401.9577301999961,27.390269458781795,4766.656282679986,3.516452115275182e-05,1.0,0.28437753941140864,5.371449790097984,-5.371449790097984,-5.371449790097984,1.7963354244832161,0.3122900997202863,0.8833922120574991,0.15865592864296943,0.0,0.38488492064370394,11.1583320764499,5.790606449009476,2.9497520958804753,20.0,11.0,20.0,13.0,273.458720410972,2503.1759753880942,31.11350709943418
69,0,38912,1443.4389902999974,26.95784183570704,4824.125046528939,3.619409802186051e-05,1.0,0.2762881394077065,5.371449790097984,-5.371449790097984,-5.371449790097984,1.7963354244832161,0.3122900997202863,0.8833922120574991,0.15865592864296943,0.0,0.38488492064370394,11.1583320764499,5.790606449009476,2.9497520958804753,20.0,11.0,20.0,13.0,273.458720410972,2503.1759753880942,31.11350709943418
70,0,39424,1471.9209437999816,26.784047177303634,4836.311672485654,3.656872506144655e-05,1.0,0.2734577151157706,5.371449790097984,-5.371449790097984,-5.371449790097984,1.7963354244832161,0.3122900997202863,0.8833922120574991,0.15865592864296943,0.0,0.38488492064370394,11.1583320764499,5.790606449009476,2.9497520958804753,20.0,11.0,20.0,13.0,273.458720410972,2503.1759753880942,31.11350709943418
71,1,40448,1524.8378139999986,26.526099778372913,4844.737864734173,2.7785049064234696e-05,1.0,0.3599057887888395,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
72,1,40960,1533.313691599993,26.713385672085643,4791.605286249978,2.751225307493465e-05,1.0,0.3634744116653466,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
73,1,41472,1543.9335108999803,26.8612603504055,4746.165977951791,2.7395839758390142e-05,1.0,0.3650189258001275,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
74,1,41984,1553.380972999992,27.02749726547617,4698.030259804854,2.736540451170189e-05,1.0,0.36542489243028853,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
75,1,42496,1564.6091181999946,27.160777414418718,4656.1259300650445,2.7166414049584038e-05,1.0,0.3681015824078965,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
76,1,43008,1575.3929948000005,27.299854793032107,4613.650913342859,2.7547758308955318e-05,1.0,0.36300594363604394,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
77,1,43520,1587.016086299991,27.4225323710887,4574.34048404115,2.731689418607461e-05,1.0,0.366073827129942,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
78,1,44032,1598.1342264999985,27.55212876982961,4534.241293790693,2.7532347961794683e-05,1.0,0.36320912454965754,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
79,1,44544,1607.6776721999922,27.707046487151068,4490.410049937909,2.751088034045913e-05,1.0,0.3634925482662001,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
80,1,45056,1617.874086899974,27.848891557644198,4449.153738974928,2.7619699706409072e-05,1.0,0.3620604172491971,7.2797316035249455,-7.2797316035249455,-5.371449790097984,1.78248599711874,0.350530757843425,0.6971128709314774,0.1775372645142481,0.0,0.32395165830516615,11.006971379605138,10.888965865021056,2.893857121600537,12.0,8.0,16.0,10.0,504.18428705004743,1770.6249236791434,20.50409797906761
81,2,46080,1676.227041199978,27.49030940761595,4469.938776533274,2.9792059535948026e-05,1.0,0.3356599092430546,9.925808007816677,-9.925808007816677,-5.371449790097984,1.8063833393919904,0.30244937129190386,0.8731773303821684,0.19651199876130418,0.0,0.4036845213991352,11.32118639179675,7.7299777059168555,2.753843595810574,17.0,7.0,19.0,12.0,376.9692288711667,2802.2659338046133,9.604123847516693
82,2,46592,1694.0278293999727,27.50368039496905,4449.150013479049,2.905520857819857e-05,1.0,0.34417237009626717,9.925808007816677,-9.925808007816677,-5.371449790097984,1.8063833393919904,0.30244937129190386,0.8731773303821684,0.19651199876130418,0.0,0.4036845213991352,11.32118639179675,7.7299777059168555,2.753843595810574,17.0,7.0,19.0,12.0,376.9692288711667,2802.2659338046133,9.604123847516693
83,2,47104,1706.780550699972,27.598158404536576,4415.367076810798,2.9345999427899792e-05,1.0,0.3407619503492802,9.925808007816677,-9.925808007816677,-5.371449790097984,1.8063833393919904,0.30244937129190386,0.8731773303821684,0.19651199876130418,0.0,0.4036845213991352,11.32118639179675,7.7299777059168555,2.753843595810574,17.0,7.0,19.0,12.0,376.9692288711667,2802.2659338046133,9.604123847516693
84,2,47616,1724.449482899974,27.612290456850655,4394.564811261224,2.9132318697151634e-05,1.0,0.3432613827946942,9.306994759421162,-9.306994759421162,-5.371449790097984,1.8160212380827063,0.3415040227439423,0.8558618865355752,0.21328251976765752,0.0,0.45181724208618457,11.751691465752739,10.290448751487943,3.364726383171233,17.0,7.0,22.0,13.0,420.73022403523055,2806.8182374062467,4.7705445026265
