rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
2021,2325,25.816008494951344,-25.816008494951344,-25.816008494951344,True,1.4755711710679338,0.2507810110232847,0.8555136102934913,0.08286763707995673,0.0,0.5292125141868239,10.754831742056865,0.543321668551151,2.9340376030740085,20.0,13.0,19.0,12.0,325.75671919740483,2344.6795589927806,17.083491122494127
2022,2797,25.837493773837103,-25.837493773837103,-25.837493773837103,True,1.7446929815437646,0.2375562393292785,0.439615317620337,0.11018294373527168,1.0,0.29869602004010226,0.087208924804278,0.07052094159642763,3.02637654200599,14.0,7.0,11.0,4.5,469.96224438771605,1819.2776478827,29.392568804323673
2023,520,25.83938116925832,-25.83938116925832,-25.83938116925832,True,1.5420472838382429,0.16394043217433318,0.4608144866731704,0.12085450035605765,0.0,0.30555235259271,8.188335704986335,0.3837232090165532,1.6174036182763225,19.0,12.0,17.0,10.0,311.1751695638391,2050.636875243006,6.37932128899954
2024,174,25.84055086405051,-25.84055086405051,-25.84055086405051,True,1.486586925904389,0.31458252327421515,0.7915959712076962,0.11878314015995091,1.0,0.3991087419539725,1.184797915464598,0.3831920270051672,1.070282356458515,18.0,12.0,15.0,8.0,511.9069299219437,2067.9024619405286,32.60562536482354
2025,3041,25.847279362106363,-25.847279362106363,-25.847279362106363,True,1.7312235408401597,0.32042572859437873,0.6790941299870611,0.18408128992642495,1.0,0.35483033479239884,8.578056842248158,3.6719628659913326,3.1556287717389226,20.0,15.0,21.0,12.0,441.31906050509986,1398.8165617800673,3.223115545247328
2026,764,25.85538488115653,-25.85538488115653,-25.85538488115653,True,1.5281056457701618,0.3332119023054838,0.6161414493491716,0.19836333014209792,4.0,0.5726886060187593,1.1924809522977284,0.48469301108397467,1.3373416544260617,14.0,6.0,12.0,8.0,588.0832903087139,2837.586016496146,17.602176666259766
2027,103,25.857450682129247,-25.857450682129247,-25.857450682129247,True,1.6051520773790777,0.34978526383638386,0.6177243920043112,0.15997651224955917,1.0,0.5970914632160216,7.104069768703577,5.222005434420089,2.580898447415313,20.0,11.0,19.0,8.0,576.6903891693801,1997.991731390357,27.23947685211897
2028,2090,25.86799675734828,-25.86799675734828,-25.86799675734828,True,1.5042284857544812,0.3234050874694452,0.6246466603043342,0.2705039220792064,0.0,0.1318336007116606,4.719495699846631,4.332933462196149,1.1340677967748127,13.0,5.5,22.0,10.0,491.1432346159592,2864.8554489029266,15.270465341625085
2029,2152,25.874074829794733,-25.874074829794733,-25.874074829794733,True,1.6950263549318727,0.29036041666857804,0.6517590900468178,0.1848765058901564,1.0,0.342548291503618,6.766497353461609,5.165261487219703,2.5140360383178275,13.0,10.0,20.0,15.0,497.25891281288625,1274.0952558009121,15.955821202232773
2030,3012,25.87489501063892,-25.87489501063892,-25.87489501063892,True,0.9443302160092362,0.381069006557037,0.8176075255449274,0.20575748231113744,1.0,0.42520750448281386,6.534041094720273,1.3539963530917625,3.298178657912538,13.0,6.5,16.0,12.0,365.03613714103545,2173.691026305519,0.44197837365960524
2031,560,25.876234278853598,-25.876234278853598,-25.876234278853598,True,1.6975834306782458,0.3027489269446421,0.728633072330579,0.14031768607761047,1.0,0.2474537173796425,6.590123178695485,1.2550878746403793,1.2928172242127478,13.0,8.0,11.0,8.0,593.6073948890537,2577.936625476817,7.827124722705248
2032,1096,25.880658958390867,-25.880658958390867,-25.880658958390867,True,1.6491761879469933,0.2763449997454882,0.6189647164195776,0.2259758670717364,0.0,0.2711572336980969,2.777932861461826,2.705330390014648,1.8304245377311834,20.0,11.0,24.0,12.0,625.6843552949532,1970.51234144143,23.64354620026851
2033,2293,25.89998803341757,-25.89998803341757,-25.89998803341757,True,1.6615830975227759,0.33178686742884267,0.6919458600976603,0.2129827923683374,1.0,0.47734043584451924,5.350269200844265,1.4095135022138283,1.983493391352174,20.0,15.0,20.0,15.0,418.4908242671676,2538.5906441987786,15.901113264262676
2034,828,25.901488762306855,-25.901488762306855,-25.901488762306855,True,1.2390265887123442,0.20015144330331422,0.8935422309165566,0.21158532640790456,2.0,0.24838370683871025,0.9173045433293101,0.29800009002086547,2.4089459818388774,20.0,12.0,16.0,12.0,589.3675249391238,1129.5383972410896,22.739179654783328
2035,551,25.90176423540113,-25.90176423540113,-25.90176423540113,True,0.9558270241474481,0.30502252900740584,0.5542362218791368,0.20436827983586428,2.0,0.27520633507176995,4.323112697537691,1.3123941863575848,2.6335795894142824,13.0,10.0,18.0,12.0,348.0302526018811,1934.2919768482782,7.77417140611548
2036,2473,25.910408237747777,-25.910408237747777,-25.910408237747777,True,1.6527312213201075,0.3980764605849981,0.8446338197216392,0.17850625194609165,3.0,0.4152128815023228,0.6425248677081932,0.12846518835718612,1.2678016478548177,21.0,12.0,13.0,6.5,612.4887809623033,1080.2392810583115,35.16469568014145
