case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds,full_error
23,1.3167939382813652,0.2065691274134987,0.35988187424956186,0.22422657452570588,4,4,2.893636502799721,8.746351701210424,ok,30.05073985855659,-0.3479001461598063,-0.6027570746298683,0.011032500071451068,ok,30.13043101364019,-0.24018944010475274,-0.6369913463155462,0.9889309001155198,
24,0.9606135019511808,0.16200967111910225,0.5277695650666822,0.1944361109741276,3,7,4.173209522303061,3.380201422846807,ok,30.548807415363672,0.9605376517048771,-0.1501133103214061,0.013600300066173077,ok,30.4768330764394,0.9717233003521946,-0.3403196654915868,0.9477562999818474,
25,1.4737091636010042,0.3055709209066577,0.4579876559030416,0.28194699285879954,8,8,3.608983828511818,4.821636724632616,ok,29.320288621407418,-0.8922281350631698,-0.8588778540901066,0.013415999943390489,ok,29.450831888288747,-0.9288332040219676,-0.9750363280561692,0.9335670999716967,
26,0.9555912244767238,0.25468521042928094,0.4650353365373976,0.28841233442093644,7,3,3.0646940301214265,3.5235981082672905,ok,30.08753703826533,0.16638750998481472,-1.4486238958625928,0.011381600052118301,ok,30.07978663057489,0.2410369514862873,-1.352936682439598,1.1268926998600364,
27,1.2742410630579681,0.24080217287722705,0.5558355762245347,0.2054375432434346,9,10,3.2401642373402813,6.689329041381115,ok,30.041007206502385,-0.5410115663791456,-0.7999491192175228,0.01239540008828044,ok,30.070336545353182,-0.48382569755272337,-0.761241997493826,1.0240364999044687,
28,1.1200358395137064,0.13048912841617902,0.6649187896620483,0.1503320012982517,4,6,0.8776943398821495,2.520117166681318,ok,30.66561741498049,0.9431202607460458,1.3536690631338388,0.010691799921914935,ok,30.59589986399152,0.8537733091175568,0.5330775362625859,0.9845318000297993,
29,1.6433117989792878,0.24885481116357233,0.5119355034532085,0.11806408407969515,8,5,3.1004492133801773,6.760423337583728,ok,29.63990041864553,-0.9916381555439179,-0.5116435098577593,0.01260819984599948,ok,29.758083263953417,-0.93877755669243,-0.6359437834657269,1.0454136999323964,
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,30.32165062036064,0.1540309919078018,-1.2406313246527303,0.009961299831047654,ok,30.174699362710825,0.2600400686085087,-1.0301053053888394,0.9966376000083983,
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,30.34529476379194,-0.22009734861625707,-0.4353514448534488,0.011087100021541119,ok,30.365534976999523,-0.1042585465277269,-0.36436569956370113,1.0478491999674588,
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,29.950447026453947,-0.7360345912717179,-0.8805004951156101,0.011052900226786733,ok,29.893403567715943,-0.7725578723616465,-0.7716102241803957,1.0267757999245077,
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,30.37101382120966,0.1398245831849308,-1.060766227385178,0.00974579993635416,ok,30.25013543095168,0.24966429483496994,-0.866226910424538,0.9425974001642317,
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,29.750394111424512,-0.8702577791644963,-0.8644412281923133,0.01282500009983778,ok,29.70396474456985,-0.9605014121254223,-0.8102677887620101,0.9762118000071496,
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,ok,30.475731548549415,0.4042103320213102,0.4691913736019344,0.012057199841365218,ok,30.47811569657831,0.4461643809970348,0.3189865192292253,0.997630099998787,
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,30.087158747447887,-0.8588226195537356,-0.4200707560332484,0.012352999998256564,ok,30.036923700383262,-0.7626924876320057,-0.32382976345593495,0.9734835000708699,
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,30.224888529873052,-0.21168983686358495,0.11125369707712135,0.011627200059592724,ok,30.254092652642804,-0.0839763558583022,0.05658511791879824,1.0141429998911917,
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,29.659899945110716,-0.32081573982269096,-1.390365864694099,0.011370599968358874,ok,29.746200818075373,-0.37847459274984707,-1.4202824204492268,0.9834941001608968,
39,0.9854490663268253,0.24435446015817283,0.5880971411727625,0.12551307755084729,9,10,1.8164064648352531,5.113746591310805,ok,30.2048841008299,0.06924829577189633,-1.2713466229740575,0.012033000122755766,ok,30.225951478711025,0.13715262997824873,-1.1179350504624361,0.9948439998552203,
40,0.9721990711003974,0.1694015411004398,0.4529026812479918,0.08487364954932287,7,2,3.2642883542088232,7.715469857529972,ok,30.49697757647383,0.8048998007029804,-0.36505995942470915,0.013280499959364533,ok,30.508366852329477,0.8362630662158465,-0.4426570789903763,0.990112999919802,
41,1.269371898894717,0.3454721170867479,0.8925002581829862,0.1412541364741185,8,10,2.1868247915063694,8.92599633752307,ok,29.701962814177342,-1.007668961478082,-0.7847402813503074,0.01288709999062121,ok,29.62772705978343,-1.1672527857864403,-0.6592741304400245,0.98451800015755,
42,1.0395724669381083,0.12249854071797198,0.5218851278798544,0.1743307528614404,6,1,3.269428833964043,3.440067060993653,ok,30.684944625811973,1.3902107516960573,2.0790963546244607,0.012356800027191639,ok,30.62710886181375,1.2014635473920612,0.9588217929949499,0.9921806999482214,
43,1.5433368653996176,0.25723380818867303,0.31111909025929074,0.19065511243994177,6,5,0.5671942394521928,9.382885148621579,ok,29.327578928557585,-0.7170017648015747,-0.7947504300233736,0.013184000039473176,ok,29.581078894711336,-0.665647255445079,-0.9903916311474403,1.010974199976772,
44,1.111833468153565,0.28447619724605444,0.7371590606437998,0.1338376144884591,3,6,4.19896773224232,2.613806961442637,ok,30.02972011814904,-0.5039720729616242,-1.0576880815328664,0.013555499957874417,ok,30.02020864534309,-0.5347066189112525,-0.9154757266853162,0.9817717999685556,
45,1.7520113518580938,0.2585264808623764,0.40550514651597236,0.08676722958045979,6,3,2.3937074371812117,5.247514271202548,ok,29.299753949977525,-1.0178555312458217,-0.5451540671553358,0.014237300027161837,ok,29.527075015566055,-0.9676512993246964,-0.7542161167706524,0.9895341000519693,
46,0.8473227881391517,0.22049644657881948,0.5004813709924653,0.1260858008645962,4,8,1.7642587026714085,1.5018750916567507,ok,30.295413264997045,0.7916565357176202,-1.512181100468555,0.010300100082531571,ok,30.283754576072983,0.9005503092198894,-1.3637805883424894,0.9844515000004321,
47,1.2444914587995464,0.1422722968706814,0.5659428264915405,0.19985284276936735,8,1,3.1100385283651666,9.615382265708604,ok,30.567698476262276,0.348410375388684,0.7156638734098713,0.012184000108391047,ok,30.520571680054406,0.3867932753032858,0.3511939708635604,1.0433207000605762,
48,1.640685697440419,0.21688214554201102,0.4540452473047385,0.16216739318437426,6,6,2.7360595098948854,3.7828516112471435,ok,29.813388145946146,-0.8567969544006051,-0.3830976988706624,0.011074499925598502,ok,29.91960531796017,-0.7484016528854041,-0.509307637805986,1.0793316999915987,
49,1.0979833205178449,0.24664195269606365,0.8180591252549092,0.09027778199440568,5,4,2.5516449958811167,4.544990489098962,ok,30.233009037264186,-0.30898981004142023,-0.9936135105671287,0.011678500100970268,ok,30.201116678259282,-0.260961628163705,-0.7753173347974787,1.346814899938181,
50,1.1785211448434199,0.252753490471441,0.45249449412753895,0.18505256514529797,9,10,1.6271158745325647,6.6805692671547146,ok,29.95564658323552,-0.3609567351003143,-1.0324018195614664,0.020382999908179045,ok,30.044265475237104,-0.3213824227539771,-1.0253941942845335,2.141952499980107,
51,1.6252078919032646,0.3058225382604974,0.5009784013815787,0.26429335919808405,10,7,1.009593404487648,3.4068782232782997,ok,29.219093452412817,-1.069375991643249,-0.7004050252857001,0.02782979980111122,ok,29.330503680759954,-1.0968315512943594,-0.8307519193862573,2.016198300058022,
52,1.4458263465888328,0.27079401171096507,0.8044374664249394,0.1293983781205911,6,10,2.2267669427360417,4.479583670258513,ok,29.88281327762374,-0.9817338276417469,-0.6165057750823784,0.022857999894768,ok,29.85209981326848,-0.9859704910593782,-0.5376562965178412,2.056085600052029,
53,1.579180656965878,0.2935686526153788,0.5136699458616307,0.09638008062854653,3,6,3.0192423679543627,8.370033765093385,ok,29.38206588262024,-1.0282782548435645,-0.6831973432713294,0.024762999964877963,ok,29.540954878260703,-1.0512823561684714,-0.7970823822574982,1.396855500061065,
54,0.9948622256775601,0.28543468133637545,0.5961104534900703,0.1597462413174478,6,8,4.164083438435066,9.479803714419324,ok,30.01049404437895,-0.16978031108643946,-1.3517251336735916,0.01279039983637631,ok,30.041660828472118,-0.17195971509273322,-1.2550847703617718,1.867742900038138,
55,0.9007026640341289,0.2664855389354166,0.553831616456907,0.1823193008142231,4,4,3.229044912368004,9.258962996643339,ok,30.107747429816474,0.23462482813622815,-1.5747019573711374,0.019156099995598197,ok,30.112387078940827,0.30353948120344176,-1.4523424936552545,1.9914936001878232,
56,1.7926262489470504,0.3282646067542967,0.6605406210357109,0.2598768601722886,6,3,1.7982663234767637,4.691026809110559,ok,29.078239898419472,-1.3255587958645116,-0.5212274776379195,0.024877000134438276,ok,29.091148464445375,-1.3718273329361688,-0.6129943835216953,2.2208241999614984,
57,1.1167127887395663,0.12294647131255605,0.30388093217534906,0.132321839603581,10,6,3.114986467155572,1.5231966733329245,ok,30.610542257602983,0.9324791797020843,2.09663367874115,0.023216899950057268,ok,30.62367864273067,0.8241338901281893,1.3500457804307566,3.224286000011489,
58,1.1262254385480372,0.12863746807770543,0.5579452497639492,0.17016720477058822,5,8,3.729392094599114,5.154896168595541,ok,30.656950764350043,0.9361899290778459,1.4873559176599873,0.03088380000554025,ok,30.605702169519926,0.840805965852683,0.6773320672527372,2.2069600000977516,
