rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
50,49,-1.5,1.5,True,0.9655871740111455,0.36328473593086774,0.8722949045802689,0.15655501434174068,4.0,21.592807379902222,2.9698912842495533,18.23077973937963,12.021949471290686,401.95472333233283,2455.3014226856753,0.8611221220022782,0.7258403816944101
51,50,-1.5,1.5,True,1.493593572519261,0.351875455215229,0.760328364241575,0.16845945395823864,5.0,18.94889666236721,1.741645426509768,23.45564724027584,14.492423369882944,414.36034783428636,2584.75716972772,0.8794886201694918,0.879721377656816
52,51,-1.5,1.5,True,0.9198540049577588,0.38272283342831875,0.6822495815237627,0.10961662748331988,5.0,19.864622861126726,2.0725477633089584,18.380328780361634,11.632795944683844,426.53072198091655,1408.38332956993,0.8944649787033646,0.9842508924894325
53,52,-1.5,1.5,True,1.1490027949965107,0.34641497132356003,0.8202346813287467,0.2257894568522048,5.0,21.735071525991472,1.468570262105186,21.717959380049077,13.202813191181729,410.0302776901749,2426.2020774910497,0.8764280208771891,0.7461517655281554
54,53,-1.5,1.5,True,1.3151118942275462,0.3544134614710374,0.7484266626031568,0.21649141130205685,5.0,20.94031498401962,1.2932360930465532,17.232999790377043,11.699179214665687,435.63575638579016,2061.453887085835,0.8752126473623036,0.8553461362527621
55,54,-1.5,1.5,True,1.0464015024763076,0.35027045549701885,0.4259717603679106,0.16273704705812575,4.0,20.0893039763852,1.6027165094256182,18.870477675529813,9.90802961332097,395.73014542166254,1736.4714568831687,0.9463896398206006,0.9343335175929737
56,55,-1.5,1.5,True,1.3865137152388465,0.3642340368558843,0.7487111477111488,0.26245247373113717,3.0,18.793310833163524,3.215050684543466,21.358717047684888,13.066015665281741,399.4101021804863,1831.008158180351,0.6607741613649033,0.8480573195604241
57,56,-1.5,1.5,True,0.9839593931966155,0.34213145959675645,0.8796814474554273,0.23262175909231017,5.0,20.951491615680105,2.136414937736232,15.55505831694266,10.458789959670462,436.2149038940998,1380.918280557541,0.8987929203132827,0.5113861249411303
58,57,-1.5,1.5,True,1.153561824717747,0.35232430990848285,0.48463909018761875,0.17419652005761782,5.0,19.895298952935278,1.3880687572406187,18.30907464532356,10.493958922917294,491.4533571657081,1938.985212382047,0.987069183277218,0.9584574847553654
59,58,-1.5,1.5,True,0.9768636948118884,0.33192583016053756,0.8113630550956861,0.19965531888335325,5.0,21.02985572749259,1.1245770394051278,18.944662333758384,11.804855369595849,435.51809405985773,2396.1304302240333,0.8788332866482195,0.9598471593503195
60,59,-1.5,1.5,True,1.0845948172649675,0.3229862886994538,0.7833193096012314,0.24333533004619237,5.0,19.68216407279838,1.1706436292584117,19.15264068608262,13.59911454425898,445.22366774271995,2335.8351599348616,0.9131450861880561,0.8142916001802244
61,60,-1.5,1.5,True,0.9540810404607207,0.3238621513969427,0.7757277002738178,0.14439327124121737,5.0,20.953898195666046,1.58199792982052,17.788242852330498,10.230800809901861,390.70250295679887,1074.2889764261586,0.9167924356373398,0.9340410316042701
