rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1772,1901,48.32854570430683,-48.32854570430683,-48.32854570430683,True,1.2762788002453744,0.27672443907707933,0.4591113802045584,0.1527260167710483,4.0,0.3025824290592223,0.050211638021934776,4.703401157496671,0.7949465591830034,1.5621874356592023,20.407900544814765,9.242961745609493,520.6357771996409,2870.950184762478,0.6558913448825479,0.7730792090296745
1773,99,48.328669404291716,-48.328669404291716,-48.328669404291716,True,1.2745918525251618,0.1742003161695889,0.7198394682660967,0.08866310839076426,0.0,0.26506161425614616,0.13703048282617183,22.116008306365245,0.7143598260691348,2.4528101870580388,17.98115363604862,9.338252134478488,537.2871297176164,1798.4238339483795,0.839949155872258,0.8695914981759096
1774,2998,48.35446307874442,-48.35446307874442,-48.35446307874442,True,1.5257944308303295,0.26264061442775954,0.6794705029614313,0.11439796006599583,0.0,0.48921229882744394,0.14474123847101833,22.847870003131504,0.07755442063503182,2.618718192559945,10.112172281784607,4.0559254360831645,207.53028714098036,2873.7800549715757,0.9674393957325202,0.5671220174990594
1775,880,48.36389905670641,-48.36389905670641,-48.36389905670641,True,1.154452460866576,0.2925616291428601,0.7419388306270785,0.152563017357202,2.0,0.16504453483402268,0.12850437207419457,13.414285157379602,10.12418405338039,2.089470640500739,12.062267307726849,8.218468303652125,403.2168482567642,1281.7483849035325,0.6947097503740784,0.9501467583571725
1776,2362,48.37071343474925,-48.37071343474925,-48.37071343474925,True,1.618672457490195,0.19501348474940836,0.76162058275278,0.12176240444183349,1.0,0.4813472713083028,0.10878837965968996,15.847075177993592,6.370064585825553,3.0361189474484727,12.036748042645769,5.8728370808424994,519.69001508768,1415.906581321652,0.7414084656982276,0.894298039405778
1777,2458,48.37850927578795,-48.37850927578795,-48.37850927578795,True,1.5565732536852361,0.1602255417779088,0.8345667567104103,0.29318204922601576,4.0,0.5480874437928199,0.10468712501777336,5.180862112663533,5.017265200461445,2.623472008149366,22.19288896303624,16.2775337739156,635.2974453009665,1671.2268590927124,0.909106413833797,0.6030493788421154
1778,597,48.399142857142856,-48.399142857142856,-48.399142857142856,True,1.7440872952661732,0.15213832408149508,0.8938995361942388,0.22467180718769728,9.0,0.6056836174585323,0.09785534110395237,1.6005336853469956,0.6183248471924756,2.447427625925166,17.34098074642269,11.229615099062606,296.9632154330611,1855.286439508265,0.9279332176393378,0.7093739343548435
1779,1854,48.41319708717599,-48.41319708717599,-48.41319708717599,True,1.1949152452155172,0.2500414605852988,0.6272583791832833,0.16372332341145926,5.0,0.5783298218599737,0.04884220470928384,6.422613586145111,3.991212017939823,1.57234802737911,11.676069858750477,8.721296492469227,505.46479073896114,1299.674906715258,0.9459886274591764,0.5996431023921527
1780,887,48.418,-48.418,-48.418,True,1.1191061234503985,0.17648721862584352,0.6195428838919479,0.17237090707965871,8.0,0.4546435369543303,0.05625814891718714,1.3015331405294503,1.0222205513394016,1.979299405942092,16.34682558476925,7.49232210795717,434.0050027513177,2454.3081412263246,0.9514874936987898,0.8239193171167323
1781,1390,48.42247539330591,-48.42247539330591,-48.42247539330591,True,1.8013187311127896,0.2582615396271873,0.400507925044004,0.22122193898034614,6.0,0.18454132109261898,0.11293247848818344,4.866382298950391,2.531901689279131,3.0980463321949983,18.730455585092244,7.818053276136168,316.5188259649573,2716.802039304327,0.5016138888895512,0.8230888559482992
1782,1255,48.42892632840256,-48.42892632840256,-48.42892632840256,True,1.0212602467032084,0.28711199355431216,0.5765309117840421,0.12466311802119465,3.0,0.24029380604975967,0.09300404494926333,10.416920124105083,9.19355868593967,1.8647126615444534,17.767209732553784,12.011525541430348,295.14206379363003,2028.55509058856,0.7457429149445963,0.8512604600979563
1783,1174,48.447714285714284,-48.447714285714284,-48.447714285714284,True,1.75114107096605,0.30445082910358906,0.36734465797925325,0.2524567894950583,10.0,0.550198765399307,0.03884719394949286,0.8317063289843603,0.2213805435560232,1.542531842114152,15.4617047653597,10.45233854549972,520.5907650134872,2206.4489037613594,0.8440776794525419,0.715497266035527
1784,479,48.46250431087153,-48.46250431087153,-48.46250431087153,True,1.3579396115257159,0.16429195034472754,0.5886363906785845,0.2748788771019599,2.0,0.20605687646276674,0.08475034944668342,7.730390548204497,0.5647475845401217,2.8538079917223924,12.971940646606793,9.535888878910814,438.72260169626963,1982.1228276462414,0.6472238005578022,0.8286814717575908
