rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
803,3504,10.669317402263012,-10.669317402263012,-10.669317402263012,True,1.802935990253922,0.38088877349135375,0.8541458215373392,0.2401598574635317,0.0,15.10574561279348,11.962388711118026,3.367668401034786,17.0,8.0,22.0,13.0,371.7153762380123,2102.1630527249113,23.902791937279048
804,1681,10.671020811470296,-10.671020811470296,-10.671020811470296,True,1.8272779429174046,0.37309579254804015,0.3356023561467786,0.19742558089835974,0.0,15.115786888585149,14.540255883971588,3.3599014107217977,19.0,10.0,22.0,13.0,360.57479219015556,2638.573189101262,6.094351695317858
805,3505,10.671020811470296,-10.671020811470296,-10.671020811470296,True,1.8272779429174046,0.37309579254804015,0.3356023561467786,0.19742558089835974,0.0,15.115786888585149,14.540255883971588,3.3599014107217977,19.0,10.0,22.0,13.0,360.57479219015556,2638.573189101262,6.094351695317858
806,1579,10.671930287277553,-10.671930287277553,-10.671930287277553,True,1.8095001168820173,0.36841948614444964,0.8278092793818106,0.14088252016245476,0.0,15.292390240650978,14.056599274041636,3.301136571827205,19.0,8.0,21.0,13.0,346.02209638699566,2739.724748929403,31.036958766940298
807,3506,10.671930287277553,-10.671930287277553,-10.671930287277553,True,1.8095001168820173,0.36841948614444964,0.8278092793818106,0.14088252016245476,0.0,15.292390240650978,14.056599274041636,3.301136571827205,19.0,8.0,21.0,13.0,346.02209638699566,2739.724748929403,31.036958766940298
808,1314,10.67222654873083,-10.67222654873083,-10.67222654873083,True,1.8120639814082535,0.35074145360165465,0.5424731270985046,0.23036487589908292,0.0,15.408324868220701,11.987484417139052,3.3208900467959417,14.0,7.0,13.0,10.0,526.7918137210943,2471.2726836655747,26.36943415869696
809,3507,10.67222654873083,-10.67222654873083,-10.67222654873083,True,1.8120639814082535,0.35074145360165465,0.5424731270985046,0.23036487589908292,0.0,15.408324868220701,11.987484417139052,3.3208900467959417,14.0,7.0,13.0,10.0,526.7918137210943,2471.2726836655747,26.36943415869696
810,1225,10.673304592380855,-10.673304592380855,-10.673304592380855,True,1.7928323407334732,0.35828086759315797,0.4860798616952209,0.11179239030972075,0.0,15.056680932173581,14.216333010558628,3.369331974366259,14.0,7.0,13.0,10.0,533.5199651925735,2466.6966296942346,26.881431812754638
811,3508,10.673304592380855,-10.673304592380855,-10.673304592380855,True,1.7928323407334732,0.35828086759315797,0.4860798616952209,0.11179239030972075,0.0,15.056680932173581,14.216333010558628,3.369331974366259,14.0,7.0,13.0,10.0,533.5199651925735,2466.6966296942346,26.881431812754638
812,4,10.673314630216444,-10.673314630216444,-10.673314630216444,True,1.8259351531257195,0.3990284731591619,0.7655910101977631,0.24090035513129668,0.0,15.342469133933266,13.7031640251872,3.3043258889019276,20.0,8.0,22.0,10.0,340.7919857616663,2416.6034004574726,18.07636898668103
813,3509,10.673314630216444,-10.673314630216444,-10.673314630216444,True,1.8259351531257195,0.3990284731591619,0.7655910101977631,0.24090035513129668,0.0,15.342469133933266,13.7031640251872,3.3043258889019276,20.0,8.0,22.0,10.0,340.7919857616663,2416.6034004574726,18.07636898668103
814,975,10.67359241500703,-10.67359241500703,-10.67359241500703,True,1.796757359080381,0.3980388775051832,0.5036370050464246,0.22403846277486517,0.0,15.480544099727467,12.081803032152123,3.3735578978027565,19.0,10.0,13.0,10.0,358.19678773927103,2375.1910860368907,8.883636848727717
815,3510,10.67359241500703,-10.67359241500703,-10.67359241500703,True,1.796757359080381,0.39803887750518313,0.5036370050464246,0.22403846277486517,0.0,15.480544099727467,12.081803032152123,3.3735578978027565,19.0,10.0,13.0,10.0,358.19678773927103,2375.1910860368907,8.883636848727717
816,3511,10.67359241500703,-10.67359241500703,-10.67359241500703,True,1.796757359080381,0.3980388775051832,0.5036370050464246,0.22403846277486517,0.0,15.480544099727467,12.081803032152123,3.3735578978027565,19.0,10.0,13.0,10.0,358.19678773927103,2375.1910860368907,8.883636848727717
817,843,10.673715053738466,-10.673715053738466,-10.673715053738466,True,1.8021806515648524,0.3387221060029172,0.5115235402220949,0.2633972350184129,0.0,15.03108104817548,8.727747882508973,3.230810238404054,16.0,10.0,16.0,12.0,390.59162731094153,2204.527910623856,19.32771330084827
818,3512,10.673715053738466,-10.673715053738466,-10.673715053738466,True,1.8021806515648524,0.3387221060029172,0.5115235402220949,0.2633972350184129,0.0,15.03108104817548,8.727747882508973,3.230810238404054,16.0,10.0,16.0,12.0,390.59162731094153,2204.527910623856,19.32771330084827
819,1904,10.674212258471503,-10.674212258471503,-10.674212258471503,True,1.8127153101994584,0.37278226351671145,0.39389716457821217,0.26548956246393196,0.0,15.272600269868516,10.026933703378862,3.360562537004159,18.0,8.0,20.0,11.0,361.06234908261166,2373.9537422563512,8.83736175659784
820,3513,10.674212258471503,-10.674212258471503,-10.674212258471503,True,1.8127153101994584,0.37278226351671145,0.39389716457821217,0.26548956246393196,0.0,15.272600269868516,10.026933703378862,3.360562537004159,18.0,8.0,20.0,11.0,361.06234908261166,2373.9537422563512,8.83736175659784
821,1302,10.674270365630463,-10.674270365630463,-10.674270365630463,True,1.814930686464568,0.3374072161972389,0.6082222299394109,0.17667507454173137,0.0,15.244507217149252,13.441341937500992,3.3683589273874857,13.0,6.5,13.0,8.0,565.0565738624382,2199.8874645672836,20.384721992151444
822,3514,10.674270365630463,-10.674270365630463,-10.674270365630463,True,1.814930686464568,0.3374072161972389,0.6082222299394109,0.17667507454173137,0.0,15.244507217149252,13.441341937500992,3.3683589273874857,13.0,6.5,13.0,8.0,565.0565738624382,2199.8874645672836,20.384721992151444
823,1018,10.67461166454736,-10.67461166454736,-10.67461166454736,True,1.775413963599959,0.3445203511351549,0.3954466490288612,0.10297544033228048,0.0,15.197941172394936,10.973992261846234,3.294766470703855,16.0,10.0,15.0,10.0,389.47621350040157,2238.825768385742,25.3892503965901
824,3515,10.67461166454736,-10.67461166454736,-10.67461166454736,True,1.775413963599959,0.3445203511351549,0.3954466490288612,0.10297544033228048,0.0,15.197941172394936,10.973992261846234,3.294766470703855,16.0,10.0,15.0,10.0,389.47621350040157,2238.825768385742,25.3892503965901
825,2122,10.675036040632936,-10.675036040632936,-10.675036040632936,True,1.772223030301905,0.3855464305810162,0.6694648883853733,0.20512571791667433,0.0,15.364177306203846,12.81323757663318,3.373961993090283,20.0,10.0,17.0,12.0,301.0832834737375,2071.118322311501,15.596743998626948
826,3516,10.675036040632936,-10.675036040632936,-10.675036040632936,True,1.772223030301905,0.3855464305810162,0.6694648883853733,0.20512571791667433,0.0,15.364177306203846,12.81323757663318,3.373961993090283,20.0,10.0,17.0,12.0,301.0832834737375,2071.118322311501,15.596743998626948
827,897,10.675262129345194,-10.675262129345194,-10.675262129345194,True,1.8201453330836206,0.3697117252070834,0.4665797000856293,0.1619702338170843,0.0,15.068962254676268,14.193374592673491,3.302386704637817,19.0,10.0,16.0,10.0,359.132408373566,2274.742893782471,24.762255314973007
828,3517,10.675262129345194,-10.675262129345194,-10.675262129345194,True,1.8201453330836206,0.3697117252070834,0.4665797000856293,0.1619702338170843,0.0,15.068962254676268,14.193374592673491,3.302386704637817,19.0,10.0,16.0,10.0,359.132408373566,2274.742893782471,24.762255314973007
829,460,10.675370944665133,-10.675370944665133,-10.675370944665133,True,1.816016590562381,0.33507845888012117,0.8004617852096605,0.2460698197572884,0.0,15.343674043257748,11.733661375952373,3.337741756966217,24.0,12.0,21.0,13.0,244.40420853113545,2340.758440395617,19.567992855744286
830,3518,10.675370944665133,-10.675370944665133,-10.675370944665133,True,1.816016590562381,0.33507845888012117,0.8004617852096605,0.2460698197572884,0.0,15.343674043257748,11.733661375952373,3.337741756966217,24.0,12.0,21.0,13.0,244.40420853113545,2340.758440395617,19.567992855744286
831,857,10.675996220778945,-10.675996220778945,-10.675996220778945,True,1.8217655443012708,0.3603245229651479,0.3857863627286953,0.20823970599040073,0.0,15.279363672396162,9.49700322981015,3.3590504019315373,18.0,10.0,16.0,10.0,358.5212879832272,2158.1947147383503,18.678416439168082
832,3519,10.675996220778945,-10.675996220778945,-10.675996220778945,True,1.8217655443012708,0.3603245229651479,0.3857863627286953,0.20823970599040073,0.0,15.279363672396162,9.49700322981015,3.3590504019315373,18.0,10.0,16.0,10.0,358.5212879832272,2158.1947147383503,18.678416439168082
