generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
171,5,96768,5233.666137699998,18.489524829057196,7005.912872159257,3.371390243991568e-05,1.0,0.2966135414854989,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
172,5,97280,5257.1972015000065,18.50415654414555,6972.703656726324,3.381384782211648e-05,1.0,0.2957368251198947,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
173,5,97792,5282.289748600015,18.513183610557938,6941.647784809443,3.432310456886323e-05,1.0,0.29134893610619533,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
174,5,98304,5309.617388000013,18.51432840004097,6913.564307291684,3.418181052396475e-05,1.0,0.2925532570309296,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
175,5,98816,5338.485412400012,18.510118950681086,6887.475998381363,3.447539133845002e-05,1.0,0.29006197208404433,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
176,5,99328,5367.700891699991,18.5047568789814,6861.803201760813,3.5114537151302485e-05,1.0,0.2847823383492631,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
177,5,99840,5398.3733106,18.494460137456358,6837.939526759999,3.6252162573691317e-05,1.0,0.27584561278717007,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
178,5,100352,5426.004562099988,18.49463981304901,6810.189399370393,3.7442861264240636e-05,1.0,0.26707360661965157,11.293786474018189,-11.293786474018189,-10.132134956386158,1.7544433581117065,0.3773720249810934,0.42367395866403657,0.24467176055845624,0.0,15.374152357511509,14.217478562959641,3.3671940212531535,18.0,10.0,20.0,15.0,315.7529052007818,2086.996966430533,7.756078224355292
179,5,100864,5453.630877099989,18.494834409041488,6782.434339540597,3.7768721849285723e-05,1.0,0.2647693517377822,11.023087883464385,-11.023087883464385,-10.132134956386158,1.746280039284642,0.3752176001002922,0.37888299468207454,0.25548718155940403,0.0,15.083623808957885,14.34266380966803,3.132720846048338,20.0,11.0,21.0,13.5,275.5252144403757,2337.401056391683,13.42428432396776
180,5,101376,5481.715201300016,18.493481743808612,6755.244995541434,3.945272983079322e-05,1.0,0.2534678853120805,11.023087883464385,-11.023087883464385,-10.132134956386158,1.746280039284642,0.3752176001002922,0.37888299468207454,0.25548718155940403,0.0,15.083623808957885,14.34266380966803,3.132720846048338,20.0,11.0,21.0,13.5,275.5252144403757,2337.401056391683,13.42428432396776
181,0,102400,5600.815280700015,18.283052532166636,6776.986489647018,6.356882898215875e-05,1.0,0.1573098035643631,10.580106990743658,-10.580106990743658,-10.132134956386158,1.7993218739340873,0.3650916157123508,0.6442088598773356,0.09554269217421249,0.0,15.519275037994898,7.606120998812473,3.3746124039031686,24.0,12.0,19.0,12.0,233.91503651074873,2546.650606960822,27.505000661736542
182,0,102912,5653.643410299992,18.202775189625783,6778.746576528846,6.527883855028723e-05,1.0,0.1531890000202215,10.512655148366596,-10.512655148366596,-10.132134956386158,1.8005906124307771,0.34768713291523423,0.7286241626265418,0.13096460437336135,0.0,15.217291262647196,14.05200501012638,3.370530854495602,22.0,10.0,18.0,10.0,284.67481955934016,2224.9495104345797,29.47577710135546
183,0,103424,5695.0517139,18.160326753060286,6766.398075920792,6.778373229333961e-05,1.0,0.1475280227521874,10.509794663762069,-10.509794663762069,-10.132134956386158,1.8233270522810396,0.352740656181447,0.6779997992686754,0.1222659852571,0.0,15.064494037667169,12.575589830321672,3.153560158539241,22.0,10.0,17.0,12.0,269.1176027427264,2253.7979060248877,33.423999235934815
184,0,103936,5731.703529799997,18.13352687549538,6748.163269074874,7.466231831040272e-05,1.0,0.13393637146955134,10.509794663762069,-10.509794663762069,-10.132134956386158,1.8233270522810396,0.352740656181447,0.6779997992686754,0.1222659852571,0.0,15.064494037667169,12.575589830321672,3.153560158539241,22.0,10.0,17.0,12.0,269.1176027427264,2253.7979060248877,33.423999235934815
185,0,104448,5771.672270800016,18.096661608529338,6733.6176492666855,8.772858358343406e-05,1.0,0.11398793405218387,10.509794663762069,-10.509794663762069,-10.132134956386158,1.8233270522810396,0.352740656181447,0.6779997992686754,0.1222659852571,0.0,15.064494037667169,12.575589830321672,3.153560158539241,22.0,10.0,17.0,12.0,269.1176027427264,2253.7979060248877,33.423999235934815
186,0,104960,5803.177128300013,18.086644208764152,6709.038923937087,9.082034092086778e-05,1.0,0.11010749242521597,10.500314120092117,-10.500314120092117,-10.132134956386158,1.8000765251975985,0.34113826249776824,0.533291176336135,0.1474856651577321,0.0,15.013474424844565,11.09670524881265,3.348265050498873,22.0,10.0,17.0,12.0,279.68385600889053,2397.4184960170746,30.243709173699635
187,0,105472,5841.125111600006,18.056795220931164,6691.774399697094,9.41608836958555e-05,1.0,0.10620121230276995,10.326695003326266,-10.326695003326266,-10.132134956386158,1.8112495431562017,0.3555293706423368,0.5379295368293268,0.14484006957620488,0.0,15.201276611565284,12.406711720917105,3.2546116150934044,20.0,15.0,20.0,15.0,268.8011628119253,2265.8306709457097,20.821278000081776
188,0,105984,5867.916805899993,18.061605763298594,6661.644683026562,9.400801041286565e-05,1.0,0.10637391384076575,10.326695003326266,-10.326695003326266,-10.132134956386158,1.8112495431562017,0.3555293706423368,0.5379295368293268,0.14484006957620488,0.0,15.201276611565284,12.406711720917105,3.2546116150934044,20.0,15.0,20.0,15.0,268.8011628119253,2265.8306709457097,20.821278000081776
189,0,106496,5899.408027199999,18.051980725690804,6636.834030599999,0.00010170259947226904,1.0,0.09832590368279279,10.326695003326266,-10.326695003326266,-10.132134956386158,1.8112495431562017,0.3555293706423368,0.5379295368293268,0.14484006957620488,0.0,15.201276611565284,12.406711720917105,3.2546116150934044,20.0,15.0,20.0,15.0,268.8011628119253,2265.8306709457097,20.821278000081776
190,0,107008,5929.9738765000075,18.045273424232743,6610.9278144713,0.00013133941963974365,1.0,0.07613860353144081,10.326695003326266,-10.326695003326266,-10.132134956386158,1.8112495431562017,0.3555293706423368,0.5379295368293268,0.14484006957620488,0.0,15.201276611565284,12.406711720917105,3.2546116150934044,20.0,15.0,20.0,15.0,268.8011628119253,2265.8306709457097,20.821278000081776
191,1,108032,6008.734053499997,17.979161506918913,6578.282305016584,0.0001130141309141775,1.0,0.08848451002639605,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
192,1,108544,6047.431389200006,17.94877742537876,6560.892544886799,0.00011677212768831622,1.0,0.08563687412369157,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
193,1,109056,6082.7669551,17.92868291765867,6539.688416515962,0.00013927854013779197,1.0,0.07179856990248967,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
194,1,109568,6114.846675000008,17.918356064095402,6514.883373364494,0.00014455837287481052,1.0,0.06917620751487084,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
195,1,110080,6148.530513900012,17.903464860610455,6491.704310024663,0.00014402383746583747,1.0,0.06943295065563,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
196,1,110592,6183.42495819999,17.885233628224317,6469.69463219073,0.00014950673781967478,1.0,0.06688661759218713,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
197,1,111104,6223.7711838000105,17.851556029115436,6453.218969377892,0.00017229095159540612,1.0,0.05804135334676855,10.593280302131507,-10.593280302131507,-10.132134956386158,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,17.0,8.0,17.0,10.0,366.4732898640692,2204.546090141682,19.17663215287962
198,1,111616,6259.3061782,17.832008344429255,6431.580660168808,0.00017640894822786208,1.0,0.05668646687402311,10.568190378837517,-10.568190378837517,-10.132134956386158,1.822064725673393,0.37985788836905865,0.5868005816775668,0.2628873532273463,0.0,15.108332193017628,14.456538290470998,3.3252932672802444,17.0,8.0,17.0,10.0,367.9690680006199,2158.516442425337,27.366073210028695
199,1,112128,6286.847109599999,17.835331135821775,6401.675367309588,0.00018934753703499197,1.0,0.05281293940544856,10.568190378837517,-10.568190378837517,-10.132134956386158,1.822064725673393,0.37985788836905865,0.5868005816775668,0.2628873532273463,0.0,15.108332193017628,14.456538290470998,3.3252932672802444,17.0,8.0,17.0,10.0,367.9690680006199,2158.516442425337,27.366073210028695
200,1,112640,6315.947780999995,17.834219646155127,6373.365488099996,0.00018839155083218815,1.0,0.0530809367820724,10.352643664537545,-10.352643664537545,-10.132134956386158,1.814566956261213,0.33978402779349753,0.49875835664812607,0.23283052633477352,0.0,15.058383942688478,14.592144154107094,3.248290883901361,16.0,10.0,16.0,10.0,383.2969740705489,2103.1920000032846,21.469893681649634
201,2,113664,6377.504584800015,17.82264496852012,6320.049588540556,7.938430522543005e-05,1.0,0.12596948441638023,11.019749598645426,-11.019749598645426,-10.132134956386158,1.7406120562441325,0.38119526960807715,0.38988310557218775,0.23033379279495086,0.0,15.688291733692848,13.301859073742579,3.3780530594059828,13.0,8.0,15.0,10.0,510.0119453158951,2188.6187436730524,21.102399785543927
202,2,114176,6398.579079299991,17.843961696022507,6283.80636038878,8.975827788259706e-05,1.0,0.11141033713993356,10.761899169243321,-10.761899169243321,-10.132134956386158,1.7698358670946384,0.3610942375205028,0.4475372717483035,0.17460473991319633,0.0,15.468554229315341,14.895836258433253,3.2987177648742363,15.0,7.0,14.0,7.0,502.8081660276572,2336.9675053017886,23.691639284645653
203,2,114688,6419.532866099995,17.865474387652046,6247.5810929008885,9.520536643214867e-05,1.0,0.10503609591300526,10.761899169243321,-10.761899169243321,-10.132134956386158,1.7698358670946384,0.3610942375205028,0.4475372717483035,0.17460473991319633,0.0,15.468554229315341,14.895836258433253,3.2987177648742363,15.0,7.0,14.0,7.0,502.8081660276572,2336.9675053017886,23.691639284645653
204,2,115200,6443.433125200012,17.878667747703837,6214.333280748457,9.89639883580395e-05,1.0,0.10104685720447333,10.695540099031879,-10.695540099031879,-10.132134956386158,1.808506907122948,0.34543356382564405,0.3487558708512984,0.16219998989021817,0.0,15.295743165370116,15.271136958999442,3.233498054121716,16.0,8.0,15.0,10.0,442.46087759192534,2380.364990639491,25.978801097695467
205,2,115712,6467.61448389999,17.890985971418836,6181.436851869017,0.0001047551859689358,1.0,0.09546066772260217,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
206,2,116224,6485.093674600008,17.921714909872684,6142.269339378862,0.00011236154014548784,1.0,0.08899842407866417,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
207,2,116736,6505.582720100007,17.943972895667905,6106.117114479831,0.00012114060968084641,1.0,0.08254870126826741,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
208,2,117248,6526.4325761999935,17.9650978740774,6070.437287033182,0.00012962273840135525,1.0,0.07714695834489035,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
209,2,117760,6546.996190900012,17.986874677532324,6034.622575960011,0.0001402307694084913,1.0,0.071311025691302,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
210,2,118272,6568.767069399997,18.00520535291308,6000.042647806924,0.00013943181410552643,1.0,0.07171964349851787,10.421963685041998,-10.421963685041998,-10.132134956386158,1.8084439553146,0.35537861027954454,0.3849804082743836,0.11530383885949062,0.0,15.111366837312387,12.194885770897077,3.351657980680794,14.0,7.0,14.0,10.0,524.9721123907864,2394.782950462688,21.920697994849107
211,3,119296,6660.280220999994,17.911558679446756,5974.242773343342,6.23998381647222e-05,1.0,0.16025682588474238,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
212,3,119808,6689.274711900012,17.91046192001433,5946.021966133344,6.335539125789607e-05,1.0,0.1578397639325394,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
213,3,120320,6720.9114518999995,17.90233376248181,5920.122002311914,6.478017351367481e-05,1.0,0.1543682188175836,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
214,3,120832,6747.151696199988,17.908593943137944,5889.462921259311,6.52782196615319e-05,1.0,0.1531904523721705,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
215,3,121344,6771.081615100004,17.920918236961445,5856.842747238399,6.623546396429635e-05,1.0,0.15097652226593292,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
216,3,121856,6804.206196200015,17.908922288106677,5832.176739600013,6.567857467686793e-05,1.0,0.15225665369869845,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
