rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
16,419,-6.226253851500689,6.226253851500689,6.174486074324574,True,1.8249162991334953,0.27434412343965675,0.6112895490445215,0.18068296818826562,7.069949969248267,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
17,471,-6.226913679089502,6.226913679089502,6.173979393980874,True,1.8183334154650308,0.2747932306881107,0.870274938989561,0.1479756653423252,21.641558962436438,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
18,463,-6.22655967507376,6.22655967507376,6.17385283745288,True,1.8214448469371636,0.2740532045375052,0.5209801923721379,0.2857363792618114,19.858794120540242,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
19,188,-6.226721532873161,6.226721532873161,6.173810662027934,True,1.8275464742884933,0.2725862459905407,0.4983499882877998,0.23390306092828686,25.63505667214897,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
20,340,-6.226237346867526,6.226237346867526,6.17338918486722,True,1.8267968180823164,0.2721182380531691,0.46056980504100353,0.13191944324276586,26.383442567745824,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
21,744,-6.224010187151078,6.224010187151078,6.1729261411127,True,1.8237452643119219,0.270567487918441,0.6039997603429798,0.15489274600107011,2.8801275040583647,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
22,421,-6.229718819001374,6.229718819001374,6.172127768782403,True,1.8270408638357918,0.3992847212399991,0.7495810748099367,0.24315899511303804,0.6786204335186881,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
23,310,-6.2308482503206895,6.2308482503206895,6.171708298892074,True,1.827619350625893,0.39473042938066055,0.879103221333854,0.11632479468360543,28.086401551741144,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
24,836,-6.23082511977245,6.23082511977245,6.171708298892074,True,1.8279444187203782,0.3950894083952026,0.8145562196867433,0.2676684245941333,25.568359774296646,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
25,837,-6.23082511977245,6.23082511977245,6.171708298892074,True,1.8279444187203782,0.3950894083952027,0.8145562196867433,0.2676684245941333,25.568359774296646,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
