generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg
11,1,1536,1060.4117688001134,1.4484939201853904,8836.764740000945,1.0093888129636982e-05,-6.23335959709193,6.23335959709193,1.7710254009459976,0.2731130796375224,0.8247534752394932,0.21516853483393789,18.346464937260862
12,1,1664,1194.6515603999142,1.3928747554165246,9097.73111381473,5.540563420039575e-06,-6.23335959709193,6.23335959709193,1.7710254009459976,0.2731130796375224,0.8247534752394932,0.21516853483393789,18.346464937260862
13,1,1792,1332.9115655000787,1.3444252765018823,9330.380958500551,2.719964235472717e-06,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
14,1,1920,1476.6503963998985,1.3002400599905002,9549.005896719344,5.169537386540515e-07,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
15,1,2048,1616.7399520000909,1.2667467006468118,9700.439712000545,9.727626477026517e-07,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
16,1,2176,1755.7792354000267,1.2393357639317524,9811.707491941324,3.590105257595699e-06,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
17,1,2304,1803.5449284999631,1.277484116747939,9418.512404388695,5.840707795892713e-06,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
18,1,2432,1901.3411803999916,1.2790971052803748,9306.564725115748,7.604041548522117e-06,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
19,1,2560,2076.545601699967,1.2328166537273502,9552.109767819848,1.0536260456444549e-05,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
20,1,2688,2170.3956337999552,1.238483877381294,9405.047746466473,1.4777502774932331e-05,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
21,2,2816,2286.642942100065,1.2314996574908066,9354.448399500265,1.0826467021544791e-05,-6.2304027044747095,6.2304027044747095,1.8278248954340817,0.39171159476041795,0.8089622084051371,0.24609801089391106,17.837007604539394
22,2,2944,2307.045073499903,1.276091236281658,8927.26137136919,7.039380536958732e-06,-6.2304027044747095,6.2304027044747095,1.8278248954340817,0.39171159476041795,0.8089622084051371,0.24609801089391106,17.837007604539394
23,2,3072,2329.0191752000246,1.319010179354219,8539.736975733424,3.7958027302380913e-06,-6.2304027044747095,6.2304027044747095,1.8278248954340817,0.39171159476041795,0.8089622084051371,0.24609801089391106,17.837007604539394
24,2,3200,2352.590275299968,1.3602028511284152,8187.014158043889,9.138594835263937e-07,-6.23543115562525,6.23543115562525,1.801091453836163,0.32706016566574325,0.49851284464757795,0.18709049447291898,22.267560251057148
25,2,3328,2380.7744823000394,1.3978644448443756,7874.869441453976,1.6313449440803251e-06,-6.23543115562525,6.23543115562525,1.801091453836163,0.32706016566574325,0.49851284464757795,0.18709049447291898,22.267560251057148
26,2,3456,2409.379556100117,1.434394174736823,7585.08378772259,3.6974914505584394e-06,-6.235800632008971,6.235800632008971,1.8233283796382533,0.3736005451824298,0.7476915256197312,0.27963317204161875,38.3185660534821
27,2,3584,2439.3117734000552,1.4692668805531206,7317.935320200167,6.748410115265423e-06,-6.235800632008971,6.235800632008971,1.8233283796382533,0.3736005451824298,0.7476915256197312,0.27963317204161875,38.3185660534821
28,2,3712,2468.905630100053,1.5035001559980932,7066.178182700151,1.0048418696141218e-05,-6.235880085075727,6.235880085075727,1.8117093644284064,0.37757608755193495,0.7570450626837695,0.2697969831858786,27.980762572284256
29,2,3840,2498.4126393999904,1.5369758939909142,6828.994547693308,1.2113099710889403e-05,-6.236069256394151,6.236069256394151,1.79142210710347,0.33008542248363903,0.65190770720912,0.2674632172418628,21.64807541261866
30,2,3968,2531.5118462000974,1.5674427935054422,6614.59546910348,1.7315875424506953e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
31,3,4096,2577.3031570999883,1.5892581315924306,6443.257892749971,9.773345182679253e-06,-6.233691716588492,6.233691716588492,1.7513327523119746,0.28262412741780285,0.6048421572893858,0.21493676278740165,7.257912680506706
32,3,4224,2600.987929899944,1.623998309043476,6226.607468548351,7.044091678476305e-06,-6.234056374034393,6.234056374034393,1.8022218828204797,0.2656817561702685,0.6157703645557655,0.24768429012612764,30.668353773653507
33,3,4352,2623.8931003001053,1.6586041555969808,6019.519465394359,3.985292398777652e-06,-6.234056374034393,6.234056374034393,1.8022218828204797,0.2656817561702685,0.6157703645557655,0.24768429012612764,30.668353773653507
34,3,4480,2653.004080200102,1.6886517564881005,5836.608976440225,6.00897952451032e-07,-6.234557490386799,6.234557490386799,1.794389814392323,0.33731038002984953,0.36138054013668364,0.27516367653132,29.662746216527506
35,3,4608,2685.0902567999437,1.7161434288215531,5668.523875466548,3.81893853545864e-06,-6.236530966141289,6.236530966141289,1.7884066355947406,0.3325450685178692,0.7094844398613585,0.2632383892182387,29.78022867781737
36,3,4736,2714.952876199968,1.7444133345801665,5503.282857162098,6.398676177371705e-06,-6.236530966141289,6.236530966141289,1.7884066355947406,0.3325450685178692,0.7094844398613585,0.2632383892182387,29.78022867781737
37,3,4864,2747.4393118999433,1.7703757746104267,5350.276554752521,9.910215185852223e-06,-6.236530966141289,6.236530966141289,1.7884066355947406,0.3325450685178692,0.7094844398613585,0.2632383892182387,29.78022867781737
38,3,4992,2783.2891371999867,1.793561413824938,5209.746333733308,1.7423000920535186e-05,-6.236530966141289,6.236530966141289,1.7884066355947406,0.3325450685178692,0.7094844398613585,0.2632383892182387,29.78022867781737
39,3,5120,2817.7928019999526,1.8170250120470306,5072.027043599915,3.1485539158725764e-05,-6.236713132101329,6.236713132101329,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173
40,3,5248,2849.5767079999205,1.8416770411081513,4934.63283580474,3.149876635305327e-05,-6.236713132101329,6.236713132101329,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173
41,4,5376,2896.4899480999447,1.8560395845760065,4827.4832468332415,9.195581747071811e-06,-6.235682746931006,6.235682746931006,1.8074575181324035,0.33159542802721265,0.3808593532070518,0.13407209737226367,22.41224128752947
42,4,5504,2919.9476262999233,1.8849653159616826,4685.497353830109,5.570094989149914e-06,-6.235682746931006,6.235682746931006,1.8074575181324035,0.33159542802721265,0.3808593532070518,0.13407209737226367,22.41224128752947
43,4,5632,2947.317399499938,1.9108902220560173,4554.945071954449,2.242671657611197e-06,-6.235682746931006,6.235682746931006,1.8074575181324035,0.33159542802721265,0.3808593532070518,0.13407209737226367,22.41224128752947
44,4,5760,2975.6969516000245,1.9356809828712105,4430.482127937814,8.518343336089111e-07,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
45,4,5888,3003.5266837999225,1.9603621408652763,4309.407850669454,4.618378310005405e-06,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
46,4,6016,3032.5039933000226,1.9838391023694206,4193.888501372371,7.403124341529779e-06,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
47,4,6144,3062.5972267999314,2.0061403916373903,4083.462969066575,8.85381481056153e-06,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
48,4,6272,3090.055450499989,2.0297370388564238,3972.9284363571287,1.0667432415830695e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
49,4,6400,3118.839050400071,2.052045615877176,3867.3604224960877,1.2841012394379122e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
50,4,6528,3154.727035500109,2.0692757016821064,3773.3009640295427,1.761965325429507e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
51,5,6656,3204.267734199995,2.077229667470903,3697.2320009999944,7.27958223671227e-06,-6.2328393417844286,6.2328393417844286,1.787669345815845,0.3486694992597517,0.30695468857884406,0.12947514513929662,5.061313433986442
52,5,6784,3227.8641216999386,2.101699372781293,3593.282701515026,4.484020403343649e-06,-6.235103710823613,6.235103710823613,1.7889245455018399,0.34364028595421636,0.37904666026784994,0.20104184679353101,11.195328387278881
53,5,6912,3255.3534830000717,2.12327172336137,3496.490778037114,9.958100569304927e-07,-6.23530025172882,6.23530025172882,1.7987089949728323,0.32628762281861035,0.6573083442316809,0.12639656110621672,10.72912946343422
54,5,7040,3285.8802982000634,2.142500444662079,3405.3668544982474,2.773902498588451e-06,-6.23530025172882,6.23530025172882,1.7987089949728323,0.32628762281861035,0.6573083442316809,0.12639656110621672,10.72912946343422
55,5,7168,3312.9807420999277,2.163610524176055,3312.9807420999277,5.104128429874361e-06,-6.235306228550485,6.235306228550485,1.808738060424726,0.32052568945800297,0.8033037647511726,0.2806223822986173,14.962017218895888
56,5,7296,3342.5436432000715,2.1827688068763655,3225.2614101053323,7.568785097414811e-06,-6.235306228550485,6.235306228550485,1.808738060424726,0.32052568945800297,0.8033037647511726,0.2806223822986173,14.962017218895888
57,5,7424,3375.5886357000563,2.199320119010992,3142.78941944488,1.277140676908089e-05,-6.236047449126178,6.236047449126178,1.792587305529758,0.3402748075951706,0.3890438479628582,0.21057454800777087,13.958667362319366
58,5,7552,3411.500280499924,2.2136888110978914,3064.5680485846774,2.167284350628154e-05,-6.236826860784759,6.236826860784759,1.8239887888298196,0.32659833539277316,0.4417767333541178,0.21259990144147123,20.973179317760394
59,5,7680,3441.4535320000723,2.231615196482577,2982.593061066729,3.5942623211291196e-05,-6.236826860784759,6.236826860784759,1.8239887888298196,0.32659833539277316,0.4417767333541178,0.21259990144147123,20.973179317760394
