rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1832,2939,3.615624463686183,-3.615624463686183,-3.615624463686183,True,1.1636537636678665,0.2663461483872601,0.5071818932890892,0.1687456019313944,4.0,0.3974504953814606,1.0138975657041662,2.0691083618439734,23.350565315032707,16.899530538925873,323.88340569893035,1832.4087637752789,0.6799726451821496,0.8555670930478914,8
1833,2309,3.573546222297715,-3.573546222297715,-3.633866905112792,True,1.6297591445121602,0.2929458421084887,0.35836146037745764,0.09887580959551097,1.0,0.36989107173608116,7.8303999719735975,2.8291619974188507,24.342760831295127,15.85862221234509,360.2791465566959,2182.3856661201353,0.6391755582223104,0.781784587390243,6
1834,48,3.6338799537637403,-3.6338799537637403,-3.649441742027575,True,1.6761936031808167,0.2813925835538585,0.5247347067878136,0.09343100921940649,1.0,0.47265441455949614,4.635481638447228,1.20496155336505,23.749583755375266,15.011293239996736,317.31985688522076,2888.834186064448,0.5937151002898926,0.5584104161427795,8
1835,63,3.668492532967809,-3.668492532967809,-3.668492532967809,True,1.7743108868829904,0.31309089642018084,0.8959149325266482,0.1452832116559148,3.0,0.517642182713002,1.7676745360084665,3.251691222190857,23.34724964108318,15.662375776728954,457.9756364226341,2657.5185246765614,0.9591745152138174,0.5992550738155842,6
1836,2657,3.6692224942847154,-3.6692224942847154,-3.6692224942847154,True,1.6862751834014218,0.2899725419544632,0.8615086990494871,0.19107472804932957,0.0,0.1581171607585954,9.432380289600065,2.00237368435662,18.405515577086543,12.687150835347671,406.28455152496423,1194.3501735505824,0.7117325532601767,0.6330316975319554,8
1837,2553,3.676448925197233,-3.676448925197233,-3.6987298351705666,True,1.5573197412212956,0.3907236619446544,0.5404158834367991,0.2408240666200474,2.0,0.4376286617103964,3.2776350816939894,3.378378378378378,24.77905388455838,12.584607369963246,431.3641355714395,1377.343571644794,0.6726188974586396,0.7554473712569771,6
1838,440,3.707006469932413,-3.707006469932413,-3.707006469932413,True,1.1312966379895475,0.32670566644686894,0.6563917193467268,0.10698629942326482,4.0,0.4514073752148309,2.136076134359004,2.485813188670756,19.46721621246705,10.462776947584771,368.7114268855755,2919.477086016709,0.6110762686955011,0.6785475861118625,8
1839,2583,3.7084678339933745,-3.7084678339933745,-3.7084678339933745,True,1.5983102827518394,0.26031452937001914,0.7373788744519226,0.2506189306842348,1.0,0.26128435567729175,5.849102393642079,2.394953147494831,19.85188523240645,12.362693754590904,354.05596365992335,2020.0245900444625,0.8581007955937108,0.7454243534499736,8
1840,2698,3.7095396282614903,-3.7095396282614903,-3.7095396282614903,True,1.5882928169627766,0.3328794120183018,0.6540973292212442,0.27427538906306076,0.0,0.18881019581645658,12.698455915212286,1.7070428044029458,23.19321802250431,12.286762191601323,300.6758493487559,1209.0936179541459,0.7056789300360464,0.8788803397388896,8
1841,2668,3.6959623640353945,-3.6959623640353945,-3.71766047214866,True,1.008517377375616,0.32614919158903544,0.5275292356420621,0.1885885644277392,1.0,0.42422279492201603,3.0754825297478936,2.3114223523863986,16.129945541525274,11.0476561413544,294.47143043327884,1533.9618436992168,0.8709709470640574,0.7550285090143476,8
