generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
11,1,6144,54.65134109999053,112.42176086326754,200.38825069996528,7.1127334189169254e-06,-5.39454578765896,5.39454578765896,1.2778191656328737,0.34363008487778024,0.8765918724473053,0.28256861205034545,0.0,0.4624591340437531,4.321852931397733,2.427880562658064,15.838581925867539,11.33574892006903,390.83144944161177,2369.4829257238803,0.7302531639088325,0.6763394638609352,8.0
12,1,6656,57.243070299969986,116.27608311574947,189.34246329990071,5.9541522870421635e-06,-5.39454578765896,5.39454578765896,1.2778191656328737,0.34363008487778024,0.8765918724473053,0.28256861205034545,0.0,0.4624591340437531,4.321852931397733,2.427880562658064,15.838581925867539,11.33574892006903,390.83144944161177,2369.4829257238803,0.7302531639088325,0.6763394638609352,8.0
13,1,7168,59.38360930001363,120.70670820606983,178.1508279000409,5.140190341770239e-06,-5.39454578765896,5.39454578765896,1.2778191656328737,0.34363008487778024,0.8765918724473053,0.28256861205034545,0.0,0.4624591340437531,4.321852931397733,2.427880562658064,15.838581925867539,11.33574892006903,390.83144944161177,2369.4829257238803,0.7302531639088325,0.6763394638609352,8.0
14,1,7680,62.54391859995667,122.79371315255774,170.95337750654824,4.46181838874456e-06,-5.39454578765896,5.39454578765896,1.2778191656328737,0.34363008487778024,0.8765918724473053,0.28256861205034545,0.0,0.4624591340437531,4.321852931397733,2.427880562658064,15.838581925867539,11.33574892006903,390.83144944161177,2369.4829257238803,0.7302531639088325,0.6763394638609352,8.0
15,1,8192,64.88102009997237,126.26188656370229,162.20255024993094,3.7120088572184913e-06,-5.39454578765896,5.39454578765896,1.2778191656328737,0.34363008487778024,0.8765918724473053,0.28256861205034545,0.0,0.4624591340437531,4.321852931397733,2.427880562658064,15.838581925867539,11.33574892006903,390.83144944161177,2369.4829257238803,0.7302531639088325,0.6763394638609352,8.0
16,1,8704,67.36443850002252,129.20763824071793,154.54194714711048,3.142017856892658e-06,-5.815050098200432,5.815050098200432,1.6982455094420856,0.32908056386824713,0.8468313365656279,0.2874481252451993,1.0,0.3055903949275508,3.5590228687119803,2.875075663640895,12.89004077693803,9.40522429001555,441.9934473132976,2220.9526932396025,0.7716326867669165,0.7490389440233057,8.0
17,1,9216,69.87332459993195,131.89582795390527,147.51035193318967,2.624927698455599e-06,-5.815050098200432,5.815050098200432,1.6982455094420856,0.32908056386824713,0.8468313365656279,0.2874481252451993,1.0,0.3055903949275508,3.5590228687119803,2.875075663640895,12.89004077693803,9.40522429001555,441.9934473132976,2220.9526932396025,0.7716326867669165,0.7490389440233057,8.0
18,1,9728,72.320116900024,134.51305690570268,140.8339118579415,2.068257178668986e-06,-5.815050098200432,5.815050098200432,1.6982455094420856,0.32908056386824713,0.8468313365656279,0.2874481252451993,1.0,0.3055903949275508,3.5590228687119803,2.875075663640895,12.89004077693803,9.40522429001555,441.9934473132976,2220.9526932396025,0.7716326867669165,0.7490389440233057,8.0
19,2,10240,83.62592489994131,122.45006572127235,150.52666481989436,9.102783889544793e-06,-5.725227370920521,5.725227370920521,1.7231130022215753,0.3630488011986017,0.8155931554443607,0.19814815994602095,1.0,0.2112214651029557,3.3821150130937223,1.7824902332231698,21.548109804280102,11.426894179104405,244.66557391819538,1570.2549949094118,0.9675404278988717,0.9158357881750626,8.0
20,2,10752,87.64648919994943,122.67462277320976,146.07748199991573,6.865050403841753e-06,-5.814270038962927,5.814270038962927,1.7647441109019093,0.2777004343714521,0.7964595065279455,0.1680627266268927,0.0,0.16191722193115365,5.21530694694735,2.270637851601512,24.028277277165618,13.532014250953136,307.72125104076815,1223.2332510354186,0.9383307549002795,0.7955710740641384,6.0
21,2,11264,92.07302349992096,122.33767907067447,142.29467268169606,5.321921303564241e-06,-5.814270038962927,5.814270038962927,1.7647441109019093,0.2777004343714521,0.7964595065279455,0.1680627266268927,0.0,0.16191722193115365,5.21530694694735,2.270637851601512,24.028277277165618,13.532014250953136,307.72125104076815,1223.2332510354186,0.9383307549002795,0.7955710740641384,6.0
22,2,11776,96.54248209996149,121.97739009658937,138.51747431733605,4.398749580916118e-06,-6.1217504581542865,6.1217504581542865,1.6889957512398799,0.34960909314147115,0.824959320452284,0.21351990224990164,2.0,0.3785806733718309,4.1385913107125765,1.4850168130763453,15.315704767375134,8.682203345613262,445.1166821891285,2755.5880076152375,0.9673120277583571,0.8655686491165853,6.0
23,2,12288,99.98351960000582,122.90025445352781,133.31135946667442,3.4693455532617255e-06,-6.1217504581542865,6.1217504581542865,1.6889957512398799,0.34960909314147115,0.824959320452284,0.21351990224990164,2.0,0.3785806733718309,4.1385913107125765,1.4850168130763453,15.315704767375134,8.682203345613262,445.1166821891285,2755.5880076152375,0.9673120277583571,0.8655686491165853,6.0
24,2,12800,103.7633512999164,123.35761942579349,128.6665556118963,3.1420245773465316e-06,-6.286203366410964,6.286203366410964,1.7045695202658144,0.25644727548374563,0.8906209263950586,0.28966398478055577,2.0,0.22019077024995337,5.170322793447118,2.62615620411962,13.282892103851184,9.785678798819502,439.71917189890735,2230.582869740263,0.9039164559210884,0.6892427742785138,8.0
25,2,13312,105.8432278999826,125.77091859461505,122.12680142305685,2.79111908405386e-06,-6.286203366410964,6.286203366410964,1.7045695202658144,0.25644727548374563,0.8906209263950586,0.28966398478055577,2.0,0.22019077024995337,5.170322793447118,2.62615620411962,13.282892103851184,9.785678798819502,439.71917189890735,2230.582869740263,0.9039164559210884,0.6892427742785138,8.0
26,2,13824,108.28371579991654,127.66462526594101,116.30473178509553,2.494956303454678e-06,-6.286203366410964,6.286203366410964,1.7045695202658144,0.25644727548374563,0.8906209263950586,0.28966398478055577,2.0,0.22019077024995337,5.170322793447118,2.62615620411962,13.282892103851184,9.785678798819502,439.71917189890735,2230.582869740263,0.9039164559210884,0.6892427742785138,8.0
27,3,14336,125.59430979995523,114.14529864318034,125.59430979995523,8.889577212027426e-06,-5.8454380105361,5.8454380105361,1.4877379031827087,0.35938201505690814,0.7156897245779853,0.2254633037536521,0.0,0.1708891387659045,5.438787717780686,3.498300324372101,12.731931314190073,9.372774000863727,412.8932195715606,2633.511900067198,0.9045212851368846,0.9872138745084187,6.0
28,3,14848,128.70399920002092,115.3654905231382,119.8278613241574,7.269005216354885e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
29,3,15360,132.89805530000012,115.57731198795041,115.17831459333344,5.9240567464525224e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
30,3,15872,137.81597019999754,115.16807505666193,111.14191145161091,4.926815207555629e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
31,3,16384,142.94632320001256,114.61644926029521,107.20974240000942,4.335312221526246e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
