rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
2092,2361,33.33648520544174,-33.33648520544174,-33.33648520544174,True,1.2650554783487507,0.38334996237305735,0.3868428133818731,0.22805257379434368,2.0,0.26927127606000223,0.06579661866039002,6.312201948496167,2.3695303088865387,1.3070259057992213,11.0,5.5,18.0,10.0,341.4226402146774,1306.7004084587097
2093,2208,33.33713684174338,-33.33713684174338,-33.33713684174338,True,1.7001061044696462,0.24512393783369707,0.7443555921088114,0.28370321540405163,3.0,0.5404129782544832,0.05561194489925603,3.551649632502887,1.370971208257231,1.5934365211234625,20.0,13.0,24.0,12.0,460.1997210790853,1324.9253894211738
2094,1899,33.34177750329086,-33.34177750329086,-33.34177750329086,True,1.513397513937147,0.3861542964298488,0.5708382141938321,0.10269828922061744,5.0,0.4552888542484492,0.08230263363275009,2.633333245993782,1.7045675548605885,1.6146728416552414,17.0,12.0,18.0,12.0,377.7697103741399,1835.4394019856195
2095,620,33.34945565305668,-33.34945565305668,-33.34945565305668,True,1.8186008187027807,0.27021930191314275,0.7747107764706016,0.15098537899086925,4.0,0.48343077837313186,0.07111966416863724,3.1088075488654496,2.3973379956296412,1.1262682444743208,12.0,6.0,19.0,8.0,566.4714887932773,1717.1785336614212
2096,799,33.365978646172664,-33.365978646172664,-33.365978646172664,True,1.1640299578992281,0.20903600212186574,0.7749290704957386,0.2088657256641705,4.0,0.48711410705128255,0.014887111064326025,0.5897683625036052,0.28960548668155894,1.9920966766344184,17.0,10.0,16.0,7.0,312.74606553973,2086.927964488938
2097,2959,33.37047619047619,-33.37047619047619,-33.37047619047619,True,1.4670679492401146,0.28106331397827317,0.6768369868962096,0.2683588347777819,1.0,0.27547806332688385,0.09565997181717868,7.348949016195043,3.7190025828408153,3.2418670601550343,19.0,12.0,18.0,10.0,233.9054997792814,1419.3532200475029
2098,1540,33.372190476190475,-33.372190476190475,-33.372190476190475,True,1.7256528677647787,0.14314251719252985,0.6735715470209142,0.2243210860804296,1.0,0.16200079253610222,0.11932175765385139,7.3198737716956614,5.585590078692938,1.892244781788212,20.0,15.0,15.0,10.0,235.17557600780927,1991.386627702225
2099,684,33.38485196542682,-33.38485196542682,-33.38485196542682,True,1.1443538041122385,0.36936736739355425,0.7261298622075986,0.2961976344697177,2.0,0.4930352400506165,0.05915251811800423,6.721935438353242,0.3213392158959323,1.0893230673529142,11.0,5.5,17.0,12.0,589.4090086996596,2119.6486335247755
2100,1781,33.38549813981572,-33.38549813981572,-33.38549813981572,True,1.5517959811935376,0.3391830918189051,0.390260617621243,0.20111229905858635,3.0,0.48468100279177534,0.03901016980828717,2.134198557591681,1.3321265938096332,2.3055071951569737,20.0,15.0,20.0,11.0,567.2085897232198,1462.8647884209265
2101,259,33.397061772704106,-33.397061772704106,-33.397061772704106,True,1.3761901088656086,0.28181309305970836,0.6511596964350863,0.16237221849366285,3.0,0.1906380576387047,0.07928507899702557,2.9144379054861176,2.2888700856488526,1.0329416819411992,17.0,12.0,20.0,10.0,312.4996462249137,1586.548216765055
2102,2561,33.407099044617006,-33.407099044617006,-33.407099044617006,True,1.4074593133769175,0.20712127864602933,0.6168882058881155,0.13777708208740924,2.0,0.2544137479784246,0.08589507448237013,6.09479669715315,3.472883148254894,1.486997390606581,17.0,8.0,20.0,15.0,391.95380076371566,2262.4558573288487
2103,2130,33.437308485999075,-33.437308485999075,-33.437308485999075,True,1.4120359324477614,0.18253445107489824,0.6360717429802525,0.16295625758169327,1.0,0.5288280210604542,0.12443058484576773,1.106122927149599,0.46935712610054736,3.272207747363711,10.0,5.0,13.0,10.0,315.28663830831647,1251.5476391639713
2104,1202,33.44396207651706,-33.44396207651706,-33.44396207651706,True,1.5162836284849692,0.3065612546160361,0.7379415249508339,0.20579397117935744,5.0,0.2616139738614483,0.06372526788714235,3.358122577916305,1.78488487349766,1.187500225746396,19.0,12.0,16.0,12.0,525.834430339019,1448.4786265148168
2105,2014,33.455333333333336,-33.455333333333336,-33.455333333333336,True,1.5813114829394526,0.23313259329503477,0.612705122469154,0.2187754793379306,1.0,0.4066664809048604,0.05930295664892675,6.000963800686222,5.826646201535453,1.8564646341823194,11.0,8.5,25.0,12.5,558.3603671466512,2388.747375817298
2106,195,33.478476190476194,-33.478476190476194,-33.478476190476194,True,1.5272703597284853,0.14473050777763874,0.8741143830246385,0.22785463535529535,1.0,0.5041646076765873,0.11804789257351242,5.631903329506152,5.432917175251902,2.6415514172915646,17.0,12.0,20.0,15.0,468.6251644510776,2207.694615033142
2107,1609,33.47933333333334,-33.47933333333334,-33.47933333333334,True,1.3471412412209207,0.23619009785229095,0.656763990727806,0.2997716479528373,2.0,0.3619125120666581,0.056042725028555646,5.621366349304807,4.542929245444242,1.6517226921133954,20.0,15.0,14.0,10.0,233.63355207730243,1795.5331407763738
2108,2006,33.48419047619048,-33.48419047619048,-33.48419047619048,True,1.4283808492909438,0.31675288683344616,0.78652689109629,0.17478289605553338,2.0,0.5724308617461472,0.08118901486787945,5.541024709961718,3.69981644843142,2.806893369140628,20.0,15.0,15.0,10.0,228.5307017084425,2592.9047257644966
2109,1127,33.49904761904762,-33.49904761904762,-33.49904761904762,True,1.0224912268821151,0.22209337577223778,0.6974007798358799,0.24334239847958083,1.0,0.3843948407024145,0.05219311185264959,5.308855201935678,3.1839135957322355,1.978846322241667,16.0,7.0,20.0,8.0,591.4443844463676,2630.582509562373
2110,928,33.50239440131221,-33.50239440131221,-33.50239440131221,True,1.7336921197421027,0.39474842645303015,0.7441136115397543,0.18296851019617538,3.0,0.5365753506522348,0.06101143613998192,4.198596611530334,3.4585100045280157,1.6980555754071267,17.0,12.0,20.0,11.0,528.1292769250686,2317.200949516856
2111,2753,33.51847619047619,-33.51847619047619,-33.51847619047619,True,1.4654322020674038,0.3410137979955201,0.7605501033170639,0.13229251893237232,2.0,0.5130707228723912,0.13121930533293436,4.999563916991143,3.26266128879454,2.4327976151935444,20.0,13.0,18.0,12.0,302.2008897709652,1176.1768317918777
2112,2460,33.53761904761905,-33.53761904761905,-33.53761904761905,True,1.1394866787275324,0.32930154141420265,0.5787707319697041,0.1762940645901156,3.0,0.3662160116425973,0.07660230762876294,4.693522841352646,4.048130451047953,2.004620424864822,20.0,13.0,16.0,12.0,634.9882609686961,2484.806226298596
2113,2199,33.57790476190476,-33.57790476190476,-33.57790476190476,True,1.7627197611119694,0.294222100700266,0.8873914020743925,0.273622226473183,3.0,0.5228605682534625,0.1312942308701799,4.055485019903898,1.737903905048654,1.4602499844585946,20.0,15.0,20.0,10.0,261.50827270677104,2285.2975037458305
2114,1613,33.5783071925357,-33.5783071925357,-33.5783071925357,True,1.3019255681494015,0.22770481275859095,0.49345034435391427,0.2603707910735513,1.0,0.4623512543856578,0.1509044855165521,9.563197575580084,2.0828229636641638,1.8786913764900501,20.0,15.0,22.0,10.0,481.74367879913086,1151.487898752442
2115,1561,33.57961904761905,-33.57961904761905,-33.57961904761905,True,1.1775970168637082,0.29013476872393573,0.5206878527998924,0.11666712487116455,1.0,0.17355830665379754,0.07400074751316858,4.026555387225223,2.015038685274895,1.1282992959776355,14.0,8.5,17.0,12.0,488.3752295153474,2150.0128628131915
