score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
-6.087302578754414,6.087302578754414,87,1.4624720785449707,0.30639984310932583,0.8994592068470166,0.19284449690238456,0.0,0.16365312609337818,0.11209043062378923,0.8870617592357561,0.09550869056653255,2.5278410703940306,13.0,10.0,16.0,10.0,400.47079715061943,2919.801743915364
-6.115810117340754,6.115810117340754,21,1.0903022357136012,0.18361941024661066,0.7605387361720205,0.24881146514788266,0.0,0.6091978155020623,0.14549821033813057,0.22090827247583888,0.07309616685174092,2.2706414066456455,22.0,12.0,20.0,8.0,436.696771113202,1164.8352034389973
-6.1172089653100095,6.1172089653100095,63,1.5291752463605754,0.2054575988658991,0.652163596462694,0.1582152330767263,1.0,0.38501492989259306,0.10362429479243418,2.0582460023307334,1.5547377303478882,2.2309903739588974,17.0,12.0,20.0,15.0,253.96579011195132,2862.0359462174797
-6.177514681211196,6.177514681211196,51,1.7200270314420956,0.35878406656875517,0.4417452289552615,0.230231333172019,0.0,0.36541411879529095,0.059113997878769184,4.240391420839188,3.420740860748296,2.766251517850683,21.0,13.0,20.0,13.0,286.72836660005976,1763.4665686637163
-6.213380678265285,6.213380678265285,100,1.7458300063112513,0.3418082793525069,0.6150768154700983,0.15415752725760637,0.0,0.30322448850858924,0.07937942666270606,9.523768971910883,3.598612627611594,3.22504216076338,17.0,12.0,20.0,10.0,297.4370782432198,2362.092161851888
-6.310456307730662,6.310456307730662,61,1.6885230085511442,0.15539968568849702,0.5026095098316334,0.09265068317427393,0.0,0.38733282928205864,0.07789640542721983,4.461376961484369,3.2485445825236567,2.0510053749603516,16.0,10.0,22.0,13.0,404.33685915248884,1767.9481096389316
-6.320322604062261,6.320322604062261,67,1.554170333726008,0.2719921385790721,0.558486947585131,0.12413004217414056,0.0,0.41797439096901373,0.07603229955276145,2.9951864886915516,0.4817822129380289,2.0345730186535596,17.0,10.0,20.0,12.0,311.93666934510134,1430.6430936938327
-6.349214843948927,6.349214843948927,67,1.6398232338802208,0.2700656679355347,0.5599111920492029,0.15030162887807047,0.0,0.5657987942180797,0.06495792116466909,1.8241230531914496,1.0800680897125332,1.8476134424386403,15.0,10.0,16.0,12.0,366.6193164865303,2264.622289687395
-6.349821872417846,6.349821872417846,60,1.6964393975395335,0.35732187207615385,0.7415448061094516,0.15133342349079223,0.0,0.38724732495464564,0.06835350547365257,4.617966481750244,3.523741609007523,2.8097696013990148,16.0,10.0,20.0,12.0,281.4570080483255,2054.2839867317266
-6.397538388990954,6.397538388990954,67,1.8124395206254433,0.38020787090500696,0.5615728598776389,0.15114599279313312,0.0,0.4945389744468212,0.10019069884284297,4.85080554895125,2.1224192456743296,2.4012481180427887,14.0,8.5,21.0,12.0,382.987158453064,1707.828278523951
-6.41384068867572,6.41384068867572,89,1.7444255285366315,0.2280256025120616,0.78024345561862,0.1689272927492857,0.0,0.43502489082925017,0.10365066152103243,0.9496220076986077,0.47877638533495315,1.1075161043041408,17.0,12.0,20.0,11.0,331.48601902648807,1185.6163941706873
-6.438810720055095,6.438810720055095,57,1.4980908875052985,0.27672000747761527,0.673791365062461,0.19373055250837576,0.0,0.2264702166434937,0.06760592675355064,6.28009648018341,5.009795607203131,2.817256781028946,17.0,8.0,22.0,13.0,320.7004386807596,1662.1899391591362
-6.438810720055095,6.438810720055095,95,1.4980908875052985,0.27672000747761527,0.673791365062461,0.19373055250837576,0.0,0.22647021664349368,0.06760592675355064,6.28009648018341,5.009795607203131,2.817256781028946,17.0,8.0,22.0,13.0,320.7004386807596,1662.1899391591362
-6.440291686151301,6.440291686151301,73,1.7632244015023433,0.31021241711195063,0.621356824165526,0.14595246019398678,0.0,0.3379909484972955,0.14332967009399322,2.2809001509390185,1.5207925684037775,2.745910405594282,15.0,10.0,18.0,12.0,565.9011981931972,2753.332450421785
-6.458698058089192,6.458698058089192,99,1.3815691793183507,0.35542795589869947,0.7724347672140157,0.20802974201893115,0.0,0.42196273979324783,0.05454741865062331,2.953059680559541,1.6022432740290142,3.1233329804040033,19.0,10.0,21.0,12.0,313.1102623846332,1088.3639781966044
-6.497617862646319,6.497617862646319,38,1.6065102194567307,0.35394612111597734,0.8739416605716557,0.2906010819164444,0.0,0.2754875040249359,0.08191277743061239,4.6809685367337295,3.9123281407815185,3.1017591518696057,20.0,13.0,24.0,12.0,302.36009999646234,2403.353216979958
-6.528287013123066,6.528287013123066,81,1.814628062648405,0.30659207369479613,0.49965557540927075,0.2981162160634994,0.0,0.5456159838024526,0.1289428784262239,2.4041818177656893,0.8084707728687945,1.4879049541518747,15.0,10.0,15.0,10.0,353.6474195546725,2816.358208804954
-6.584891502251621,6.584891502251621,63,1.6551686360701876,0.3093633842888079,0.6175536914835034,0.15701242847316793,0.0,0.5564021405562758,0.07692022615661845,4.8322220661412345,1.6707932297953931,2.079899781450163,16.0,10.0,24.0,12.0,281.56371891225047,2147.5951354950666
-6.6184005010713545,6.6184005010713545,2,1.2119998851768672,0.34882729277014735,0.6075360261479568,0.085867441664678,0.0,0.3979108801379799,0.0682028483950329,1.950699837201988,1.9010010981035563,3.0355908240096086,13.0,10.0,20.0,15.0,375.8652256150176,1533.4330952307314
-6.6184005010713545,6.6184005010713545,61,1.2119998851768672,0.34882729277014735,0.6075360261479568,0.08586744166467801,0.0,0.3979108801379799,0.0682028483950329,1.950699837201988,1.9010010981035563,3.0355908240096086,13.0,10.0,20.0,15.0,375.8652256150176,1533.4330952307314
-6.6337128479471215,6.6337128479471215,96,1.3229728949185076,0.3366505639439702,0.5145103758997956,0.2597867463886565,0.0,0.3464220004694599,0.06091440316718072,2.972764005929399,0.487183604693719,2.5477223779403055,18.0,12.0,21.0,13.0,264.2026389053136,2111.131552477495
-6.65540545355685,6.65540545355685,74,1.572542248405356,0.3478599897269669,0.8562114555873339,0.17427179202588833,0.0,0.49041967773642403,0.05059446679104718,0.36165456770937254,0.30300836609990256,2.1947064507573373,20.0,8.0,17.0,12.0,585.440993201874,1054.9960901176976
-6.872966764561608,6.872966764561608,56,1.557222926376015,0.2984864055737853,0.899720536271267,0.1874652577936649,0.0,0.2622024357327988,0.1072934408962247,4.8580106228976305,4.22519866410844,1.823998800403363,17.0,10.0,20.0,10.0,354.62780505339265,1491.3815459066777
-6.886249474287851,6.886249474287851,66,1.4880996166839011,0.3778595646423377,0.7940980736253382,0.1651564489342328,0.0,0.33982609181101586,0.12114928160255814,3.2835844801084164,1.8422033357135206,2.3381239132953913,17.0,12.0,25.0,12.5,252.84773920636582,1700.432568947938
-6.962031972956591,6.962031972956591,92,1.7288258771655747,0.31088764501892896,0.6120100653467415,0.21840397484600543,0.0,0.3188349568435743,0.07280896452952754,2.623440187970374,1.5902247332433177,2.6111672150641283,20.0,15.0,20.0,13.0,310.896995065145,1794.4876910410703
-7.057895818790119,7.057895818790119,59,1.7806211030744015,0.35329655620130695,0.6885018394206146,0.23144276157392632,0.0,0.28334018789846116,0.056910803903998324,5.271681086681625,4.543570231906926,2.427281808555368,25.0,12.5,17.0,10.0,280.8859459750665,1720.7454561953227
-7.122723030701245,7.122723030701245,90,1.3882693509439599,0.3431691201631774,0.5085783857049128,0.2106649137240019,0.0,0.4566634110765929,0.10143956203690457,1.9690545405402986,0.19024998590072073,2.4473432731210942,22.0,12.0,13.0,10.0,333.1884309202119,2399.9960474155223
-7.141461605082503,7.141461605082503,71,1.4075565525704277,0.2970873007729098,0.7270859605174778,0.19138250242424365,0.0,0.46011030606888237,0.08906298549886857,0.6872803140336359,0.3990931641863469,2.234071051433868,15.0,10.0,16.0,10.0,386.37307017787356,1360.9612342053592
-7.184960812124652,7.184960812124652,21,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.0,5.5,12.0,8.0,488.7239024974406,2644.0595258027315
-7.291257601067535,7.291257601067535,34,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069778,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
-7.291257601067535,7.291257601067535,82,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069775,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
