generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
11,1,6656,165.5086439000006,40.21542224720008,1260.4119804692352,nan,0.80859375,3.5113562451077676,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
12,1,7168,170.43517789999896,42.05704531376585,1193.0462452999927,nan,0.826171875,3.751707810873373,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
13,1,7680,175.24975350000022,43.82317148309136,1133.2817393000014,nan,0.83984375,3.8589065444180304,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
14,1,8192,178.9164829999936,45.786726089402805,1073.4988979999616,nan,0.85546875,3.8970440228456837,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
15,1,8704,183.71127610000258,47.37869217816553,1026.6218370294262,nan,0.8671875,4.17795674148329,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
16,1,9216,188.6780141999916,48.84511870170197,985.3185185999562,nan,0.875,4.1979135883286345,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
17,1,9728,194.008107799993,50.1422343133659,949.6186329157554,nan,0.890625,4.6621447253048025,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
18,1,10240,198.7038262999995,51.53398497993607,914.0376009799977,nan,0.89453125,4.799575136429834,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
19,1,10752,204.12148580000212,52.67451369884105,884.5264384666758,nan,0.904296875,4.964441015342989,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
20,1,11264,210.69238599999517,53.46182751948264,861.9233972727075,nan,0.912109375,4.9869916851144085,2.533544273555245,-2.533544273555245,3.2105484507030626,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
