score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
-3.8136223231504216,3.8136223231504216,242,1.7235693758652249,0.3309595964408678,0.6440947895376534,0.2853362152740935,0.0,0.5339175338813102,11.293422657178002,8.07789536580992,3.2311281898053474,21.0,13.5,20.0,15.0,242.58083158985406,2146.1021530319376,29.959224143478043
-3.817986660588759,3.817986660588759,249,1.815934398602808,0.39438512106990564,0.5098554817994178,0.2452013065108061,0.0,0.4833607037987901,11.03949227429252,10.503536445029269,3.2639162024203494,20.0,15.0,20.0,12.0,258.55306450254443,2054.5875331751104,11.948217649468987
-3.834662349137881,3.834662349137881,244,1.7709199171495593,0.3944738488059908,0.6687189970469872,0.17697826882301526,0.0,0.4989333207466662,11.15281130090196,9.248553262477106,3.3687385771200957,20.0,15.0,22.0,12.0,245.13712278920775,2609.869179235134,6.706235280000747
-3.834878622947759,3.834878622947759,184,1.8012238268223246,0.3247921595715367,0.6118896525942649,0.2705983224373914,0.0,0.4257350689272016,11.042048436131864,9.402647277487482,3.3446892060008824,20.0,15.0,20.0,15.0,266.8137467698489,2790.210924190432,17.625124069690713
-3.861046422867603,3.861046422867603,230,1.7752492604509842,0.37711573349688277,0.7396409422434487,0.11588748800041024,0.0,0.49969775653438625,11.226244913608479,8.846042421053255,3.2684569701757136,20.0,13.0,22.0,13.0,260.30272978734723,1981.6244931618287,24.072839244740692
-3.8619099169746667,3.8619099169746667,298,1.8162585239899016,0.39549462927302204,0.8553007250726141,0.21947329476567623,0.0,0.4162349464443985,11.577025788610813,6.119207124943305,3.3624954129920304,20.0,15.0,17.0,12.0,246.23730811950387,1898.3559252334717,16.07655708002912
-3.8847965925894767,3.8847965925894767,244,1.810113784877263,0.37482964963770643,0.6816105726268371,0.08094890513513633,0.0,0.5321394808232747,11.353863314290173,4.674842966563513,3.317270364189672,21.0,13.0,20.0,15.0,242.82662327584163,2341.661312152341,24.22800251388827
-3.886748072490712,3.886748072490712,280,1.7083088082776836,0.3372225443251469,0.7404204455390295,0.16887293277796123,0.0,0.3739057994617169,11.369962938974993,5.032224923256734,3.3071310253427884,20.0,15.0,20.0,11.0,253.47212738379216,2397.675167924298,36.10488912018077
-3.908393857776354,3.908393857776354,242,1.7731539672824705,0.359621546702046,0.5962199684582403,0.14060651256867843,0.0,0.5700898584794977,11.232846889696553,6.060457799484756,3.219530293971066,21.0,13.0,21.0,13.5,240.1223886431358,2242.846400979941,27.898307819988002
-3.9219426819440946,3.9219426819440946,289,1.7151161577350575,0.372479945620273,0.6355133422392969,0.13154771181661004,0.0,0.3300820400955696,11.119795397041093,5.7882592084370605,3.1624263542164806,20.0,15.0,21.0,13.5,242.52142369601367,1870.8609592931775,26.28283960483992
-3.941698823900505,3.941698823900505,290,1.8079164506220764,0.36129823241717085,0.8175113830610794,0.14766473089170185,0.0,0.35377047693703334,11.247375102540483,4.549919020260247,3.315706772081697,22.0,13.0,21.0,13.5,227.9041841325682,2193.356927125489,22.326646495901773
-3.946122239724268,3.946122239724268,247,1.8189972023166534,0.3982671863152117,0.6610222959882613,0.17975934132933616,0.0,0.539549381480029,11.103269940595027,9.126067315954032,3.357706948998521,21.0,13.0,20.0,13.0,250.16438522345794,2517.8157259104737,26.670375628853428
-3.9464793510033127,3.9464793510033127,189,1.721522267280432,0.33509903724624196,0.44328509340820543,0.28613166707343296,0.0,0.34803645989354426,11.063403787799587,10.453149306141706,3.22220800378964,21.0,13.5,20.0,15.0,241.48785986871098,2655.9270041905165,29.67259845878924
-3.968253283905243,3.968253283905243,241,1.8203390135404054,0.3792888062360673,0.47606939384264524,0.18800470160045313,0.0,0.42503922653413273,11.511963179560507,8.89721011501947,3.0621109854856696,21.0,13.5,22.0,13.0,235.64099252335606,1913.5360309630585,11.823989080788975
-3.9719040501138956,3.9719040501138956,248,1.8099986149974976,0.36321460370588887,0.7085974842614684,0.287862745078982,0.0,0.4788691967350477,11.144090812279217,4.981956069254954,3.2150706013684096,21.0,13.5,21.0,13.5,241.41277068407706,2482.5212273826055,12.471057492817973
-3.9788303273440517,3.9788303273440517,245,1.769436499689258,0.3191075504561575,0.8007477357558888,0.211461894034579,0.0,0.38433163564493267,11.50922686889053,8.110366842205973,3.181736702339292,20.0,15.0,20.0,11.0,258.7516457013006,2371.8788564928045,28.298358271544895
-3.98784550054841,3.98784550054841,250,1.8141852886294965,0.3564092641622221,0.4331626654082434,0.2278546043828398,0.0,0.43307915449952195,11.091309919401475,8.293559601670912,3.203108811720798,20.0,15.0,21.0,12.0,262.9816203680509,2228.76354639037,14.432283929832098
-3.9965758906651203,3.9965758906651203,245,1.7857718213716753,0.37360550447800767,0.676983041174031,0.23833379038493036,0.0,0.5713574971099228,11.335279935404667,2.693587204478657,3.3370540341523647,20.0,15.0,21.0,13.5,262.38168862531364,2439.7018293580586,4.491598031777155
-3.997986923246307,3.997986923246307,241,1.686195649893078,0.38846467942987684,0.7985146621449536,0.26648589967647274,0.0,0.39590939731323294,11.202334674751881,9.194636086219761,3.3118342580344633,20.0,15.0,20.0,15.0,245.27545914109373,2634.906252742171,16.231869064921305
