case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,error,main_seconds,mech_seconds,prop_m1_seconds,aero_m1_seconds,prop_m2_seconds,aero_m2_seconds,prop_m3_seconds,aero_m3_seconds,prop_total_seconds,aero_total_seconds,module_total_seconds,other_seconds
21,0.8361404483864212,0.3321158704629278,0.573002400943162,0.29631397731781095,6,9,1.2654749099475828,4.200044644614978,ok,,0.021465699886903167,0.0020618000999093056,0.0061797997914254665,0.0017184000462293625,0.0035337000153958797,0.0013677000533789396,0.003467600094154477,0.0030443998984992504,0.013181099900975823,0.0061304999981075525,0.02137339999899268,9.229988791048527e-05
22,1.4064853357718659,0.12513662876409273,0.8672926965045493,0.19100825337815125,7,10,2.5865268164949486,4.311711367772977,ok,,0.019886499969288707,0.002506299875676632,0.003636399982497096,0.0016669000033289194,0.003472699783742428,0.0013274999801069498,0.00561720016412437,0.0015616000164300203,0.012726299930363894,0.0045559999998658895,0.019788599805906415,9.79001633822918e-05
23,1.3167939382813652,0.2065691274134987,0.35988187424956186,0.22422657452570588,4,4,2.893636502799721,8.746351701210424,ok,,0.021947500063106418,0.0023804998490959406,0.0037023001350462437,0.0015382000710815191,0.007723600137978792,0.001565100159496069,0.003597900038585067,0.0013462998904287815,0.015023800311610103,0.00444960012100637,0.021853900281712413,9.359978139400482e-05
24,0.9606135019511808,0.16200967111910225,0.5277695650666822,0.1944361109741276,3,7,4.173209522303061,3.380201422846807,ok,,0.018746099900454283,0.0019607997965067625,0.003899900009855628,0.003463400062173605,0.0038314000703394413,0.0014015000779181719,0.0035710998345166445,0.0003108000382781029,0.011302399914711714,0.00517570017836988,0.018438899889588356,0.00030720001086592674
25,1.4737091636010042,0.3055709209066577,0.4579876559030416,0.28194699285879954,8,8,3.608983828511818,4.821636724632616,ok,,0.02320479997433722,0.0023159000556916,0.00616350001655519,0.0017202000599354506,0.0035541998222470284,0.0013621000107377768,0.004839299945160747,0.003162199864163995,0.014556999783962965,0.006244499934837222,0.023117399774491787,8.740019984543324e-05
26,0.9555912244767238,0.25468521042928094,0.4650353365373976,0.28841233442093644,7,3,3.0646940301214265,3.5235981082672905,ok,,0.02031120005995035,0.0021071999799460173,0.003644899930804968,0.0015124999918043613,0.003868000116199255,0.0013892999850213528,0.006129499990493059,0.0015738001093268394,0.013642400037497282,0.0044756000861525536,0.020225200103595853,8.599995635449886e-05
27,1.2742410630579681,0.24080217287722705,0.5558355762245347,0.2054375432434346,9,10,3.2401642373402813,6.689329041381115,ok,,0.022874000016599894,0.002294600009918213,0.005813300143927336,0.004041200038045645,0.00411259988322854,0.0014297999441623688,0.003660599933937192,0.0014333000872284174,0.013586499961093068,0.006904300069436431,0.022785400040447712,8.859997615218163e-05
28,1.1200358395137064,0.13048912841617902,0.6649187896620483,0.1503320012982517,4,6,0.8776943398821495,2.520117166681318,ok,,0.020268900087103248,0.0020166998729109764,0.006626100046560168,0.00173179991543293,0.003580800024792552,0.001352400053292513,0.0035292000975459814,0.0013498000334948301,0.013736100168898702,0.004434000002220273,0.02018680004402995,8.210004307329655e-05
29,1.6433117989792878,0.24885481116357233,0.5119355034532085,0.11806408407969515,8,5,3.1004492133801773,6.760423337583728,ok,,0.023858499946072698,0.004133600043132901,0.0036997999995946884,0.0016646001022309065,0.003509500063955784,0.0013673000503331423,0.007621700176969171,0.0017723001074045897,0.014831000240519643,0.004804200259968638,0.023768800543621182,8.96994024515152e-05
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,,0.020474899793043733,0.0019852998666465282,0.0035402001813054085,0.0014900998212397099,0.006839800160378218,0.001523700077086687,0.0035983999259769917,0.0014134000521153212,0.013978400267660618,0.004427199950441718,0.020390900084748864,8.399970829486847e-05
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,,0.019403000129386783,0.001969600096344948,0.0038133999332785606,0.0035068001598119736,0.0036511998623609543,0.0013538999482989311,0.003680099966004491,0.0013518999330699444,0.011144699761644006,0.006212600041180849,0.019326899899169803,7.610023021697998e-05
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,,0.022242800099775195,0.004739399999380112,0.004303799942135811,0.0016647998709231615,0.0035439999774098396,0.0013077000621706247,0.0034968999680131674,0.00308589986525476,0.011344699887558818,0.006058399798348546,0.022142499685287476,0.00010030041448771954
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,,0.023247000062838197,0.0025464000646024942,0.0036206000950187445,0.0015193000435829163,0.005590100074186921,0.004359500017017126,0.004105800064280629,0.0014148999471217394,0.013316500233486295,0.007293700007721782,0.02315660030581057,9.039975702762604e-05
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,,0.021134499926120043,0.002003900008276105,0.004061100073158741,0.00394099997356534,0.0043258999940007925,0.001470099901780486,0.0038838000036776066,0.0013626001309603453,0.01227080007083714,0.006773700006306171,0.021048400085419416,8.609984070062637e-05
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,error,"PayloadPlacementError: No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=0.6688 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1292 m puts the fuselage back at x=0.6669 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1822 m puts the fuselage back at x=0.3852 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2352 m puts the fuselage back at x=0.3367 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2882 m puts the fuselage back at x=0.3366 m, at or behind the permitted tail-front limit x=0.3306 m",0.000842199893668294,0.0007956998888403177,,,,,,,0.0,0.0,0.0007956998888403177,4.650000482797623e-05
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,,0.02350110001862049,0.0020916000939905643,0.006686300039291382,0.0016789000947028399,0.0034573001321405172,0.0013212000485509634,0.0035306999925523996,0.004642699845135212,0.013674300163984299,0.007642799988389015,0.023408700246363878,9.239977225661278e-05
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,,0.023037699982523918,0.0023628000635653734,0.0037006998900324106,0.0017740000039339066,0.007125099888071418,0.0021739001385867596,0.0043271000031381845,0.0014808999840170145,0.015152899781242013,0.005428800126537681,0.022944499971345067,9.320001117885113e-05
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,,0.026457199826836586,0.002400800120085478,0.008979100035503507,0.0019002000335603952,0.0037561000790446997,0.0013502000365406275,0.0035242000594735146,0.0044484001118689775,0.01625940017402172,0.00769880018197,0.0263590004760772,9.819935075938702e-05
39,0.9854490663268253,0.24435446015817283,0.5880971411727625,0.12551307755084729,9,10,1.8164064648352531,5.113746591310805,ok,,0.02069819997996092,0.0024823001585900784,0.00373520003631711,0.001556699862703681,0.003991900011897087,0.0035093999467790127,0.003915200009942055,0.0014142000582069159,0.011642300058156252,0.0064802998676896095,0.02060490008443594,9.329989552497864e-05
