rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
214,132,-5.559267542099444,5.559267542099444,5.524490198202058,True,1.4789508844719768,0.3983220859888834,0.7291920147704612,0.2156359862649563,3.0,1.0,3.4547900827418014,4.475576134507985,16.990142603294366,8.960916154484968,374.22615747834965,1529.155648808882,0.7382477100495236,0.9577067075047425
215,426,-5.5681992088899515,5.5681992088899515,5.524431684711777,True,1.4060466329062387,0.38363999859900316,0.6352806852329402,0.2179065775220255,3.0,1.0,3.4130295717702817,4.498373033663793,19.89202511646065,8.989221472854437,316.291439203793,1648.0759189521864,0.9414337634819288,0.9960853908166082
216,227,-5.56692061037932,5.56692061037932,5.524171764749681,True,1.4637500522425375,0.39714882443148414,0.6838208057538451,0.09695770248979978,3.0,1.0,3.445825779572721,4.481164054078077,17.61309076513441,9.540306544439598,333.3257412091067,1830.2183756206773,0.7123120629687871,0.9907637216144589
217,209,-5.539064225728358,5.539064225728358,5.524053280960342,True,1.392570108803888,0.3892316581143024,0.7376868502633773,0.2208166230320928,3.0,1.0,3.3927485019864108,4.332553367300294,18.266664553329036,10.161353867444063,323.5771406255705,2194.100895868303,0.768987315111554,0.9102264348059943
218,136,-5.570817402817682,5.570817402817682,5.52397040000541,True,1.4929438230971637,0.3941007648187547,0.8295888475221854,0.16106989189957704,3.0,1.0,3.4506521980603333,4.384231940727651,19.340220004828126,10.876285079419432,292.44143047326065,1664.8131921521158,0.8988995723728067,0.9933949694199113
219,248,-5.56081688672775,5.56081688672775,5.5239177880480606,True,1.4942473567091006,0.3686587119558452,0.6564804680990566,0.12964029888256634,3.0,1.0,3.4408915613768376,4.207103087473435,20.117127405104185,9.636499749154389,294.5224725106504,1979.122198716453,0.903006817787551,0.9820283474345874
220,24,-5.564079606656884,5.564079606656884,5.5238438409601915,True,1.4311213721957352,0.3851651013844498,0.639219934381591,0.22306073026963197,3.0,1.0,3.4187426978127418,4.437673333815961,19.611984178212516,10.089262685419014,300.9995036249128,2160.9313507485595,0.8889312829017795,0.964398439859873
221,235,-5.572079885858178,5.572079885858178,5.523799546738924,True,1.4442211077831273,0.3937513897424192,0.6813641139158768,0.16706908728463063,3.0,1.0,3.4312791067153485,4.489285860856703,19.525618719029787,9.86199966116272,301.3071414781119,2318.2101065047555,0.8477719848844818,0.9993526220360447
222,410,-5.552993146067465,5.552993146067465,5.523765615122735,True,1.50276659623813,0.3826367711502433,0.7006947472220302,0.13077294141850163,3.0,1.0,3.457553562291152,4.390948363326495,21.56578527539256,11.505560130215976,259.3389788858317,1267.7521060683957,0.8873505157477752,0.9837656083787594
223,471,-5.561634821963939,5.561634821963939,5.523731875404994,True,1.3536492022699247,0.3854719743546082,0.6204269200773549,0.11960394536401071,3.0,1.0,3.3750051876815403,4.4280351675267235,17.47405681441097,8.864920541374723,352.7675515102538,2281.236180757636,0.7471067770889297,0.9727789930859607
224,314,-5.563511203040193,5.563511203040193,5.523215840774311,True,1.3886059303395604,0.3639083008369657,0.6734325888153824,0.2086800217450313,3.0,1.0,3.3913045839215274,4.42548741251478,18.719705800413657,10.110589093927075,306.6325268474923,1843.5901539827312,0.799833856774833,0.9892022883563422
225,503,-5.531752142893316,5.531752142893316,5.523154147440935,True,1.4767420030109313,0.389163118064958,0.8429597221113799,0.10218306548234866,3.0,1.0,3.4395312220780685,4.370653448547307,21.493274005237055,9.687265837451584,290.2406269980577,1176.1379969357138,0.7743671036616322,0.9471752889014773
226,61,-5.551763980700889,5.551763980700889,5.523018717376772,True,1.4869953397272166,0.39183528569605897,0.7980102382452264,0.21682125517261897,3.0,1.0,3.437435283026236,4.257640832838433,18.296081515962282,10.73460689229725,299.89744333024146,1680.9625205566572,0.7014751723894295,0.9889339749977986
227,446,-5.549632245672636,5.549632245672636,5.52299166045437,True,1.458628029931614,0.3978876254678574,0.6576441743201386,0.23064163479082417,3.0,1.0,3.4300811181553117,4.455947929643102,15.390246356579805,10.08533589002139,371.4232287282057,2072.7152886097706,0.7926955482811058,0.9719088176239441
228,134,-5.565107559972113,5.565107559972113,5.522796127450945,True,1.3816796598735228,0.39414402910275614,0.5971282235431451,0.1680423367783662,3.0,1.0,3.387541003728724,4.468719206985182,17.239665616071708,9.697570667445722,352.5088094899489,1517.5190592256972,0.7466451697545992,0.983057420662971
229,201,-5.555305154938731,5.555305154938731,5.522729499582791,True,1.503366172425463,0.38580569661342384,0.871481549995366,0.13337551248852247,3.0,1.0,3.4471165016288374,4.370682239085409,21.958262810328733,10.805210194731622,269.06791584417937,1556.6451780883242,0.9624665217999895,0.9529419946008779
230,271,-5.526501598477857,5.526501598477857,5.522643334947157,True,1.371859332398723,0.36237378045678525,0.6689994873833476,0.12453108838640542,3.0,1.0,2.898046975093445,4.470377719704477,18.771401446333634,10.653548399329326,312.8751242215142,1453.344960876832,0.7572146396523878,0.9748942593271828
231,30,-5.532918856065264,5.532918856065264,5.522192462519921,True,1.47412182803208,0.3747280479784335,0.76095687436295,0.23253089679066097,3.0,1.0,3.4328935194375756,4.3922867020339575,17.07077968178125,11.530906672948806,319.6687757991079,1297.4061916993307,0.6423669175197947,0.97419533809466
232,289,-5.563888205129512,5.563888205129512,5.5220558892032745,True,1.4778564168012591,0.3874919333550499,0.7398330204595056,0.24575363143605652,3.0,1.0,3.4325091917730695,4.400579047988685,19.18477842115689,10.552833530266904,293.16324192234816,1998.1861661630078,0.767901972010152,0.9892166134232738
233,170,-5.567915651651396,5.567915651651396,5.521726426393276,True,1.4638955021483167,0.3897800308571486,0.7636606656267035,0.22359778091814858,3.0,1.0,3.4569568759641154,4.475164181952671,20.394745320056412,9.084103783762583,305.0177947200802,1904.2174147534597,0.8477436885235112,0.9863422875872772
234,392,-5.55693141914981,5.55693141914981,5.521523404839602,True,1.46579178907792,0.3367540440005345,0.6676347949805171,0.11603456858794524,3.0,1.0,3.4190979391695957,4.389077587457121,18.837580258718933,10.288939464884093,303.8004859537195,2207.852776120825,0.9334415769651319,0.9871438081320204
235,99,-5.559247221577689,5.559247221577689,5.521372529102072,True,1.4700294924326962,0.39982286086255314,0.7604008799065982,0.19742933432215898,3.0,1.0,3.5092080174220204,4.477782516736868,19.18924195632129,10.038062635690743,316.3025154747094,1361.357540438049,0.7387227619889178,0.9877014362010503
236,388,-5.547933542894137,5.547933542894137,5.52049593408657,True,1.3505833922391293,0.3628744925402172,0.6390759242210998,0.17524743751655106,3.0,1.0,3.3523509644182736,4.434980087456789,18.243156226896524,10.888661259772967,314.7045250426091,1184.610852341099,0.7989633525076696,0.9956222685592758
237,156,-5.558521860976059,5.558521860976059,5.52006709795768,True,1.390660658211203,0.3821994085291546,0.6618278097574711,0.11911947060924502,3.0,1.0,3.367011694198509,4.320788248884313,19.45884243013148,11.321384921753783,277.7277323369898,2274.467430180258,0.7266386063403779,0.9911885801312625
238,282,-5.541246302237614,5.541246302237614,5.518918269883355,True,1.3884777305854934,0.38096787622854733,0.7412421823846302,0.12473470439725666,3.0,1.0,3.3553253413182063,4.318740835435525,19.23468758788738,9.927610809445394,289.95128093315964,2480.916700564447,0.9107319644623533,0.992644317698732
239,366,-5.561904443376836,5.561904443376836,5.518162488267908,True,1.5150441351560684,0.3948811217532455,0.7092759272451663,0.11044013390080652,3.0,1.0,3.4300879414589684,4.4422933099937945,18.199790145338596,10.954211588105764,314.45339201909354,2026.0091731824707,0.7426830454686111,0.9559357897379802
