generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
11,6144,84.90587830008008,72.36248093783874,2044.8165690602616,0.0002867854222746211,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
12,6656,90.75641650008038,73.33916715402823,2010.603688617165,0.0003711804026489949,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
13,7168,98.16451460006647,73.02027651441314,2012.3725493013628,0.0006546463325319969,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
14,7680,105.69090320006944,72.66472106366628,2015.1732210146574,0.0008615365724214496,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
15,8192,112.92229899996892,72.54545889118194,2011.4284509369463,0.001331029125436513,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
16,8704,119.71645429986529,72.70512688421474,1999.9690012448082,0.002089500565142942,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
17,9216,126.69771509990096,72.74006474965391,1991.969631848443,0.002285895162898896,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
18,9728,133.68648230005056,72.76726736040628,1984.1888425586449,0.0025258603491958385,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
19,10240,140.7443933999166,72.75600649259019,1977.4587272688282,0.002717387247039357,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
20,10752,147.50802060007118,72.89095166662966,1966.773608000949,0.002874214855033805,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
