generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
12,1,6656,40.317081208049785,165.0913161509085,307.0300799689945,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
13,1,7168,42.28455275000306,169.5181699657325,295.9918692500214,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
14,1,7680,44.485471457999665,172.64063408321894,287.6727154283978,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
15,1,8192,46.68064166599652,175.4903040668201,280.0838499959791,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
16,1,8704,49.13852458301699,177.13189547022404,274.5976373756832,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
17,1,9216,51.65393962501548,178.41814326078594,269.74835137508086,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
18,1,9728,54.213229958026204,179.43959449624677,265.35949400507565,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
19,1,10240,56.61910883302335,180.85766821584932,260.4479006319074,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
20,1,10752,58.86195200000657,182.6646863494911,255.06845866669514,0.0,-5.993275361406435,5.993275361406435,1.5642636633206157,0.2266893979161978,0.7482452737167478,0.2075580994039774,0.0,0.3951565445747226,9.00918874877913,5.937099668427013,3.378378378378378,20.455554528161883,13.778606520162018,329.6627055853605,1460.9988871961832,0.7298916820436716,0.6142956209369004,8.0
21,2,11264,69.02622125000926,163.18436379709095,282.3799960227651,0.0,-4.467486519559771,4.467486519559771,1.7633442167606206,0.3597217946127057,0.4913208525627851,0.08196770584210754,0.0,0.24222526689078658,8.6713940855304,8.090322256639881,4.091598300728947,19.735823371447623,12.651472968153655,436.85606541112065,2515.384506434202,0.7990547707304358,0.6308876615948975,6.0
22,2,11776,70.92132491600933,166.04314730366468,274.4346920662969,0.0,-4.467486519559771,4.467486519559771,1.7633442167606206,0.3597217946127057,0.4913208525627851,0.08196770584210754,0.0,0.24222526689078658,8.6713940855304,8.090322256639881,4.091598300728947,19.735823371447623,12.651472968153655,436.85606541112065,2515.384506434202,0.7990547707304358,0.6308876615948975,6.0
23,2,12288,72.37247512501199,169.78830665628647,265.36574212504394,0.0,-4.467486519559771,4.467486519559771,1.7633442167606206,0.3597217946127057,0.4913208525627851,0.08196770584210754,0.0,0.24222526689078658,8.6713940855304,8.090322256639881,4.091598300728947,19.735823371447623,12.651472968153655,436.85606541112065,2515.384506434202,0.7990547707304358,0.6308876615948975,6.0
