rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1472,132,10.678952152277674,-10.678952152277674,-10.678952152277674,True,1.1069276854731562,0.27076613257355087,0.38979598499401197,0.2648112287232839,0.0,0.3216129511860653,9.270920078092862,6.858760283737342,2.933378320092085,23.341445949768868,11.453643676460047,373.757678642869,2711.777101899479,0.9363936061385091,0.7181806466903651,8
1473,1795,10.683581802670489,-10.683581802670489,-10.683581802670489,True,1.5123006261146446,0.3960931213262468,0.5957699414121554,0.24995279495439063,0.0,0.5037331061904377,7.662604866954051,3.758488777087866,3.72144955786477,20.576519108400092,11.384815489227671,459.51441635393434,2571.4171629023613,0.571078996069452,0.7783221277218677,6
1474,938,10.69012355382902,-10.69012355382902,-10.69012355382902,True,1.7788960828233267,0.29371990483254196,0.5951863216236234,0.25327667176536306,2.0,0.47855987147905665,6.128840544629705,4.052284229394603,4.214827453291428,19.813799170128327,13.119686150534069,334.5821462086044,1918.3441855012534,0.7209705903037211,0.7551160655586979,6
1475,887,10.69704002785988,-10.69704002785988,-10.69704002785988,True,1.5283580731611985,0.22015126563287593,0.6628490814269966,0.09402609355803652,4.0,0.20798255735763488,3.5134580511667552,2.9504073301419202,3.5818175364383205,24.08116534346213,12.599115496124805,418.0905593578269,1956.1007182863764,0.7960751057659223,0.8260024749372565,6
1476,2923,10.699325529977536,-10.699325529977536,-10.699325529977536,True,1.0094890382702348,0.38360832219748375,0.5319688305199604,0.14206201953039083,0.0,0.5091748750141978,9.28885282968907,1.3649398167037559,2.429024681705727,19.484068844880532,9.771518145166894,368.94245428176947,2463.1510280697885,0.569817874749988,0.8387690943622408,8
1477,3014,10.707608496190423,-10.707608496190423,-10.707608496190423,True,1.7103195641739886,0.2236223810375171,0.639315695603852,0.17314903115853666,0.0,0.35459883560445155,3.2003834174318486,2.1304197962140607,1.7759398197274274,20.974616562425332,10.472888940439915,311.80297434329987,2611.9863408905208,0.5375725659541786,0.8250346062704921,8
1478,1101,10.734882660345457,-10.734882660345457,-10.734882660345457,True,1.527276426634565,0.3974729552470481,0.670590465989318,0.23419904055091378,1.0,0.42581460937092125,9.606788895298479,7.943875740286116,1.473591995998114,13.242114323711316,9.632626664838034,482.495628927196,2237.93976529756,0.7723362609733768,0.8261496255053814,6
1479,1288,10.74086512045485,-10.74086512045485,-10.74086512045485,True,1.287197032520255,0.25500695410822266,0.7348634115977677,0.1664371041273517,4.0,0.1618066274964249,2.5331190092775344,2.2901019367572033,1.7847115443173203,16.474927119058385,11.870590578028228,414.74128779182087,2739.867376163602,0.7407272804447173,0.9159691196930203,8
1480,1064,10.741194386358943,-10.741194386358943,-10.741194386358943,True,1.4182056124626599,0.21346306164585357,0.8759718596935273,0.15405000252649187,1.0,0.46392192330629145,3.1025305207684752,1.9303216831837764,2.9440668215135055,17.117462103959422,12.203606132635779,470.13639101450775,2343.282341081614,0.6294904829034356,0.9756066306981854,8
1481,491,10.759333585252602,-10.759333585252602,-10.759437062221831,True,0.943019913503659,0.1750120189087649,0.5405445046911316,0.12052090055619079,0.0,0.253632906994424,2.059145328416286,0.10553068755141037,2.952909913640738,18.018022147118515,11.054940937046075,389.60953798311425,1847.0116976505653,0.6312729263410075,0.6570630106571277,8
