score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
-8.717013001849192,8.717013001849192,305,1.813038847993141,0.31487934856981886,0.6001967664527442,0.16279463070939854,0.0,13.251454199444595,8.998504296832603,3.1803144068290523,24.0,12.0,20.0,15.0,223.4465888765528,1995.2794226944957,26.581676954932725
-8.71771596442029,8.71771596442029,246,1.8011249642322276,0.36969728788800243,0.583398510828242,0.2279845942179194,0.0,13.087569716286641,9.223264298867583,3.3524040716062165,24.0,12.0,20.0,13.0,227.4756917150922,2075.4529495403576,22.13588074616199
-8.719062633701277,8.719062633701277,334,1.8047321246451884,0.3181599551342697,0.6170595967809532,0.23424952522410064,0.0,13.316545500895119,11.04606983399612,3.338856875011766,19.0,8.0,17.0,12.0,332.6696268139242,2370.4097947809414,26.546109463900315
-8.719609866960047,8.719609866960047,346,1.7963253320655423,0.3741344397776863,0.5977502365771026,0.2714047494874402,0.0,13.076528791278164,12.39046216506481,3.3165783014992902,22.0,10.0,20.0,15.0,269.2748412283456,2809.718386316198,19.330238563935417
-8.722675101830296,8.722675101830296,246,1.7950134395544448,0.3525133848473239,0.6501763882987662,0.1991814600618526,0.0,13.037012757901213,7.125099801632777,3.3374883660004686,24.0,12.0,24.0,12.0,219.73696512232522,1872.742460783889,22.14777520641439
-8.723496706372872,8.723496706372872,244,1.7997214832525117,0.3516741747130644,0.7869451399507006,0.13434566921942778,0.0,13.13277998653352,8.907103339242157,3.2904141369053583,24.0,12.0,22.0,13.0,227.42249283301655,2532.1399597046666,25.31419700764851
-8.729208606529149,8.729208606529149,334,1.8203588126530639,0.3483793257308913,0.5963054352327323,0.2324239381738725,0.0,13.140839266947594,11.668788641349208,3.278817934245475,22.0,10.0,20.0,15.0,261.3130473176856,2193.058048855699,39.13889514673946
-8.73457518816047,8.73457518816047,299,1.7493125387971127,0.34727057425043606,0.458485465912626,0.21590877254929938,0.0,13.115741687143071,11.089837703327484,3.2959204338990116,22.0,10.0,21.0,12.0,257.9954555683006,2190.4039853626973,24.833686968857812
-8.735926216758463,8.735926216758463,344,1.7792752195222412,0.3200415584894637,0.5050434688880444,0.27634138341340436,0.0,13.316521339223257,12.95346610284977,3.359555644621386,22.0,10.0,17.0,10.0,272.08028152847305,2520.087001112227,22.118479538139724
-8.744296864314691,8.744296864314691,349,1.7586383770350176,0.34379748600606913,0.6249643867115093,0.28138263194641944,0.0,13.277279455059265,11.446784183992301,3.352963114844978,22.0,10.0,20.0,15.0,264.27350132021354,2312.6375443134493,19.074817041089396
-8.750081779227662,8.750081779227662,247,1.7860313209250855,0.3494564912626453,0.41279972743700655,0.16884215742056244,0.0,13.391198055468482,8.163790181335974,3.368167810057103,25.0,12.5,20.0,13.0,221.82462799722003,2128.321824511734,24.875982377257362
-8.751254386170526,8.751254386170526,305,1.8269422762373126,0.33485226347112446,0.5946754673349313,0.1928883869540515,0.0,13.12452913319402,12.852084640879701,3.3268976674531263,20.0,10.0,22.0,10.0,286.5898760643852,1917.724856027277,30.448226758845575
-8.751986869272724,8.751986869272724,239,1.8005026085018998,0.3528221175255484,0.560035701720263,0.24120789501326426,0.0,13.39858993524439,12.48921553638576,3.315995427646491,22.0,10.0,20.0,15.0,261.3903333600767,2348.4055355808828,17.94973571113446
-8.751986869272724,8.751986869272724,291,1.8005026085018998,0.3528221175255484,0.560035701720263,0.24120789501326426,0.0,13.39858993524439,12.48921553638576,3.3159954276464916,22.0,10.0,20.0,15.0,261.3903333600767,2348.4055355808828,17.94973571113446
-8.752619168405172,8.752619168405172,301,1.8245059804210668,0.2923365274660096,0.5548616753756899,0.14048925184115446,0.0,13.114885813966346,8.15922676483883,3.204760187730701,22.0,10.0,22.0,13.0,271.2772289803888,2364.278851653745,23.404031279292752
-8.754473626715034,8.754473626715034,333,1.7883165267111583,0.3297146255320309,0.7526071872325872,0.17379410762544956,0.0,13.054632667983716,11.528249929050194,3.2418585918565705,20.0,10.0,22.0,13.0,277.96227261238516,2041.8396826938415,36.55859650073987
-8.756810133107379,8.756810133107379,188,1.78249283210985,0.3701344570784981,0.7220381665500192,0.09102593719483955,0.0,13.349365595719405,8.502966364660686,3.3752030261230894,24.0,12.0,20.0,15.0,225.36338962892412,2752.118937318878,28.442519502950724
-8.759545562326235,8.759545562326235,343,1.815469916452924,0.3289510420484924,0.6368457041190206,0.23867802677772587,0.0,13.154430075069442,11.787738187663637,3.2910292471542544,22.0,10.0,21.0,13.0,268.35032046710967,2177.998146309377,18.865309721386744
-8.764969467349093,8.764969467349093,304,1.7685748933587857,0.3271057845497881,0.5413393246949639,0.2219060253563203,0.0,13.259057593876094,9.576560664382693,3.3755572409536576,22.0,12.0,22.0,13.0,250.2968776346191,2508.66811079782,20.329696945614558
-8.766518921934397,8.766518921934397,304,1.7747354923050496,0.36013634225244684,0.7727526588756052,0.14792110508872142,0.0,13.319100317376755,9.279648017345155,3.272750386346188,24.0,12.0,20.0,15.0,219.11292201487134,2343.733951096423,23.241441748767855
-8.767122208370962,8.767122208370962,350,1.8097485177951413,0.34724020705369996,0.6718750739740852,0.17668640233045296,0.0,13.29027938211912,9.298857543525731,3.193603662067457,22.0,10.0,21.0,13.5,262.21567785645254,2411.2527216476733,22.605083080620354
-8.76964178480905,8.76964178480905,350,1.816718609416401,0.3296386887321522,0.7702402712187053,0.24258522539671998,0.0,13.115286580376225,5.261228374402856,3.361198941791437,22.0,10.0,24.0,12.0,270.3109239281333,2231.4014267173748,8.51319898467565
-8.770256660017996,8.770256660017996,277,1.8147155358888605,0.2834957095657689,0.7676615566622605,0.11116685538116695,0.0,13.128836248755624,10.170813459044643,3.369586162383773,22.0,10.0,24.0,12.0,273.4376541240935,2105.40343408662,32.07853953167098
