model,split,quantity,mae,rmse,bias,p95_absolute_error,max_absolute_error,correlation,sign_agreement,false_pass,false_rejection
reference_current_lift,holdout,CLa,0.3489087866011048,0.3952606482277616,0.12770037497238013,0.7488656019452891,0.8064570384472711,0.8388863686105652,1.0,0,0
reference_current_lift,holdout,Cma,0.31030646998713735,0.38734354302734886,0.1168761082418754,0.8160569880362818,1.1001575509723107,0.9288081972951547,0.8888888888888888,1,4
reference_current_lift,holdout,Cnb,0.007193905238316007,0.009911495340596424,0.004717072775478801,0.023553824286071265,0.0324779729879905,0.9939613341606857,0.9777777777777777,1,0
reference_refit_lift,train,CLa,0.32041757337115656,0.3558868636133419,-0.003909070869077068,0.6433716505635969,0.742274196564753,0.7916826452810586,1.0,0,0
reference_refit_lift,train,Cma,0.20283033965856428,0.2542486444790545,8.353106566227368e-16,0.5141168036626839,0.7434367732180993,0.9793930292653437,0.9523809523809523,4,1
reference_refit_lift,train,Cnb,0.008418936646954913,0.011217416758363942,-1.418324815859224e-05,0.022042848819234576,0.026976920038467467,0.9971739080230339,0.9714285714285714,1,2
reference_refit_lift,grouped_cv,CLa,0.3476233531298369,0.3899984838247189,-0.006505804087233629,0.7136858212002852,0.8212689356838547,0.7476889257212235,1.0,0,0
reference_refit_lift,grouped_cv,Cma,0.2489870471841441,0.32233384173075347,-0.0156144481224933,0.691482080657472,0.8652719354726894,0.9667895557222133,0.9428571428571428,4,2
reference_refit_lift,grouped_cv,Cnb,0.009511349260432277,0.013138238027024155,0.000366494909392489,0.024785120947443433,0.04166374057557365,0.9961755184433347,0.9714285714285714,1,2
reference_refit_lift,holdout,CLa,0.3845026980749285,0.43165885999483244,-0.1201193872862607,0.6937748615075736,0.7096449360277255,0.7961190318210083,1.0,0,0
reference_refit_lift,holdout,Cma,0.30544241743508266,0.39068978259627246,0.11999458432316797,0.9141964140376725,1.002318012472915,0.9221937068033927,0.9111111111111111,1,3
reference_refit_lift,holdout,Cnb,0.007193905238316007,0.009911495340596424,0.004717072775478801,0.023553824286071265,0.0324779729879905,0.9939613341606857,0.9777777777777777,1,0
