rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
2984,2619,8.995918234206481,-8.995918234206481,-8.995918234206481,True,1.560792082590218,0.31746549326730816,0.499246977638902,0.2111963851730075,1.0,0.34656586267402784,7.4640716943984735,1.6764300650281552,3.705306139126585,18.292704388592625,11.529580709012325,378.3807185779267,2732.468092478958,0.9799535465865614,0.7058650272331255,6
2985,1095,9.021714285714285,-9.021714285714285,-9.021714285714285,True,1.7577988989747833,0.3338682936334209,0.36789987087249754,0.15602704971236822,0.0,0.35275859292078715,7.5914912346609285,4.06302925817361,1.853679487016052,18.346596509612166,7.958475478501805,362.6298627878482,2732.338320463896,0.7383106143877758,0.7809238556634058,8
2986,2800,9.032707640697598,-9.032707640697598,-9.032767642620836,True,1.534356024851407,0.3011631496480409,0.6144681328870845,0.23558515227236232,1.0,0.40860360674458385,6.840981746121447,1.390450605544264,1.4257417062545885,12.766183971307562,10.002566332525355,473.4655034421061,2296.8233139696617,0.647831769022197,0.7521215756886488,8
2987,2647,9.034559069522832,-9.034559069522832,-9.034559069522832,True,1.4889460765589397,0.23153622047582653,0.6182957977783411,0.21021598975043534,0.0,0.5777336459604168,13.2114220186929,10.932106105330156,1.0523354504655829,23.26032922118311,9.620176243786714,302.72502716185807,2076.942494779764,0.9800121542456683,0.6421884221419573,8
2988,1332,9.045428571428571,-9.045428571428571,-9.045428571428571,True,1.6345059553685668,0.2877477331192347,0.5702106853947044,0.1742223026888951,0.0,0.39896077409776803,7.215037345660976,2.258688460525244,2.913664818794395,18.92711454572374,11.547186391929193,392.1546129427868,2578.60724463492,0.575073766394307,0.8097383911372178,6
2989,492,9.07454416676692,-9.07454416676692,-9.07454416676692,True,1.5244142997456436,0.39518746422441076,0.40866927849329515,0.1857208296561648,0.0,0.497397382857712,11.956988775992802,0.44722976800107705,1.351737249419515,24.858151383772075,14.453078399922049,234.10753342918733,2651.2050187446453,0.6028205803595483,0.7843555283397369,8
2990,2280,9.107714285714286,-9.107714285714286,-9.107714285714286,True,1.691031033712817,0.3861380763277571,0.8288157141770223,0.19652069345927597,0.0,0.24110095325975467,6.226492303988358,2.512150540656771,3.896158522590489,16.52214306470161,9.104332705838948,463.5699683702429,2967.8264123013014,0.5149348531041142,0.9086539180142285,6
2991,2157,9.147142857142857,-9.147142857142857,-9.147142857142857,True,1.6341890908586074,0.34072872079518096,0.7499862576947851,0.09692198837141305,0.0,0.3735027554231727,5.600854802043417,4.59184342935332,4.489680305697711,22.76886891043416,15.567825930026713,249.58218063765503,2735.221678434217,0.571070960936309,0.9255720096938373,6
2992,2419,9.173411392198853,-9.173411392198853,-9.173411392198853,True,1.2799784518134298,0.3687775757041043,0.5802803650076676,0.2655077443289166,0.0,0.5657925262210914,12.149652841437192,11.136027664528633,2.321824709737152,18.47625008094919,10.684175189290707,388.87342743741385,1615.5479399693415,0.5282247463261467,0.7844572718475515,6
2993,1413,9.18142857142857,-9.18142857142857,-9.18142857142857,True,1.525705568863179,0.37651343789851804,0.5906749624251603,0.26956979751188664,0.0,0.47801841502776427,5.059423439617358,1.2011598232560337,3.3212199748881512,14.0193624670077,7.1977812889257375,407.2222457855982,2525.016192639095,0.7737043429400484,0.809397857170552,8
2994,478,9.187909704465577,-9.187909704465577,-9.187909704465577,True,1.750749777705141,0.2921252530337969,0.36189652972213515,0.2617225512502288,0.0,0.4079164577578559,12.624996886037966,12.497987658547167,2.2304481119441135,19.472212206273742,13.819076873894764,309.0991210296847,1663.0977351921424,0.9415825045435184,0.6934967423896624,8
2995,1475,9.18309548144836,-9.18309548144836,-9.19033074358541,True,1.6164400807333812,0.20879690181463956,0.6123756478457002,0.23055753225460646,2.0,0.28327387366617085,6.183256218104616,1.015505253918966,3.378378378378378,14.044620442697688,11.062263883366553,440.83824578735994,1945.7312796913593,0.7121771649971439,0.6762626188550993,8
2996,276,9.210859185207127,-9.210859185207127,-9.210859185207127,True,0.9445518909559583,0.3717912754400841,0.49624976947254945,0.09806690548617977,0.0,0.469747910741516,2.3568803675269185,1.9413367319583115,3.2957174337829036,21.48243946920184,11.042280338842838,320.5986950388684,2748.2947884561822,0.8570214163639097,0.6193924391420461,8
2997,2817,9.21420596339389,-9.21420596339389,-9.21420596339389,True,1.3512833166427785,0.2650181419538032,0.3480788525953821,0.2095813169667633,0.0,0.38553922636100074,12.754386886890558,11.75806260280575,2.017832122843159,21.395745116635858,11.572387826911411,369.7986186081892,2668.9574205262334,0.638769323875066,0.8105078902422478,6
2998,2433,9.230802643051675,-9.230802643051675,-9.230802643051675,True,1.662708345999552,0.3136656338178732,0.6872862160115909,0.2353355676756222,1.0,0.3434812834185071,6.320753225782119,6.138848020599933,2.972143181499276,15.040629466233653,11.163325828452495,312.6512095247309,1396.311634696374,0.9514519002339401,0.5198416585525457,8
2999,2951,9.242978138355321,-9.242978138355321,-9.242978138355321,True,1.5456185961187667,0.37895109197339605,0.642992152566602,0.20705395205634455,0.0,0.5465643665716654,14.472986423362585,9.767079994941994,2.761054263767018,21.98857836858099,12.31037723422273,316.88017728235064,2063.890911599633,0.9652912082536971,0.7520139437214017,8
3000,1602,9.249428571428572,-9.249428571428572,-9.249428571428572,True,1.575951054274114,0.21530402763432324,0.46681832558424363,0.29149200602801817,0.0,0.4445167600708725,3.979156809903672,3.5971913652369585,4.165556864347309,18.665455733425915,14.913755465343613,374.50675696703934,2967.886655629384,0.5644146176169793,0.7131842906049919,6
3001,1972,9.261748464086999,-9.261748464086999,-9.261748464086999,True,1.1975526278916695,0.34244083627926336,0.530919166802986,0.21603216259364957,0.0,0.39453113556961017,13.28435974831466,6.253032135663468,3.077127711064438,16.47326238893386,10.450302623384273,316.2525468865645,1822.1091761555588,0.6204137821888902,0.7471122255281053,8
3002,1828,9.269338946536545,-9.269338946536545,-9.269338946536545,True,1.3504141278947839,0.22996268158959834,0.5998088448845327,0.1850036407947793,0.0,0.5429403627229854,13.603854197571042,3.9181432795051414,1.6728345648146683,21.8715248812925,17.022840003435284,338.12963281039345,2300.195422857326,0.6262198110670159,0.5879089079246056,6
