generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
30,2,16896,365.8415174999973,46.18393263689686,1496.6243897727163,nan,0.919921875,4.870916160762497,2.1275356462593873,-2.1275356462593873,5.525255628158156,1.0450495813714278,0.21425917010754347,0.5103717863559722,0.2327191774540567,0.0,0.2342836884978013,0.08178327632620931,0.20009150310626467,0.10279515399059846,1.944193413786733,15.0,10.0,16.0,12.0,270.4092449189809,2610.3661190718412,19.562478391249417
31,3,17920,416.6325419000059,43.011522619615484,1583.2036592200225,nan,0.85546875,3.390154133359772,5.5350774315723115,-5.5350774315723115,5.525255628158156,1.8074526891443878,0.34634906698018314,0.36794540360569955,0.27653138425201174,0.0,0.4088664212543517,0.06780949849719181,1.1263574239910241,0.5844336443019955,1.4890015387051814,24.0,12.0,18.0,12.0,234.91916661150753,1137.7481650561094,4.024283848702908
32,3,18432,423.842573300004,43.48784468839442,1554.089435433348,nan,0.86328125,3.460876773516434,5.5350774315723115,-5.5350774315723115,5.525255628158156,1.8074526891443878,0.34634906698018314,0.36794540360569955,0.27653138425201174,0.0,0.4088664212543517,0.06780949849719181,1.1263574239910241,0.5844336443019955,1.4890015387051814,24.0,12.0,18.0,12.0,234.91916661150753,1137.7481650561094,4.024283848702908
33,3,18944,433.5154499000055,43.69855792768082,1534.879025321641,nan,0.876953125,3.5471561847687973,5.5350774315723115,-5.5350774315723115,5.525255628158156,1.8074526891443878,0.34634906698018314,0.36794540360569955,0.27653138425201174,0.0,0.4088664212543517,0.06780949849719181,1.1263574239910241,0.5844336443019955,1.4890015387051814,24.0,12.0,18.0,12.0,234.91916661150753,1137.7481650561094,4.024283848702908
34,3,19456,443.35587379999924,43.88348311085358,1516.7437787894712,nan,0.89453125,3.773291305102644,0.7509844941612043,-0.7509844941612043,5.525255628158156,1.8227802404515445,0.3999201494435597,0.3657428198524336,0.22721031786873935,1.0,0.49975496655274587,0.08612104624184656,1.889281507739632,0.9806281272818325,2.104072030533004,21.0,13.5,21.0,13.0,281.2890563661564,1160.4458820074797,31.97662880463966
35,3,19968,454.54534630000126,43.92961046139732,1503.4961454538502,nan,0.91015625,3.8779122116278177,0.7509844941612043,-0.7509844941612043,5.525255628158156,1.8227802404515445,0.3999201494435597,0.3657428198524336,0.22721031786873935,1.0,0.49975496655274587,0.08612104624184656,1.889281507739632,0.9806281272818325,2.104072030533004,21.0,13.5,21.0,13.0,281.2890563661564,1160.4458820074797,31.97662880463966
36,3,20480,471.9850848999922,43.39120166125473,1510.3522716799753,nan,0.921875,4.412859169715481,0.7509844941612043,-0.7509844941612043,5.525255628158156,1.8227802404515445,0.3999201494435597,0.3657428198524336,0.22721031786873935,1.0,0.49975496655274587,0.08612104624184656,1.889281507739632,0.9806281272818325,2.104072030533004,21.0,13.5,21.0,13.0,281.2890563661564,1160.4458820074797,31.97662880463966
37,3,20992,487.88100350000605,43.02688534582335,1511.2411571829455,nan,0.931640625,4.653889107829542,0.7509844941612043,-0.7509844941612043,5.525255628158156,1.8227802404515445,0.3999201494435597,0.3657428198524336,0.22721031786873935,1.0,0.49975496655274587,0.08612104624184656,1.889281507739632,0.9806281272818325,2.104072030533004,21.0,13.5,21.0,13.0,281.2890563661564,1160.4458820074797,31.97662880463966
38,3,21504,508.08323669999663,42.3237738360915,1524.24971009999,nan,0.951171875,5.250032176581525,0.7509844941612043,-0.7509844941612043,5.525255628158156,1.8227802404515445,0.3999201494435597,0.3657428198524336,0.22721031786873935,1.0,0.49975496655274587,0.08612104624184656,1.889281507739632,0.9806281272818325,2.104072030533004,21.0,13.5,21.0,13.0,281.2890563661564,1160.4458820074797,31.97662880463966
39,3,22016,527.2302262000012,41.75784867017162,1532.6460063953523,nan,0.9609375,5.629811546152086,-5.540619515263685,5.540619515263685,5.540619515263685,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.24896663068398603,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.0,20.0,15.0,261.56960856006003,2274.6033605553453,28.675801568027303
40,3,22528,538.8551186999975,41.80715598350333,1518.5916981545386,nan,0.966796875,6.331466399583803,-5.540619515263685,5.540619515263685,5.540619515263685,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.24896663068398603,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.0,20.0,15.0,261.56960856006003,2274.6033605553453,28.675801568027303
41,4,23552,587.5200292999943,40.08714397032766,1558.205295099985,nan,0.794921875,3.1596065539083953,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
