generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
108,4,55808,376.5257108339574,148.2182979653428,763.4145146266476,0.0,nan,nan,1.7685589485530662,0.34074658411601677,0.5922953423076113,0.16394658033982498,0.0,0.3114973344168167,0.05187392750391849,2.2512461354270883,0.8988199558081931,2.9676961384693534,11.518154642606312,5.0,581.3557357560737,2208.019764653968,0.9591971804453068,0.7529756746444567
109,4,56320,380.50141099997563,148.01521984370146,761.0028219999513,0.0,nan,nan,1.7685589485530662,0.34074658411601677,0.5922953423076113,0.16394658033982498,0.0,0.3114973344168167,0.05187392750391849,2.2512461354270883,0.8988199558081931,2.9676961384693534,11.518154642606312,5.0,581.3557357560737,2208.019764653968,0.9591971804453068,0.7529756746444567
110,4,56832,385.1363924999605,147.56330771833208,759.863693310733,0.0,nan,nan,1.7685589485530662,0.34074658411601677,0.5922953423076113,0.16394658033982498,0.0,0.3114973344168167,0.05187392750391849,2.2512461354270883,0.8988199558081931,2.9676961384693534,11.518154642606312,5.0,581.3557357560737,2208.019764653968,0.9591971804453068,0.7529756746444567
111,5,57344,404.7843264999683,141.6655642174537,787.8837783660097,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
112,5,57856,413.0073211250128,140.08468383176097,793.1202538418388,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
113,5,58368,418.99049037497025,139.30626432061572,793.8767186052067,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
114,5,58880,424.5971454589744,138.67262328472043,793.8120545537347,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
115,5,59392,432.46572245896095,137.33342763514867,797.8246948811866,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
116,5,59904,439.6333644170081,136.25899408121103,800.3581762463481,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
117,5,60416,449.94543520896696,134.27405919106872,808.3765446127203,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
118,5,60928,456.35822466696845,133.50915291263297,809.1729865943726,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
119,5,61440,466.62514108396135,131.6688591987908,816.5939968969323,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
120,5,61952,475.31754808401456,130.33812921430305,821.0030375996616,0.0,nan,nan,1.3348472163241356,0.36126837686574637,0.6950980457219712,0.2566868872189527,0.0,0.33785820155497637,0.1139251183528763,1.9300512912132817,1.8299453152844691,3.030762699969525,11.409858834623757,5.0,530.9917668331053,2243.0062536150217,0.8969600805609401,0.873980495147407
121,0,62464,501.2264691249584,124.6223091710414,854.5500457212405,0.0,nan,nan,1.6091123145552217,0.3518310438737713,0.7746366306973453,0.10256428955989816,0.0,0.18829933916001837,0.07901976858662794,2.2580302397241496,1.33377980024499,2.8042274256257222,10.071998578798457,5.0,620.1796907295693,1331.2089687588682,0.7861608421232605,0.8157786899728703
122,0,62976,507.8337701249984,124.00908270534876,854.6470765518267,0.0,nan,nan,1.6091123145552217,0.3518310438737713,0.7746366306973453,0.10256428955989816,0.0,0.18829933916001837,0.07901976858662794,2.2580302397241496,1.33377980024499,2.8042274256257222,10.071998578798457,5.0,620.1796907295693,1331.2089687588682,0.7861608421232605,0.8157786899728703
123,0,63488,512.8611504170112,123.7917903283909,852.0112660153574,0.0,nan,nan,1.6091123145552217,0.3518310438737713,0.7746366306973453,0.10256428955989816,0.0,0.18829933916001837,0.07901976858662794,2.2580302397241496,1.33377980024499,2.8042274256257222,10.071998578798457,5.0,620.1796907295693,1331.2089687588682,0.7861608421232605,0.8157786899728703
124,0,64000,519.3386277919635,123.23366022686281,851.7153495788201,0.0,nan,nan,1.6091123145552217,0.3518310438737713,0.7746366306973453,0.10256428955989816,0.0,0.18829933916001837,0.07901976858662794,2.2580302397241496,1.33377980024499,2.8042274256257222,10.071998578798457,5.0,620.1796907295693,1331.2089687588682,0.7861608421232605,0.8157786899728703
125,0,64512,524.2760493339738,123.04967980504605,848.8278893978622,0.0,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
126,0,65024,534.5975991669693,121.6316723107678,854.5142726842107,0.0,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
127,0,65536,555.9130327919847,117.88894329542136,877.3002548748509,1.9734717559945478e-05,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
128,0,66048,567.6156954590115,116.36041872765557,884.424455715204,1.8620261891923137e-05,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
129,0,66560,578.5104318339727,115.05410505562348,890.0160489753426,1.8567740487845537e-05,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
130,0,67072,593.3328087090049,113.04279658146277,901.3223582678777,1.660950450137232e-05,nan,nan,1.540449227515194,0.31500665774965586,0.691483473518487,0.09143208590442459,0.0,0.3845851848062117,0.08871133368153643,4.244820031084629,1.8571272278036375,3.0759893927062345,11.334677887249777,5.0,608.1408758600048,1708.3256861772052,0.7915872574643437,0.7631946118157074
131,1,67584,613.3952988749952,110.18017275964328,920.0929483124928,0.0,nan,nan,1.2855438206228416,0.29749199194433235,0.5762970031878003,0.2545817419807107,0.0,0.4535103058320009,0.05852675878001831,0.5674555849964946,0.45262302275271793,2.6005441842284562,11.595691531896804,5.0,546.5411982020859,1533.5991645952772,0.9262782524991406,0.8476826228487603
