rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1709,1710,4.797239521806098,-4.797239521806098,-4.803217869866895,True,1.672729911986945,0.30014152251272236,0.7266297863120323,0.2354342914651444,0.0,0.3305321417702595,0.056641257974329215,3.9120253407991044,2.959418680984726,3.132533825034273,11.59699926403514,5.0,596.9473685822761,2117.20625831807,0.9694164225009201,0.7634946204560298
1710,1344,4.802166076805207,-4.802166076805207,-4.804906222939377,True,1.787113819568099,0.3463124048523323,0.8135861539025494,0.26077177693173975,0.0,0.3768810510822165,0.12932132193866452,4.359818301984795,1.997117452571409,3.005097389591091,11.755186356140893,5.0,586.7302689882431,1806.3089713630904,0.9309399561895328,0.7580531290512817
1711,456,4.803827201388911,-4.803827201388911,-4.805299432736582,True,1.7058154238332275,0.28316353289108837,0.6256111259088323,0.09779152075967065,0.0,0.47638513661725723,0.058331164464077136,4.2540046461021035,3.894364905944741,2.7998735114618345,11.859713710618129,5.0,631.52735258509,2678.5165797826076,0.7928806317900294,0.7930787846780004
1712,2246,4.79438466295838,-4.79438466295838,-4.806452096760941,True,1.490785341692395,0.36180352969813856,0.5216422078056707,0.28995796243988203,0.0,0.29516535080073725,0.09592820962306238,3.9332099757505787,1.6931826608972003,3.0382601800178892,11.341845118869625,5.0,586.7700446950354,1649.572895368347,0.9491777932571166,0.9519634716000864
1713,1867,4.787325120418224,-4.787325120418224,-4.807412312629708,True,1.8064155663563088,0.2728663575483965,0.6923056296457817,0.18784861241175807,0.0,0.374844108122404,0.12974094098453795,3.132454090961737,3.040820314809288,3.175460412624489,10.81932039096203,5.0,633.1462511772284,1597.4154458415358,0.9694926783040132,0.7585463387896484
1714,1110,4.802417232176177,-4.802417232176177,-4.807588563989454,True,1.5700706978085515,0.3604039125040121,0.8881307900932885,0.11276428284983424,0.0,0.36838816754099035,0.08071226036856781,4.061770151761337,2.1870998136909705,2.731804014341689,10.80720438820179,5.0,643.4358790160632,2117.3064682425397,0.9481359746047935,0.7324652537836848
1715,2176,4.809513675340648,-4.809513675340648,-4.811036069010971,True,1.7087529559260508,0.31124060865837794,0.6645769865043152,0.20680663371469132,0.0,0.4042081745753258,0.11005152561202505,4.604735410254911,0.48075516434620624,3.0869486528885166,11.60974914412257,5.0,600.8138324755661,1605.2059551472507,0.8827656834365749,0.9431057199532271
1716,277,4.812051367690563,-4.812051367690563,-4.811939780597679,True,1.5934889628079634,0.28513404210325094,0.8584831700839708,0.24227611759555168,0.0,0.5641163251235428,0.07045274824163637,3.7120562870973615,2.692887696437502,3.177140923789489,11.834316357704903,5.0,593.0589141497566,2013.574150322212,0.8264413673696457,0.7939871156818502
1717,501,4.814040911843967,-4.814040911843967,-4.814080151129107,True,1.7086333538311487,0.3046976079624404,0.501745536245709,0.18345425743352417,0.0,0.41773023122299496,0.041495700751474164,3.6464985132828147,3.206417464563721,2.842373290458535,11.926317244587544,5.0,595.6092073155703,2088.564026218073,0.7824002982611105,0.7331452445593744
1718,169,4.815744424512484,-4.815744424512484,-4.817257298219006,True,1.615583194636443,0.3290718000068329,0.6774706591090518,0.1708800545364562,0.0,0.2094474411658654,0.06382178453561484,4.1884419166213505,1.5908177993233679,2.8370529553344497,11.152500100647131,5.0,636.1908991061947,1810.288381186891,0.7548852459706804,0.7410090442934891
1719,458,4.811374694340463,-4.811374694340463,-4.817353240490482,True,1.7865689555111883,0.25733880763240713,0.6760351611195649,0.2028283043048887,0.0,0.42348874463470465,0.06101548689961803,3.7223225359596057,3.194163834062536,3.2299686556386624,11.714272363365648,5.0,601.3754081215466,1923.6545474641975,0.7594670539949875,0.7849267206086554
1720,609,4.80134578781759,-4.80134578781759,-4.819188100960423,True,1.5555759160609532,0.3479602503593603,0.46937965799187864,0.18461090559240423,0.0,0.3476131727044641,0.06653883519829756,3.9319579121265633,3.5610868094226618,2.9456560981046684,11.737627160355592,5.0,623.7577958229604,2529.6262802131428,0.7944117111762732,0.7073192751653536
1721,1931,4.802696704769838,-4.802696704769838,-4.819886383409,True,1.7418741337461214,0.26182714441346816,0.7633799775593504,0.16238174719356163,0.0,0.3346888149684079,0.10730315072319901,3.773486105749484,3.1265181984269503,2.746983347322896,10.883046432419551,5.0,606.5655212028363,1405.3940557155133,0.9089797451888655,0.901184512343435
1722,2536,4.8137683969807465,-4.8137683969807465,-4.820054641302665,True,1.63742030380249,0.3587738961499666,0.6347408232486411,0.2876841935104317,0.0,0.3042134312105404,0.09759056003309952,4.171912425999828,1.1522049162820664,3.0845993997621943,11.756713694009404,5.0,589.4595364278734,2351.672557006837,0.9726004535905921,0.7490587365501318
1723,186,4.804892906069339,-4.804892906069339,-4.821200579080343,True,1.6044509618230625,0.3159540393881507,0.8307860154359366,0.18500499731375594,0.0,0.522386125549672,0.07513408275661235,3.5893556078541664,3.5135171329340906,2.818925525245169,11.44818041507501,5.0,609.0705535085617,2107.4335598042176,0.922979283825365,0.7490554573729578
1724,1654,4.8114453155947965,-4.8114453155947965,-4.8215445377163855,True,1.744242608777883,0.3932976957501142,0.8102216988036084,0.11236224577932981,0.0,0.35476486203856494,0.0725907760849187,5.061519203281534,3.689296687303063,2.790988883976517,12.240126119954347,5.0,581.5393215004947,1857.4679604316684,0.8845070541051572,0.7896893331356374
1725,2085,4.819212907967142,-4.819212907967142,-4.82341828268836,True,1.7923602759923742,0.3131179413773986,0.6174545119716567,0.15775113774359298,0.0,0.2371604735925591,0.10007652830007098,4.379031428891672,0.5757595699570928,2.7624010210362213,12.25665384660037,5.0,574.2159246371723,1507.3846061946526,0.8560382006687192,0.8336995008226067
1726,2987,4.816087844495372,-4.816087844495372,-4.823831289655674,True,1.5751641723729515,0.3614987043942222,0.6592811596392594,0.20298732210703957,0.0,0.39620893029993187,0.07176107831534011,4.2292273653649985,1.805484910090371,2.9763490313322785,11.237585302808132,5.0,626.9450052356465,2229.8518238757883,0.8537905905581632,0.74121891516085
1727,876,4.821389164508716,-4.821389164508716,-4.824674212429388,True,1.382362188800236,0.3522122424782135,0.5334174013364161,0.24085138051233962,0.0,0.2309854142211296,0.06477426612132221,4.192795669851755,2.1379351294532967,2.3185476338980706,12.00639438477396,5.0,606.8090982115596,2456.7332692352325,0.8379100704601767,0.8546562228666854
1728,2008,4.819410793710362,-4.819410793710362,-4.82621183607311,True,1.6487534764614904,0.28627695165758427,0.665156182165651,0.21717845535012525,0.0,0.34257898608272425,0.13776148304495614,4.244252004930644,1.067227147209941,2.415067658046803,11.207316496125683,5.0,633.3223665894036,2272.0158319632337,0.8726628396652518,0.7815324005990498
1729,811,4.825038621704327,-4.825038621704327,-4.826567114923495,True,1.6910012750183212,0.3581890747221671,0.7217055194140517,0.2234892150001147,0.0,0.46693873648830236,0.04159224922270048,3.8189992932122294,2.460406069292695,2.3294957112254364,11.643007573192904,5.0,637.9495229831454,2939.6693795736473,0.8985785354830873,0.7000082077208845
1730,2531,4.815916087224427,-4.815916087224427,-4.828311213672184,True,1.6407479831680254,0.36125584462225857,0.49454421039920937,0.24196833191175146,0.0,0.16735837348606417,0.07982966846586745,4.524575316732253,2.3592147190012795,2.741877970545034,12.113613243608784,5.0,590.4737032850276,1786.6627936304317,0.7765711406896599,0.7426505868709805
1731,2361,4.8207463345059764,-4.8207463345059764,-4.828484496678944,True,1.5323064319961879,0.3266106634502909,0.6710879901782312,0.18308165764675233,0.0,0.218797397055923,0.08195497845014792,4.376790215800092,1.8476804802596263,2.899602461621561,12.016883308050154,5.0,578.7796535285597,1971.4506082432129,0.9226307967430942,0.7519862608285489
1732,1596,4.817303979652492,-4.817303979652492,-4.830316814407048,True,1.740767964234254,0.2777734933929902,0.8307711311732585,0.259248156465474,0.0,0.3660337378942468,0.11834246642577381,4.365641008663204,2.483454529781305,2.6698308166330467,11.95280763862331,5.0,593.126385001065,1979.4406532202433,0.836002323401462,0.7141044681682089
1733,1020,4.824530550589931,-4.824530550589931,-4.830715267927471,True,1.6165594340986151,0.33729625293126747,0.637588766369449,0.2518578121079863,0.0,0.18171607594167083,0.09253122612107498,3.593266635466591,2.6251991014303613,2.972940153427545,12.074789436259083,5.0,601.6946325401464,2658.8781131865394,0.8430267014800936,0.8732562457115756
1734,2872,4.824345332010874,-4.824345332010874,-4.831438993326808,True,1.674236592906249,0.2551523314842076,0.7268501374280565,0.12308368919286346,0.0,0.47679586870836654,0.057614672389255814,3.972696089453457,1.6251384806682694,2.5995528674109694,11.472236589560788,5.0,629.5195224163888,2537.41744360781,0.8377847754169896,0.7507375182448656
1735,3049,4.807820654938017,-4.807820654938017,-4.833892581159182,True,1.7033904219692335,0.3531628296520128,0.4521530893383263,0.19967649149538708,0.0,0.4103995609794699,0.0966126771584619,3.3037765434054407,3.070763615848122,2.9846971964392988,11.322729269195587,5.0,598.3510094696317,2536.5322332220067,0.9482734722327609,0.790017879350505
1736,1683,4.824196075506321,-4.824196075506321,-4.833939220464394,True,1.5553524982232232,0.38610187324116246,0.5128408363828685,0.19303314247143535,0.0,0.28038520157132646,0.0993786314937452,3.176947337573935,2.4122106989854473,2.831406863789405,10.762352338517339,5.0,588.9927647625339,1864.059628938422,0.8382055702563309,0.8240612092543684
1737,1702,4.816475243205937,-4.816475243205937,-4.834011299620791,True,1.7537613972031108,0.2605338135881748,0.5741937400838798,0.23644237527071252,0.0,0.46498028509642425,0.11275142486691651,3.6443623535533973,2.9423283793559847,3.151334345216015,11.365369567375936,5.0,609.4855277697251,1958.176753075731,0.8835697157710669,0.7680309176234712
1738,2156,4.834096141607414,-4.834096141607414,-4.836370248225354,True,1.6818638075518353,0.3242944506126381,0.46525421098279396,0.11963527529530578,0.0,0.1443069993690768,0.10933323344142817,4.188583634535,0.9086556764187179,2.750172701373386,11.737941890684496,5.0,605.6302990882026,1581.4884035996351,0.776384366187993,0.741128391645582
1739,40,4.824986875347126,-4.824986875347126,-4.837014455643863,True,1.7310749810748758,0.2774566673856317,0.7722886241721268,0.1888712004599018,0.0,0.24363536337289732,0.10748248309178246,4.199336282925984,3.913955940208311,3.2781005830521197,11.235781286601703,5.0,640.7852553934824,2213.324709467325,0.7281930848009575,0.6790746255618633
1740,1193,4.809915862007081,-4.809915862007081,-4.837965953433498,True,1.6961164551726826,0.3027108527227477,0.355475332437831,0.09240058500643719,0.0,0.30247609681277343,0.10347815788220933,4.109440648779618,3.3177359514115423,3.246364535146485,11.037597428772589,5.0,628.8110455193165,1640.7118947143042,0.9040435334689038,0.7566711332876056
1741,275,4.828889895320102,-4.828889895320102,-4.839831690579968,True,1.7812848714902878,0.31644188568892917,0.7142208164220812,0.23440270086421688,0.0,0.1709195868650486,0.06938070113679182,4.0591451523845095,2.175712893931795,2.6454166725433352,11.71482173666348,5.0,614.190995696619,2230.5845509817264,0.7669205060404707,0.7048684741875992
1742,1899,4.825596906554502,-4.825596906554502,-4.843280576302369,True,1.822456875335864,0.27067057390620275,0.537197209906296,0.12968829213051317,0.0,0.3467666509183231,0.09625161778881512,3.6988039206262115,2.2596744754428286,3.1507145356054185,11.626941726333062,5.0,602.6016527145374,1984.1935591869574,0.834407348421959,0.829727027645847
1743,2957,4.819034684310138,-4.819034684310138,-4.843899039128228,True,1.4703586139639688,0.33297923683998343,0.6178195184657465,0.2958366763235655,0.0,0.39555961929779015,0.0727012769463451,3.1898083960468853,3.18509794004283,3.0799362317056302,10.839996759556733,5.0,648.8813975245641,2474.445810607562,0.9060872046005117,0.7637190906377734
1744,2378,4.8377375917385805,-4.8377375917385805,-4.844566390828778,True,1.6426389088037074,0.36735349081237684,0.8901332263821544,0.19118936682804766,0.0,0.2594654500095682,0.05636174135991932,3.676000429032811,0.9908917186380535,3.0185704171859933,11.87057704875875,5.0,584.504340324298,2377.7908632929357,0.9579201432048996,0.8302856142939214
1745,452,4.837099636537349,-4.837099636537349,-4.845274641968555,True,1.6210779973028382,0.36188452046782676,0.5498816607177005,0.16851739973649119,0.0,0.3122081940729608,0.08146165416750764,4.863502207821149,2.638752186146185,3.37425562694599,11.385346484941902,5.0,626.3569850851616,1935.3226039819542,0.7448956503906669,0.7395933568226278
1746,2177,4.84430839309967,-4.84430839309967,-4.845762299212938,True,1.756266101329701,0.32459581192734493,0.7601040908173531,0.29069622481197127,0.0,0.17682665501199216,0.0989823044366846,4.553523573515143,1.0563549919863462,2.8474789598710553,12.096994168112307,5.0,577.0264986691498,2204.9047320903665,0.9637944577292901,0.7680395164439796
1747,1919,4.823555450710895,-4.823555450710895,-4.846572785214924,True,1.6571740798958747,0.27024079766862796,0.7429984615964874,0.18013304083782428,0.0,0.37801363153438117,0.09677201607307709,3.8893198983225687,3.2749942075472944,2.953596747253905,11.683371832072533,5.0,594.9083049191872,1440.4824443905334,0.9541456040223001,0.7819966267977012
1748,1204,4.839035669226012,-4.839035669226012,-4.847492168013831,True,1.6533791122879833,0.3282078900810128,0.7176101323744398,0.18213609756615412,0.0,0.11102875088066019,0.09910405441132936,4.103948523550102,1.342213006533278,2.7305426541719884,10.95069482215268,5.0,610.2821996853864,1983.8724887762733,0.7331371180098245,0.7151001397208081
