case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds
14,1.0546321714288351,0.30758034150698066,0.8926310493002316,0.22900534327386168,9,8,1.4361366916857512,3.20685065224166,ok,28.553382710117884,0.7207642484738119,-3.639413696370632,0.016685800161212683,ok,29.90582290703886,-0.5966614570536265,-0.9097323720761558,1.5514475000090897
15,0.8639517599292535,0.20595261598656328,0.7754225936198919,0.17272513605287293,8,4,1.0844289085002328,7.626207413337567,ok,29.68367798758719,1.9214593615980862,-2.682373641300556,0.015580799896270037,ok,30.300407044369514,0.9298245305604731,-1.136009632107128,1.5670707998797297
16,0.8479207647816376,0.18721422687055467,0.3885325963029985,0.2916781758004612,5,3,4.318943064317676,3.2794050722878896,ok,29.730317041045545,2.189808651125507,-1.9644302769552744,0.01982840010896325,ok,30.285552338075554,1.1987737722814158,-0.8971131602021125,1.565423300024122
17,1.66657949407796,0.28902203839971335,0.6020506207116973,0.14277929984447713,4,9,4.568886478595567,9.060981445883492,ok,27.43488746107181,-0.18196887473200052,-2.5378567443217244,0.01672170008532703,ok,29.504072294636664,-1.1609203695235468,-0.6574954845092218,1.6614186000078917
18,1.7355304323243126,0.2935251473626891,0.8163141985915743,0.12733846496673804,9,4,3.5864713514904194,1.6101689051657833,ok,27.440989656741472,-0.34589733393188077,-2.393977138061178,0.017708299914374948,ok,29.464070741358487,-1.3168777883311318,-0.45455225483346695,1.5666775999125093
19,1.067519579053534,0.3340875124499607,0.30740028821262455,0.20473359765266458,5,9,1.8072320849589907,9.325869460253701,ok,27.324985408027132,1.410948428650566,-4.650573585897236,0.014472899958491325,ok,29.505447368571424,-0.10691628119128796,-1.8163131199205618,1.5885022999718785
20,1.6407371464147502,0.3005772266735949,0.7821745449363879,0.2018166284913803,6,10,3.4183151413074464,1.8161685938781993,ok,27.499361593051365,-0.24981465916069218,-2.5473588469686828,0.01593030011281371,ok,29.478103658737357,-1.2683292753179054,-0.530365066445925,1.6095378000754863
21,0.8361404483864212,0.3321158704629278,0.573002400943162,0.29631397731781095,6,9,1.2654749099475828,4.200044644614978,ok,28.367131383550262,1.8420703539891576,-5.150285067943166,0.018264900194481015,ok,29.80757903131435,0.18485240996895963,-1.8257180503897665,1.5737752001732588
22,1.4064853357718659,0.12513662876409273,0.8672926965045493,0.19100825337815125,7,10,2.5865268164949486,4.311711367772977,ok,30.08127159817576,0.9542863569147059,2.4146921313573615,0.019965199986472726,ok,30.499482867518914,0.30519400630089955,0.7521483022246369,1.5841330999974161
23,1.3167939382813652,0.2065691274134987,0.35988187424956186,0.22422657452570588,4,4,2.893636502799721,8.746351701210424,ok,28.906705619753406,0.544970143612437,-1.9169042762192898,0.014643300091847777,ok,30.13043101353636,-0.24018944008173074,-0.6369913463090906,1.543018100084737
24,0.9606135019511808,0.16200967111910225,0.5277695650666822,0.1944361109741276,3,7,4.173209522303061,3.380201422846807,ok,29.969444063087973,1.8334198267867334,-0.3199640181128447,0.015494900057092309,ok,30.476833076345812,0.971723300377838,-0.34031966550699067,1.5329082999378443
25,1.4737091636010042,0.3055709209066577,0.4579876559030416,0.28194699285879954,8,8,3.608983828511818,4.821636724632616,ok,27.353255830681174,0.16775662771331065,-3.037947287139936,0.017370799789205194,ok,29.450831892813866,-0.9288332049195382,-0.9750363301415217,1.5599026998970658
26,0.9555912244767238,0.25468521042928094,0.4650353365373976,0.28841233442093644,7,3,3.0646940301214265,3.5235981082672905,ok,28.95257556306243,1.3895036181945206,-3.6483994938315205,0.02295719995163381,ok,30.07978662933194,0.24103695236534287,-1.3529366849027036,1.5411766001489013
27,1.2742410630579681,0.24080217287722705,0.5558355762245347,0.2054375432434346,9,10,3.2401642373402813,6.689329041381115,ok,28.733472087317004,0.4436386057130052,-2.560835230895254,0.016254200134426355,ok,30.070336545201318,-0.48382569749910787,-0.7612419975021347,1.5346670001745224
28,1.1200358395137064,0.13048912841617902,0.6649187896620483,0.1503320012982517,4,6,0.8776943398821495,2.520117166681318,ok,30.19803594331874,1.6495628153168114,2.4079611823761766,0.016475999960675836,ok,30.595899864106432,0.8537733090770472,0.5330775362661485,1.5221094000153244
29,1.6433117989792878,0.24885481116357233,0.5119355034532085,0.11806408407969515,8,5,3.1004492133801773,6.760423337583728,ok,27.952010105693326,-0.08032811474056487,-2.2384582267563813,0.014224299928173423,ok,29.758083263868123,-0.9387775566790996,-0.6359437834779792,1.561073699966073
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,29.336401911989064,1.3035337623181844,-3.216794893460941,0.01772150001488626,ok,30.174699366742832,0.26004006745859914,-1.0301053044598296,1.459801800083369
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,29.40563495741797,0.646472214612137,-1.4735415148025153,0.01918400009162724,ok,30.36553498865385,-0.10425854855473804,-0.36436569846238365,1.4664379002060741
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,28.407584971624665,0.36197600664157437,-3.075199728303623,0.018112400081008673,ok,29.893403568673953,-0.7725578725838699,-0.7716102240176697,1.669861099915579
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,29.443825073883954,1.2004331147051546,-2.7228098693046574,0.015805199975147843,ok,30.25013543062839,0.24966429499754386,-0.8662269107411282,1.4723449000157416
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,27.97449679972957,0.2730649449563374,-3.2365362273042053,0.012966499896720052,ok,29.70396474447723,-0.960501412066008,-0.8102677887597493,1.5949778000358492
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,ok,29.8267130186961,1.1619816226887494,0.5993527357951325,0.01573739992454648,ok,30.478115696492974,0.4461643810157085,0.3189865192169007,1.5958347001578659
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,28.748642959845768,0.02152763233369355,-1.88042757061262,0.01902080001309514,ok,30.03692370019465,-0.7626924873653456,-0.32382976372032074,1.6142754000611603
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,29.325401949935173,0.5510675920609367,-0.3734130158714971,0.014848999911919236,ok,30.25409265251877,-0.08397635584225226,0.05658511777546091,1.6909707998856902
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,28.019515089451644,1.032467349005896,-4.141430547746431,0.015274199889972806,ok,29.746200817970028,-0.3784745927228914,-1.420282420480636,1.4784063999541104
