case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_error,coarse_elapsed_seconds,coarse_total_score,coarse_breakdown_0,coarse_breakdown_1,coarse_breakdown_2,coarse_breakdown_3,coarse_M1_can_fly,coarse_M1_lap_time,coarse_M1_penalty,coarse_M1_penalty_static_margin,coarse_M1_penalty_longitudinal,coarse_M1_penalty_directional,coarse_M1_penalty_spiral,coarse_M2_can_fly,coarse_M2_lap_time,coarse_M2_penalty,coarse_M2_penalty_static_margin,coarse_M2_penalty_longitudinal,coarse_M2_penalty_directional,coarse_M2_penalty_spiral,coarse_M3_can_fly,coarse_M3_lap_time,coarse_M3_penalty,coarse_M3_penalty_static_margin,coarse_M3_penalty_longitudinal,coarse_M3_penalty_directional,coarse_M3_penalty_spiral,full_status,full_error,full_elapsed_seconds,full_total_score,full_breakdown_0,full_breakdown_1,full_breakdown_2,full_breakdown_3,full_M1_can_fly,full_M1_lap_time,full_M1_penalty,full_M1_penalty_static_margin,full_M1_penalty_longitudinal,full_M1_penalty_directional,full_M1_penalty_spiral,full_M2_can_fly,full_M2_lap_time,full_M2_penalty,full_M2_penalty_static_margin,full_M2_penalty_longitudinal,full_M2_penalty_directional,full_M2_penalty_spiral,full_M3_can_fly,full_M3_lap_time,full_M3_penalty,full_M3_penalty_static_margin,full_M3_penalty_longitudinal,full_M3_penalty_directional,full_M3_penalty_spiral
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,,0.7675390000222251,4.585662759498498,0.2903225806451613,1.0,1.086573733594058,2.208766445259279,True,35.835904900970995,0.0,0.0,0.0,0.0,0.0,True,38.92247298755784,0.0,0.0,0.0,0.0,0.0,True,48.422584748585365,0.0,0.0,0.0,0.0,0.0,ok,,7.786699799937196,-4.856592710809504,0.2903225806451613,1.0,1.086573733594058,2.208766445259279,False,35.521370526750445,3.1560920919051325,0.0,0.0,7.707280612700883,10.0,False,38.71991663406469,3.206452546500218,0.0,0.0,8.043016976668119,10.0,False,49.93416601714824,3.079710831902651,0.0,0.0,7.198072212684343,10.0
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,,0.7556108999997377,4.590512188786162,0.2727272727272727,1.0,1.0659937694736075,2.2517911465852825,True,34.27598156552716,0.0,0.0,0.0,0.0,0.0,True,35.5767838630199,0.0,0.0,0.0,0.0,0.0,True,54.38697148003253,0.0,0.0,0.0,0.0,0.0,ok,,8.351174400071613,1.9628639009223243,0.2727272727272727,1.0,1.0659937694736075,2.2517911465852825,False,34.003626891362664,0.2944232252080788,0.0,0.0,1.9628215013871921,0.0,False,35.39461678083979,0.333225062655759,0.0,0.0,2.22150041770506,0.0,False,59.37755219848332,2.0,0.0,0.0,0.0,10.0
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,,0.24322529998607934,4.459101864437562,0.3,1.0,1.159101864437562,2.0,True,31.18072919166989,0.0,0.0,0.0,0.0,0.0,True,31.89683271282393,0.0,0.0,0.0,0.0,0.0,True,1000000.0,0.0,0.0,0.0,0.0,0.0,ok,,7.681513500050642,4.459101864437562,0.3,1.0,1.159101864437562,2.0,True,30.097295364782916,0.0,0.0,0.0,0.0,0.0,True,30.802948004778628,0.0,0.0,0.0,0.0,0.0,False,inf,0.0,nan,nan,nan,nan
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,,0.956415900029242,4.527517498796516,0.23684210526315788,1.0,1.1864542196449244,2.1042211738884333,True,35.68064021195946,0.0,0.0,0.0,0.0,0.0,True,41.405750159432586,0.0,0.0,0.0,0.0,0.0,True,38.6224405884681,0.0,0.0,0.0,0.0,0.0,ok,,9.22482130001299,-5.972482501203484,0.23684210526315788,1.0,1.1864542196449244,2.1042211738884333,False,35.25031892695406,3.5,0.0,0.0,10.0,10.0,False,41.14048259646934,3.5,0.0,0.0,10.0,10.0,False,38.28018835918223,3.5,0.0,0.0,10.0,10.0
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,,1.0361864001024514,4.754749911846257,0.4186046511627907,1.0,1.0215741916503422,2.3145710690331236,True,32.696625160238064,0.0,0.0,0.0,0.0,0.0,True,33.43083828190011,0.0,0.0,0.0,0.0,0.0,True,55.64583811621738,0.0,0.0,0.0,0.0,0.0,ok,,9.304599600029178,4.753557796913661,0.4186046511627907,1.0,1.020382076717746,2.3145710690331236,True,31.539009024618856,0.0,0.0,0.0,0.0,0.0,True,32.27510019455927,0.0,0.0,0.0,0.0,0.0,True,57.524117168639705,0.0,0.0,0.0,0.0,0.0
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,error,"PayloadPlacementError: No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=0.6688 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1292 m puts the fuselage back at x=0.6669 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1822 m puts the fuselage back at x=0.3852 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2352 m puts the fuselage back at x=0.3367 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2882 m puts the fuselage back at x=0.3366 m, at or behind the permitted tail-front limit x=0.3306 m",nan,,,,,,,,,,,,,,,,,,,,,,,,,,,error,"PayloadPlacementError: No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=0.6688 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1292 m puts the fuselage back at x=0.6669 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.1822 m puts the fuselage back at x=0.3852 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2352 m puts the fuselage back at x=0.3367 m, at or behind the permitted tail-front limit x=0.3306 m; width 0.2882 m puts the fuselage back at x=0.3366 m, at or behind the permitted tail-front limit x=0.3306 m",nan,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,,0.33477389998734,4.833946336738642,0.24324324324324326,1.0,1.4039105749097003,2.186792518585699,True,31.140739835625496,0.0,0.0,0.0,0.0,0.0,True,33.91791007384471,0.0,0.0,0.0,0.0,0.0,True,35.64405537437387,0.0,0.0,0.0,0.0,0.0,ok,,9.181813700008206,4.7928181646689625,0.24324324324324326,1.0,1.4448160634400795,2.186792518585699,False,30.324312095005748,0.016765412994219787,0.0,0.0,0.11176941996146525,0.0,False,33.18396429461083,0.0652682476058397,0.0,0.0,0.43512165070559805,0.0,True,35.11268664491427,0.0,0.0,0.0,0.0,0.0
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,,0.3048633999424055,4.904447785873185,0.2727272727272727,1.0,1.3397866932077822,2.2919338199381305,True,32.52923709347,0.0,0.0,0.0,0.0,0.0,True,35.403572123118536,0.0,0.0,0.0,0.0,0.0,True,53.15089811918418,0.0,0.0,0.0,0.0,0.0,ok,,8.582213599933311,1.971573470111068,0.2727272727272727,1.0,1.3397866932077822,2.2919338199381305,False,31.958738279835806,0.9919386501573333,0.0,0.0,6.612924334382222,0.0,False,35.070243365540726,1.0855424237668638,0.0,0.0,7.236949491779092,0.0,False,56.40476382605074,0.8553932418379203,0.0,0.0,5.702621612252802,0.0
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,,0.30743200005963445,4.917178387678918,0.2857142857142857,1.0,1.3160041183941482,2.3154599835704848,True,32.44582981208411,0.0,0.0,0.0,0.0,0.0,True,35.209807646143226,0.0,0.0,0.0,0.0,0.0,True,46.79090893278371,0.0,0.0,0.0,0.0,0.0,ok,,8.341588399955072,-2.797670886104278,0.2857142857142857,1.0,1.3160041183941482,2.3154599835704848,False,31.018327312161578,2.637121304424982,0.0,0.0,4.247475362833214,10.0,False,33.719232511339456,2.6833642735166174,0.0,0.0,4.555761823444117,10.0,False,46.18217454011149,2.3943636958415966,0.0,0.0,2.629091305610643,10.0
39,0.9854490663268253,0.24435446015817283,0.5880971411727625,0.12551307755084729,9,10,1.8164064648352531,5.113746591310805,ok,,0.41043249994982034,4.769202202976076,0.21951219512195122,1.0,1.3143537244444743,2.2353362834096506,True,34.64850265506915,0.0,0.0,0.0,0.0,0.0,True,40.4379907044287,0.0,0.0,0.0,0.0,0.0,True,52.29779897514416,0.0,0.0,0.0,0.0,0.0,ok,,10.594820099999197,-5.129413139134404,0.21951219512195122,1.0,1.3143537244444743,2.2353362834096506,False,33.78464521234741,3.3243643659242776,0.0,0.0,8.829095772828516,10.0,False,39.1136756241506,3.3897944855673705,0.0,0.0,9.265296570449136,10.0,False,53.80699451605834,3.1844564906188317,0.0,0.0,7.896376604125544,10.0
