generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
13,1,7680,502.5985701999889,15.280584656148251,3250.1374206265946,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
14,1,8192,518.9217762999906,15.786579739263388,3113.5306577999436,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
15,1,8704,530.5359407999931,16.406051561512065,2964.7596691764325,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
16,1,9216,549.6604611999937,16.7667144547382,2870.4490751555227,0.0,-5.208075066267018,5.208075066267018,1.5850676976889373,0.3745815436169505,0.5048294881358742,0.1449271910637617,0.0,0.5437463607139885,0.05766905970005317,3.2409342897289832,2.5944598363991105,2.8239487415632682,10.0552369793877,7.882433577639182,10.072416961193085,7.8247902940941625,491.73533716239035,2562.139630317688
17,1,9728,563.7618606999895,17.255512793861797,2759.4659497420535,0.0,-5.390646197312672,5.390646197312672,1.7027517782360315,0.37363340969493203,0.4488036504015327,0.15480742555006902,0.0,0.2744067807052284,0.07082563709275803,4.612437675171783,3.354844993965827,2.89132634430541,14.621684346348047,8.500401514845594,13.322352534160018,9.23287512092637,482.72549295890775,2655.0718876887104
18,1,10240,588.5930683999904,17.39741860677367,2707.5281146399557,0.0,-5.390646197312672,5.390646197312672,1.7027517782360315,0.37363340969493203,0.4488036504015327,0.15480742555006902,0.0,0.2744067807052284,0.07082563709275803,4.612437675171783,3.354844993965827,2.89132634430541,14.621684346348047,8.500401514845594,13.322352534160018,9.23287512092637,482.72549295890775,2655.0718876887104
19,1,10752,618.7180460999953,17.37786713636973,2681.1115330999796,0.0,-5.390646197312672,5.390646197312672,1.7027517782360315,0.37363340969493203,0.4488036504015327,0.15480742555006902,0.0,0.2744067807052284,0.07082563709275803,4.612437675171783,3.354844993965827,2.89132634430541,14.621684346348047,8.500401514845594,13.322352534160018,9.23287512092637,482.72549295890775,2655.0718876887104
20,1,11264,643.3036812999926,17.50961533009982,2631.6968780454245,0.0,-5.390646197312672,5.390646197312672,1.7027517782360315,0.37363340969493203,0.4488036504015327,0.15480742555006902,0.0,0.2744067807052284,0.07082563709275803,4.612437675171783,3.354844993965827,2.89132634430541,14.621684346348047,8.500401514845594,13.322352534160018,9.23287512092637,482.72549295890775,2655.0718876887104
21,2,12288,770.0814448000019,15.956753773221116,2823.631964266674,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
22,2,12800,788.6245367999945,16.230790956541398,2744.413388063981,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
