case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,wing_area,aspect_ratio,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_CL,coarse_CD,coarse_Cm,coarse_L,coarse_D,coarse_m_b,coarse_wing_L,coarse_tail_L,coarse_wing_D,coarse_tail_D,coarse_body_D,coarse_wing_m_b,coarse_tail_m_b,coarse_body_m_b,full_CL,full_CD,full_Cm,full_L,full_D,full_m_b,full_D_induced,full_D_profile,full_wing_L,full_tail_L,full_wing_D,full_tail_D,full_body_D,full_wing_m_b,full_tail_m_b,full_body_m_b
10,1.2948041585198693,0.1377477595615419,0.6509154794523571,0.2288867041947248,5,9,1.1614951040259711,1.337931268022018,0.17835637190707954,9.399820096103898,30.50267938269267,0.3444922206664826,0.4475037313163962,0.2720895249100599,0.019622918525999823,0.01144776488361977,27.65556429913688,1.9945012040132677,0.16027875017939006,27.170846609540042,0.4847176895968424,1.1340811318166844,0.1491231303758368,0.7112969418207464,0.5873355403396672,-0.2864101505750091,-0.140646639585268,0.2724405985106718,0.02066891593678484,8.688074947255705e-12,27.691228835405383,2.100816413244103,1.2164058649233311e-10,0.32813698536742764,1.772679427876675,27.136004214541966,0.7266079927819732,0.884196889244959,0.19715344399117835,0.6913290946405379,0.5781214739166112,-0.41837177615495647,-0.15974969764001412
11,1.4888388083746371,0.2926245928356815,0.4105842354752078,0.1475928417402815,6,3,4.595336357124165,1.95408647401096,0.4356708500985894,5.0878799828374985,29.53531603854416,-0.8572778120789765,-0.993507790949859,0.11634274994225816,0.0153396198206311,0.003952643983713217,27.082401083766538,3.5707746005746768,0.26924420349072337,35.8514892556446,-8.769088171878062,1.8954237953390434,1.008454661047694,0.666896144187939,-2.9349630147998726,3.3988334004112417,-0.19462618212064567,0.11895828310066231,0.013998734833042668,1.747550336370063e-13,27.691228863020502,3.258639583142768,1.190386678118216e-11,0.25632664920400783,3.00231293393876,36.30139074220021,-8.259695171255162,1.554293394822408,0.789149770149595,0.6588697689667569,-2.9044264080716053,3.103705625623977,-0.19927921754046773
12,1.5381951434269334,0.1549543544455761,0.8399480053984831,0.2542095398816081,7,5,3.0155674219564554,7.021063339834435,0.2383500354610408,9.926762942097163,30.30536032820709,-0.2166511685433119,0.2271028957307248,0.21966248447699538,0.016442205027131635,0.002979543882108509,29.452089358343777,2.20455164595029,0.06190329825603398,29.46517289384157,-0.013083535497788054,1.3293782616853411,0.17304930720721953,0.7021240770577294,0.23230118332554528,0.010224600946187875,-0.18062248601569916,0.20652960296655906,0.017450142437998348,1.2052304679040265e-13,27.69122886306241,2.339693104537133,2.503997009739578e-12,0.23645799688720773,2.103235107649925,27.870670539207012,-0.012496003059699454,1.0935274545781692,0.22005931789389974,0.7896483351778563,0.18229647204377608,0.025936054912075682,-0.20823252695334776
13,1.6000570498768356,0.343154712441707,0.8452300849333112,0.2453333103288084,5,2,4.82206397139591,8.610010947607975,0.5490671168408116,4.6627861773824355,29.26552488532397,-1.4083496287784685,-0.5262036689290591,0.08671221318547986,0.011862129425802384,0.002542707772982319,24.976089065953,3.4166997954137472,0.2513220429744714,31.660609955796136,-6.684520889843133,2.0557224878983966,0.7062090799721303,0.6547682275432202,-4.878805059891112,5.438218830569684,-0.30809172770410026,0.0961387264654115,0.012413806461130328,5.738616472784285e-13,27.691228860397505,3.575599223976779,5.672062819428447e-11,0.22531350225482666,3.3502857217219515,34.46258858748401,-6.493425066120976,1.9224558587434264,0.5868432418147461,0.8409866211637792,-4.942174588964111,5.231970183330556,-0.28979559430972385
14,1.0546321714288351,0.3075803415069806,0.8926310493002316,0.2290053432738616,9,8,1.4361366916857512,3.20685065224166,0.32438412345232964,3.4288022643505,29.90582290703886,-0.5966614570536265,-0.9097323720761558,0.1506513455736517,0.014763369341735829,-0.002988639006807541,26.770113505565604,2.6233889348810258,-0.16334627412735042,29.381161739979675,-2.6110482344140706,1.6080806671300252,0.3315753703004735,0.6837328974505271,-2.153595474695883,2.211269839965917,-0.22102063939738434,0.15583511674515213,0.015864915124651997,1.437243514156328e-13,27.6912288630474,2.819127067026934,7.85535525515968e-12,0.4919974620388194,2.327129604988114,30.796021365811836,-2.894184290899472,1.151662202141868,0.3409420229318048,0.8345253799144413,-2.2369950742527793,2.4550205847711437,-0.21802551051050895
15,0.8639517599292535,0.2059526159865632,0.7754225936198919,0.1727251360528729,8,4,1.0844289085002328,7.626207413337567,0.177933125043625,4.19490549217214,30.300407044369518,0.9298245305604732,-1.136009632107128,0.2848514762339989,0.02211182502982322,-0.003853915418239747,28.50219449238611,2.212505779903028,-0.07941989643987006,28.556889378851675,-0.054694886465570164,1.3694116368368994,0.14119956571324851,0.7018945773528801,-0.02660281380865032,0.03925706027532346,-0.0920741429065432,0.2767468609406525,0.023442704413505808,1.1634269342956624e-13,27.691228863031018,2.3456717480961293,2.3975404994658334e-12,0.7183680018035423,1.6273037462925872,27.92610446152354,-0.1094268602864442,0.725857148993151,0.19494315367993065,0.7065034436195056,0.0004960386836021513,0.0879494180315048,-0.08844545671270941
16,0.8479207647816376,0.1872142268705546,0.3885325963029985,0.2916781758004612,5,3,4.318943064317676,3.2794050722878896,0.15874283042608367,4.529147057653448,30.285552338075554,1.1987737722814158,-0.8971131602021125,0.3157500879003536,0.025006158160891696,-0.0030612142063581186,28.15883545126088,2.2300683987235246,-0.05110975259977394,27.61861976652442,0.5402156847364612,1.2951392219791422,0.2337226351668517,0.7012065415775309,0.22757515262533964,-0.18199659120653944,-0.09668831401857414,0.3105069450619293,0.026503447947729474,2.7051920063098046e-13,27.691228863024474,2.363596223696244,4.5165607365227345e-12,0.7484239769173399,1.6151722467789043,27.354354598821025,0.6171385755545742,0.6794199452582703,0.2749911203615895,0.6607611811590444,0.24679163678526383,-0.19188667794740985,-0.05490495883333743
17,1.66657949407796,0.2890220383997133,0.6020506207116973,0.1427792998444771,4,9,4.568886478595567,9.060981445883492,0.4816782025335749,5.76627133109173,29.504072294636664,-1.1609203695235468,-0.6574954845092218,0.10622120090754755,0.013256092404300727,0.0027413575061037915,27.279613995547294,3.4044153218845343,0.2034808999844076,33.829025471512686,-6.549411475965391,1.964313686371045,0.7746156886313599,0.665485946882129,-3.2976226691374206,3.7414534447277217,-0.24034987560589374,0.10782401876171532,0.012831924179695827,1.0725041158425635e-13,27.69122886302089,3.295478626132001,7.960798686923454e-12,0.20605529034538528,3.0894233357866154,34.30138893388201,-6.318855701058624,1.7541262959249244,0.6374915514817248,0.6978054883799667,-3.3176718748137897,3.562468535391492,-0.2447966605697414
18,1.7355304323243126,0.2935251473626891,0.8163141985915743,0.127338464966738,9,4,3.5864713514904194,1.6101689051657833,0.5094218259004254,5.912714627410903,29.464070741358487,-1.3168777883311318,-0.4545522548334669,0.10056993862605136,0.012144929741157325,0.0008520081318605806,27.241895546869483,3.2897594644347707,0.06774202782486365,32.34995927225736,-5.108063725387878,2.011190616848138,0.6148862060453661,0.6636826415412662,-3.6325246628652605,3.984964314714366,-0.2846976240242414,0.10222882990387526,0.012339986110237098,-1.3633333274871422e-12,27.691228861895148,3.3425930811541975,-1.0839673603157962e-10,0.19073444482215052,3.1518586363320473,33.038370507270606,-5.086733340925574,1.8641508420748667,0.5324697170521404,0.7552380772050404,-3.6791862622193547,3.9486093169786316,-0.2694230548676736
19,1.067519579053534,0.3340875124499607,0.3074002882126245,0.2047335976526645,5,9,1.807232084958991,9.3258694602537,0.3566449606576243,3.1953291855331645,29.505447368571424,-0.1069162811912879,-1.8163131199205615,0.14174864559080674,0.019753534847187292,0.003726302821352519,26.95662459726149,3.756569391722541,0.23674727063299292,37.70343730532185,-10.74681270806036,1.9529609826936722,1.1380604291029701,0.6655479799258985,-2.73877987844268,3.1281675166892864,-0.1526403676136136,0.14561158711309025,0.01732042653799587,3.3571140755577507e-13,27.69122886302484,3.293858028594589,2.1329105148737426e-11,0.49242633637272615,2.8014316922218625,38.278414944162236,-10.127987433712002,1.1961463845431375,0.8754467407256432,0.7298385669530817,-2.6994021771073173,2.7893534490275433,-0.08995127189889707
20,1.6407371464147502,0.3005772266735949,0.7821745449363879,0.2018166284913803,6,10,3.4183151413074464,1.8161685938781995,0.4931682211696936,5.458620949339159,29.47810365873736,-1.2683292753179054,-0.530365066445925,0.10213373609570812,0.012384023196844032,0.001232577513823361,26.8083126031622,3.25058866773168,0.0972457373707183,32.15375321300729,-5.3454406098450935,1.9618923184615253,0.624381370017384,0.664314979252771,-3.612657678159927,3.991665880880026,-0.2817624653493809,0.10549752425633675,0.012671604364050846,7.574946749574033e-12,27.691228857375485,3.3260713832720437,5.976344419345025e-10,0.21247799030560477,3.1135933929664388,33.25843031626128,-5.298918374722142,1.787790703133644,0.5381284820154808,0.7876742078173142,-3.657371839011274,3.931169772104739,-0.27379793249583023
21,0.8361404483864212,0.3321158704629278,0.573002400943162,0.2963139773178109,6,9,1.2654749099475828,4.200044644614978,0.277695512845119,2.5176166595741014,29.80757903131435,0.1848524099689596,-1.8257180503897663,0.18426794172289176,0.019371677490721308,0.0002742465394235359,27.8469829099112,2.927491168440247,0.013764459075854567,31.64244841116245,-3.795465501251249,1.7964246214704607,0.4518185443453477,0.6792480026244387,-1.8720088915341615,2.0271018776092626,-0.14132852699924656,0.18323741853615216,0.019428956759638318,2.6119105916010397e-13,27.691228863047623,2.93614531627585,1.3109194285654269e-11,0.7823772854717361,2.1537680308041147,31.90347491725997,-3.938681819789718,0.9444577454418549,0.42926896333729503,0.7800413220249647,-1.9848600770916796,2.0857686974596996,-0.10090862035491072
22,1.406485335771866,0.1251366287640927,0.8672926965045493,0.1910082533781512,7,10,2.5865268164949486,4.311711367772977,0.1760028333246243,11.239597467687652,30.499482867518918,0.3051940063008995,0.7521483022246369,0.27241928370845286,0.019291865991898083,0.019293772742631547,27.31797796802314,1.9345721894370211,0.24210976893248132,26.89104888131051,0.4269290867126302,1.1143478203852495,0.10907649953413916,0.7111478695176324,0.7190953095773375,-0.34312006330365263,-0.1338654773412035,0.2761415921339012,0.020988394278655686,1.1904611175095386e-13,27.69122886301916,2.1046971770761536,1.4938605907843794e-12,0.2819091749039729,1.8227880021721807,27.13199049350385,0.6869179430024471,0.9202103774698559,0.15680918658624654,0.7457684381160784,0.708496452672323,-0.5442224483818459,-0.16427400428898323
