rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
30,11,1000000.0,-1000000.0,True,1.439651266500623,0.1723850973589125,0.8673706820768081,0.18390749964675546,139.0,7.0,1.421746967413294,2.026991465823423,21.030252815439752,9.72948994748215,290.812757933197,2818.8570046651757,0.8267660923302174,0.6027654530480504,7
31,10,1000000.0,-1000000.0,True,1.2101459582671523,0.22372036712563573,0.5685370821489901,0.15476260037235656,148.0,27.0,3.0246140484780804,4.197976905703924,20.9853474554071,14.514661993256986,272.34785425043657,1506.012417649813,0.9332730602518458,0.7705215017650029,6
32,8,1000000.0,-1000000.0,True,1.4546755119842047,0.2903360360971233,0.5599529309861568,0.18772012552201361,85.0,18.0,2.5214919840847747,3.506578449524138,21.4793026016712,10.741568819951851,210.95388428831836,1052.0901926644492,0.6618721798539691,0.9827317538055416,6
33,59,1000000.0,-1000000.0,True,1.454152720551747,0.1678592871405531,0.3354745230873209,0.21851723426952957,135.0,27.0,1.793533329450246,3.8836036914273913,21.177489791962458,9.167577097192407,345.9812578378316,1385.9439734369516,0.8248213004713606,0.5342865258286805,6
34,56,1000000.0,-1000000.0,True,1.2658727336172015,0.15594657227396963,0.3572570426389574,0.17064398953691126,123.0,31.0,2.9343625376932323,3.6080224830657244,12.587470011785626,6.371038698591292,351.9902404397726,1582.7799029648304,0.8694049529731274,0.7656215033493936,7
35,58,1000000.0,-1000000.0,True,1.4691499632442626,0.3267846082119875,0.44719925666553306,0.10156212968751789,122.0,25.0,4.609005538080652,3.5660177156585027,23.581628470720503,17.862026277929544,493.4012383776547,1461.9700783480635,0.7514408716442964,0.593157316783125,6
36,57,1000000.0,-1000000.0,True,1.498220802755199,0.2260829200300178,0.6700285474852574,0.2534103740678658,85.0,14.0,3.9474184835616892,1.8787942448439456,22.023614551944696,14.22443267609924,272.792307637894,1825.0498867569545,0.8594271481856567,0.6230948497787814,8
37,54,1000000.0,-1000000.0,True,1.095552200272123,0.20388368477548993,0.6397668652117998,0.2619196712023667,93.0,17.0,1.358423116387378,2.360334756331496,21.715677179345917,8.844882595376609,252.28838204565363,1050.103692081556,0.9791255416305906,0.6359641616249676,6
38,53,1000000.0,-1000000.0,True,1.306928538232376,0.22467144775415046,0.6333745010197163,0.19396295665184599,103.0,12.0,1.808591763023287,1.1604665000922978,23.916421770118177,10.20392591764642,282.0640196487763,2450.012780725956,0.9926981093162819,0.6519673340405279,6
39,55,1000000.0,-1000000.0,True,1.1115288203484426,0.3577396452426911,0.7881382897501977,0.26340687224220233,104.0,32.0,1.832086308242343,3.491522483308347,22.72316041901353,12.332314462507624,348.13421001883427,2336.517020639628,0.7820054995308313,0.5988156008534133,8
40,52,1000000.0,-1000000.0,True,1.1682893230935667,0.1488861026375422,0.3521223534452693,0.27320805601596687,143.0,19.0,2.6779135296653407,2.8464657027362836,18.85276900624757,10.54024514816104,310.74027716990395,1187.3331785355113,0.7416053363122046,0.6851546938793194,7
41,63,1000000.0,-1000000.0,True,1.2839299815138587,0.32363646160791826,0.5674592691707556,0.21588866441909668,108.0,5.0,4.741016529609251,3.6959006781024053,10.069104387457001,6.437719543618432,272.3142843159426,1949.2694902815424,0.6154350245995135,0.5119266138732518,6
42,43,1000000.0,-1000000.0,True,1.1035938577521152,0.18332228117993188,0.7503776552555514,0.18839338053579152,98.0,10.0,4.615531336562476,3.8870501175155536,21.287822227350194,9.285983294882845,468.9020300284028,2368.869527651469,0.807535846831726,0.9403817774727941,6
43,46,1000000.0,-1000000.0,True,1.0646793733365127,0.25534290336072446,0.3591107002295576,0.21141560821092853,131.0,27.0,3.491785427899968,1.9570329124107957,16.65054066106677,11.54868502609337,423.0846853926778,2323.478797775823,0.8157550478036563,0.7829399170304379,6
44,44,1000000.0,-1000000.0,True,1.4899522602520885,0.18996989954262972,0.6135022882372141,0.09456297621130945,138.0,4.0,0.5170448054559529,2.869511768221855,23.577493424527347,14.652454727329314,249.99180175364017,1561.2914022058249,0.599836615845561,0.7759248809888959,7
45,49,1000000.0,-1000000.0,True,1.386851042518383,0.27990854228968226,0.47031135745164354,0.22794437610431573,140.0,35.0,4.698696737497151,3.463105629714851,19.17101716595788,10.29022862110358,261.617170175511,2101.457126285361,0.5210146783623788,0.9999884684344773,7
46,51,1000000.0,-1000000.0,True,1.4491481123714882,0.21746280996288164,0.3806661279872059,0.2980294815989073,120.0,23.0,3.548019068614458,2.2059072338466787,23.324973225685113,11.86014552489752,417.20103508056934,2075.2477220304877,0.7612049975438491,0.9356448587708888,6
47,38,1000000.0,-1000000.0,True,1.0052076962273568,0.16991130720824005,0.47425086759030816,0.20719181103382756,144.0,47.0,1.1392866526730359,2.454359344236715,23.582313467114936,10.499179760797709,324.4843543507159,1647.589482182264,0.8860876155820026,0.6933781401278296,7
48,40,1000000.0,-1000000.0,True,1.2230400577802212,0.3341965551608612,0.5883923193603512,0.12111379357855384,89.0,13.0,4.386028064953797,2.6798913593228617,17.739308949836143,10.056798434903678,453.09336611942257,2224.735004708555,0.8468737397144993,0.7863356152766333,8
49,60,1000000.0,-1000000.0,True,1.2181614810403225,0.13342182104394987,0.35847247567184326,0.20434430863879197,134.0,15.0,4.9899157312431175,3.4618412085195986,19.937828886965214,12.393933553974138,274.2025917011991,2903.782261840486,0.9052252481916034,0.7882396295288581,7
50,24,inf,-inf,False,1.2925734700504692,0.226757047213614,0.7923278532922268,0.2701453030668199,135.0,9.0,1.588621936738491,1.8086920040659606,17.950974819250405,6.1003772066906095,459.977865498513,2472.291935235262,0.9262109082192183,0.6603669724427164,7
51,18,inf,-inf,False,1.0880990444645287,0.24660935040563345,0.369335626065731,0.2870719176530838,113.0,41.0,0.9444157481193542,1.096409727819264,20.752093982882798,13.33091973979026,384.33194626122713,1829.6989314258099,0.6209227219223976,0.9140726155601442,7
52,3,inf,-inf,False,1.4635484357327224,0.267927053719759,0.7124334057793021,0.2522696714289486,59.0,32.0,0.8803212204948068,2.6215466521680355,11.623050579801202,7.0752057954669,328.2966973260045,2039.358476176858,0.5416627321392298,0.9644350213930011,7
53,7,inf,-inf,False,0.9456497266218227,0.28817781903740464,0.5757522454485297,0.12234038485214115,18.0,25.0,1.8888337966054678,2.0770425771412517,17.21050896920205,10.55881304844172,323.6258016145092,1258.432362686177,0.9607057026883872,0.62363896894734,7
54,4,inf,-inf,False,1.2717530224986022,0.21716288692014074,0.8252063136526238,0.19195234376389272,56.0,22.0,3.718306541258284,4.497391162440181,22.625545508970532,16.74676551669836,313.2392095452458,1792.0601824084424,0.9494480658322573,0.781613876046789,7
55,9,inf,-inf,False,1.0315178535748273,0.2834026598185301,0.45310854567545206,0.27994316872037245,37.0,20.0,4.898320840308556,2.818251557241955,21.572297453948455,11.509321516280554,313.95583608597735,2645.9637003783528,0.796411588992648,0.8368399343767599,7
56,14,inf,-inf,False,1.2219182577169616,0.204145414505744,0.7980364892517147,0.10759730254449035,74.0,43.0,1.7464856670104543,2.9260754090150476,18.227398755506556,9.573167666219765,373.10139268388684,1850.1362292594372,0.9522481237590468,0.5683990778216815,7
57,2,inf,-inf,False,1.441462933865248,0.12037860600668934,0.7710504328743373,0.2074733085404841,26.0,10.0,2.3304963204065605,2.783552124420298,14.052715726153385,9.885234634391963,237.28535566478968,2991.932664066553,0.9580505726645243,0.6948495918194657,6
58,20,inf,-inf,False,1.2984339393111104,0.18449608637413967,0.7166271144524217,0.2817039270415262,14.0,21.0,1.126036947904031,1.4555109268985689,18.48825211636722,12.820735462703714,334.6479419932166,2904.031267389655,0.8789885157955005,0.5656767538067368,7
59,41,inf,-inf,False,1.0572109049428255,0.19009175174269421,0.4953803536638156,0.15045284472405912,91.0,42.0,3.141627205239531,3.013668201421523,22.512913358348595,9.814489892373034,393.35385548466354,1816.9448808806371,0.7598690952084799,0.8714958606287837,7
60,33,inf,-inf,False,0.9791887549553068,0.2624475521594286,0.3458708921447396,0.09042063796892763,78.0,37.0,3.8918564221821725,1.8444248721934855,12.230663737282157,14.762428239919245,394.4050590507686,2412.9306618124247,0.5772004872560501,0.7019306914880872,7
61,45,inf,-inf,False,1.0953730983249843,0.3220650796219707,0.5633771158754826,0.22505313213914632,70.0,49.0,4.370956787373871,1.5428245295770466,12.899933462031186,5.878659843467176,440.19025657325983,2961.7211148142815,0.9396345079876482,0.5887597831897438,6
62,42,inf,-inf,False,1.1832893151566386,0.14529301203787326,0.3974605148658156,0.212069326415658,44.0,33.0,1.4952113297767937,3.3909648270346224,21.30260845646262,16.31196233537048,203.69973070919514,2737.2052036225796,0.5358665571548045,0.6275506871752441,6
63,50,inf,-inf,False,1.0768797174617648,0.20529504952402805,0.7013051362356698,0.1836444309353301,99.0,20.0,3.550172046273573,2.334432216047607,11.646604062989354,10.898953346491629,353.83078296840984,1288.818959288903,0.9133612557651698,0.5037023848854005,7
64,62,inf,-inf,False,0.9595594900529832,0.1287734257802367,0.7224103029817343,0.27262893931940196,75.0,8.0,3.630627754610032,3.086569443810731,10.671529457904398,11.203605770133436,397.10419587790966,2649.3016313761473,0.8054386493749917,0.6483754767104983,6
