case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_tail_profile,coarse_CD_wing_induced,coarse_CD_tail_induced,coarse_CD_interaction,coarse_CD_body,coarse_D_wing_profile,coarse_D_tail_profile,coarse_D_wing_induced,coarse_D_tail_induced,coarse_D_interaction,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body,error
30,0.9461267663216743,0.2398343713140414,0.864835857024288,0.2401204945654083,8,5,1.3332771393522922,8.959869142285925,ok,30.174699362710825,0.2600400686085087,-1.0301053053888394,30.142124530672604,0.1875492883271626,-1.2662635728425606,0.020416941391968563,2.5837080061303426,0.007102995295138268,0.0017873604380075148,0.005246033235269726,3.0669630374293306e-05,-0.0003199403983333262,0.006569823191512088,0.8988645977489104,0.2261855674100748,0.6638711357482808,0.0038811577122071393,-0.040487581013653656,0.8313931285245234,0.019732632777065082,2.497108904716835,1.8942592400659986,0.6028496646508364,0.8611720436828885,0.23389609634525255,0.7991911000378575,
31,1.2545844279627967,0.19096651986140695,0.6165021678371154,0.1097527321150227,10,3,2.0375061654571844,8.666109366889383,ok,30.365534976999523,-0.1042585465277269,-0.36436569956370113,30.345741391620457,-0.22016625346927737,-0.4353169091560561,0.017235994089667812,2.332176579408541,0.007715995092958892,0.002122591038746534,0.0028238817216034097,1.4848443706885965e-05,-0.0001722350403923463,0.004730912833044435,1.044039754772089,0.28720461857169965,0.3820952119083878,0.002009120708310303,-0.023304865693665116,0.6401327391417193,0.016754258409911245,2.266992083020289,1.9216406911074067,0.34535139191288217,1.0017777800303256,0.28941544249090295,0.6304474685861781,
32,1.230085529233759,0.2869654274523763,0.7639118956597089,0.22573166668948969,10,1,4.024296237857154,1.0485969502558046,ok,29.893403567715943,-0.7725578723616465,-0.7716102241803957,29.878398203830542,-0.7271079842307246,-0.8894348977450959,0.014697684198837433,2.839687974867814,0.00667645698852374,0.002080895152904276,0.0022104212599140596,0.00021046527566836412,-0.0006289306403883499,0.004148376162215342,1.289934820244177,0.40204244850562215,0.4270677330015441,0.04066325717421299,-0.12151348146927653,0.8014931974115345,0.014667937349045144,2.8339387376445817,2.4696002127122547,0.36433852493232777,1.2841483132839977,0.39968672722667664,0.7857651722015802,
33,0.9940411955577518,0.22254871674677842,0.8408493694914241,0.2078805172395075,9,8,0.5754702240322056,7.856666131593483,ok,30.25013543095168,0.24966429483496994,-0.866226910424538,30.219770112283825,0.16768864533157785,-1.0796313683254515,0.020075810097530004,2.4892200822610024,0.007295644355547539,0.0017711670538118876,0.004787576408192657,1.8397578112807826e-05,-0.0002314606989319404,0.006434485400797057,0.9045943528374681,0.2196088017354795,0.5936164609416379,0.0022811343941234585,-0.028699047123704382,0.7978183794759982,0.0194070679313961,2.406300403818166,1.8607196044375216,0.5455807993806443,0.8655140885046677,0.2274548907985446,0.7677506251343091,
34,1.2706060014709135,0.31621409653749016,0.7295555332605732,0.25922909011731426,6,2,2.5525224573708445,7.987760169229734,ok,29.70396474456985,-0.9605014121254223,-0.8102677887620101,29.703836058790266,-0.8649633254644205,-0.8702146561833469,0.013926210434529948,3.0238484181573666,0.0064633517924472805,0.002238140866981641,0.0019199048237831004,0.00032284982480003843,-0.0007767000442761418,0.003758663170794029,1.403410941222501,0.4859756178504297,0.41687587529300313,0.07010154963645934,-0.1686476885659987,0.816132122720972,0.014088972587203962,3.059187444791267,2.714054710174577,0.3451327346166895,1.426636841332921,0.4820485658937963,0.8053693029478598,
35,1.1654204499007186,0.1499779632907666,0.33060884565157245,0.19143847088436938,6,10,1.045545984610042,8.923822561057285,ok,30.47811569657831,0.4461643809970348,0.3189865192292253,30.48160220397452,0.40311889193163,0.46919087227265466,0.021405831318597274,2.1287492331976314,0.008454453717180803,0.003183192367345136,0.003610163880901356,6.37564597506212e-05,0.0004835341179213438,0.0056107307754980126,0.8407714514650707,0.31655945570398697,0.35902056214512645,0.00634039915504783,0.0480860970746641,0.5579712676537352,0.021424749261128112,2.1306291007885454,1.7297870613184094,0.4008420394701359,0.8283616137779011,0.3169074814638738,0.5845179660766348,
36,1.519635316452548,0.22139329477384545,0.8049213613766208,0.17057267336841375,8,9,0.9876749230926334,2.022821036784549,ok,30.036923700383262,-0.7626924876320057,-0.32382976345593495,30.009295036790178,-0.8498625228867327,-0.42632073515582963,0.014656240892956085,2.724855219969746,0.007329056313418624,0.001819626517553129,0.0015501696398366736,8.03525611828613e-05,-0.00028039658673549166,0.004157432447700289,1.3626016042537215,0.33830085428883583,0.2882040398897691,0.014938966777100857,-0.05213070040320559,0.7729404551635239,0.014320520493684987,2.6624370066249163,2.4213409043585634,0.24109610226635309,1.3314863992040054,0.33762786796133737,0.7522266371932206,
37,1.3984545627893976,0.16441101020407256,0.3037155229992335,0.27178516345555737,7,8,2.420661915906365,2.564970839555504,ok,30.254092652642804,-0.0839763558583022,0.05658511791879824,30.260286300477205,-0.21675370630043145,0.11217747557588238,0.018841554028033527,2.4286802228299806,0.008182043984928158,0.003522301340960189,0.002340279972954813,1.6981772160143602e-07,-2.181523452039051e-05,0.004818574145989156,1.054667166994505,0.4540253735392314,0.30166257399701585,2.1889539542535307e-05,-0.002811988255174725,0.6211152070148607,0.018630946200888534,2.4015311753939703,2.1174677505429527,0.2840634248510173,1.0221726657669716,0.4451794312061174,0.6501156535698637,
38,1.0539373389937783,0.32058538095244354,0.47391701497202104,0.28756689080784836,7,7,2.0540237688268324,2.1128703294539966,ok,29.746200818075373,-0.37847459274984707,-1.4202824204492268,29.750777635719228,-0.3337371495910108,-1.3760062028175373,0.016255323834553508,2.9766189011871833,0.006428688547046822,0.0031773658415405357,0.003766389888346167,0.0004761877506773773,-0.0016228231145869849,0.004029514921529591,1.1771992999800334,0.5818282869155686,0.6896883411858171,0.08719786044293373,-0.297165778136942,0.7378708907997725,0.016432595749208606,3.009078250028568,2.511670402872441,0.49740784715612746,1.1686346117752604,0.5790612785780603,0.7639745125191202,
39,0.9854490663268253,0.24435446015817283,0.5880971411727625,0.12551307755084729,9,10,1.8164064648352531,5.113746591310805,ok,30.225951478711025,0.13715262997824873,-1.1179350504624361,30.211401394090412,0.06811000758745357,-1.2703730369945982,0.018519844019167713,2.495501482487315,0.007049971926814714,0.0024152286060276943,0.004769342162842982,7.89124826937722e-05,-0.0005933038543323349,0.004799692695120886,0.9499656355988421,0.32544586016220384,0.6426566241889328,0.010633254650808503,-0.07994617268479122,0.646746280571319,0.018074083220434994,2.435434679941839,1.8812465714885935,0.5541881084532461,0.9111692247590039,0.32642236907305144,0.6436549776565381,
40,0.9721990711003974,0.1694015411004398,0.4529026812479918,0.08487364954932287,7,2,3.2642883542088232,7.715469857529972,ok,30.508366852329477,0.8362630662158465,-0.4426570789903763,30.511640328556258,0.8017003153233375,-0.36405962949006754,0.022339166887193392,2.09741101424061,0.008062405294633571,0.002590245374805107,0.005692063508549234,1.9982497961782017e-05,0.0003103460103803459,0.005664124200863354,0.7569744096379233,0.2431965885807743,0.5344244374409673,0.00187614477875221,0.029138201244672635,0.5318012325575204,0.02230189867602218,2.0939104813356746,1.5277204882487996,0.566189993086875,0.7410592223900213,0.24884275712443332,0.5378185087343449,
