generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
19,1,10240,89.67226912500337,114.19360856950563,412.4924379750155,0.0,nan,nan,1.7195264043564848,0.3563214035189187,0.5376636719474017,0.13726611642166972,0.0,0.5857660967266186,15.117436099561976,9.600523678858146,2.466020979817176,15.82249968851565,10.87106508403436,308.50004635836234,2846.2142268831813,0.8434954138550856,0.7333123710888576,8.0
20,1,10752,92.35386541701155,116.42176482219537,400.2000834737167,0.0,nan,nan,1.7195264043564848,0.3563214035189187,0.5376636719474017,0.13726611642166972,0.0,0.5857660967266186,15.117436099561976,9.600523678858146,2.466020979817176,15.82249968851565,10.87106508403436,308.50004635836234,2846.2142268831813,0.8434954138550856,0.7333123710888576,8.0
21,2,11264,109.00925933301914,103.33067180640965,445.9469699987147,0.0,nan,nan,1.5524972172041658,0.25945121468845794,0.7289806123757429,0.11159417185932398,0.0,0.09018232120763206,1.9343361848447769,0.30031963030896147,2.39168181944709,15.099388286471367,8.93522452868439,480.0890120961785,2648.31357173046,0.6400395411140037,0.6043252683562321,8.0
22,2,11776,111.51573387504322,105.59944853338244,431.5174049947325,0.0,nan,nan,1.5524972172041658,0.25945121468845794,0.7289806123757429,0.11159417185932398,0.0,0.09018232120763206,1.9343361848447769,0.30031963030896147,2.39168181944709,15.099388286471367,8.93522452868439,480.0890120961785,2648.31357173046,0.6400395411140037,0.6043252683562321,8.0
23,2,12288,114.25447683304083,107.54939623027953,418.9330817211497,0.0,nan,nan,1.5524972172041658,0.25945121468845794,0.7289806123757429,0.11159417185932398,0.0,0.09018232120763206,1.9343361848447769,0.30031963030896147,2.39168181944709,15.099388286471367,8.93522452868439,480.0890120961785,2648.31357173046,0.6400395411140037,0.6043252683562321,8.0
24,2,12800,117.70511949999491,108.74633197242159,409.6138158599823,0.0,nan,nan,1.5524972172041658,0.25945121468845794,0.7289806123757429,0.11159417185932398,0.0,0.09018232120763206,1.9343361848447769,0.30031963030896147,2.39168181944709,15.099388286471367,8.93522452868439,480.0890120961785,2648.31357173046,0.6400395411140037,0.6043252683562321,8.0
25,2,13312,123.53657625004416,107.7575597777281,408.6209829809153,0.0,nan,nan,1.5524972172041658,0.25945121468845794,0.7289806123757429,0.11159417185932398,0.0,0.09018232120763206,1.9343361848447769,0.30031963030896147,2.39168181944709,15.099388286471367,8.93522452868439,480.0890120961785,2648.31357173046,0.6400395411140037,0.6043252683562321,8.0
26,2,13824,126.54493620799622,109.24182677114881,398.38220658072885,0.0,nan,nan,1.4282400078048123,0.2886229109560985,0.5633315937258364,0.1713115581125021,0.0,0.4279020490335832,1.5181337902892498,1.2011923128409254,2.8338429652734334,14.066030774518751,9.508428406478629,387.63978355201203,2874.084623724466,0.8792899362742901,0.8815739605677133,8.0
27,2,14336,129.1188799170195,111.02946377178364,387.35663975105854,0.0,nan,nan,1.4060993524572225,0.3648667082505355,0.39438354774751794,0.14664307539160282,0.0,0.5592476210245938,9.385540291059,3.454313154628239,2.9729922009743484,18.205422416281625,13.724815513645266,357.3083244523795,2932.590873563928,0.9523728090944901,0.85543795966088,6.0
28,2,14848,135.46670608303975,109.60626732075646,387.7150553411138,0.0,nan,nan,1.4060993524572225,0.3648667082505355,0.39438354774751794,0.14664307539160282,0.0,0.5592476210245938,9.385540291059,3.454313154628239,2.9729922009743484,18.205422416281625,13.724815513645266,357.3083244523795,2932.590873563928,0.9523728090944901,0.85543795966088,6.0
