score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
5.50512807512826,-5.50512807512826,262,1.5171435019026955,0.39444116906436105,0.7603003811414496,0.23987189087975969,65.0,21.0,2.1865153017975705,4.4420536788913125,16.325788204554225,10.48918418242858,359.535916037423,1598.7518693984543,0.9266093075156311,0.9961780644079046
5.5051144824019955,-5.5051144824019955,287,1.5188672683048656,0.39992019645022014,0.7964236978280769,0.1336179672388426,69.0,22.0,2.2055165259391076,4.458627575517227,18.525834403064778,12.34284101157075,297.90730961240746,1754.5535837178227,0.908472420202298,0.996287067600916
5.50500381105861,-5.50500381105861,263,1.5110051978596784,0.39817175350099043,0.835930311221663,0.2047989759868,66.0,21.0,2.1838799758119487,4.416884848385344,16.903057575311824,11.551672363042375,335.17509955203343,1730.9539238287286,0.9246730737180956,0.9935391410135332
5.504986549322258,-5.504986549322258,284,1.5215920207925238,0.3993065018701973,0.799456400249624,0.1616760282353628,66.0,21.0,2.2677648905933925,4.455051015443238,19.10949120471056,12.070262521146827,299.23079258366766,1935.4826721102465,0.929926375123223,0.9818084083122425
5.504980170357257,-5.504980170357257,250,1.5211939990409384,0.3991619574571426,0.8164372235306371,0.22864645254094834,67.0,22.0,2.213805318368852,4.456877747980023,17.271867836273895,12.225158496232922,314.17559886768015,1779.6136765507304,0.9107305504303049,0.9977639275711263
5.50482698923433,-5.50482698923433,230,1.5202788589465552,0.397171540027922,0.8227128018646224,0.1502115345292383,68.0,21.0,2.1947223269142926,4.410251084919821,17.58680954972216,11.881146137790054,316.72851837147937,1789.8425902224426,0.9270275413783979,0.994745286941157
5.5047296505631085,-5.5047296505631085,234,1.5213616051253853,0.39426143863007884,0.7818175267459686,0.1461975215487873,64.0,21.0,2.1901059030402816,4.436486652593613,17.70621705478368,12.41487820885488,306.3346352302375,1747.7183681356173,0.9444614726774554,0.9889997076388395
5.504678668795777,-5.504678668795777,299,1.515470699171554,0.39595449533099003,0.7935927520014068,0.17502280824336408,68.0,21.0,2.1570679358064386,4.460066289174352,19.3823389524226,12.292242749032258,297.3348222839205,1702.134888160088,0.9417464951604896,0.984077158919735
5.504660937399791,-5.504660937399791,242,1.513620185073844,0.394070936260243,0.7796914423875392,0.0995343949491525,65.0,21.0,2.17865190104411,4.475254234735955,18.642170646634618,12.983092712975722,286.3849519322854,1767.5583096398414,0.9403786000673924,0.9928829653040052
5.504602237697089,-5.504602237697089,234,1.5218340687313074,0.39280218273405965,0.792145462489898,0.16721511643668374,68.0,21.0,2.1923646664740373,4.4867407637067585,16.768373423585786,11.263796671949995,341.1757165891135,1856.4175004176152,0.9894192885720081,0.9915115223084018
5.504557906504884,-5.504557906504884,259,1.5220860500928128,0.39814789288866503,0.8244639983394458,0.18400497331055274,66.0,21.0,2.1925355225592593,4.478394227751247,18.21378860843161,11.707262642541211,320.40236688117034,1950.783235149608,0.9092634814438181,0.9733521098747753
5.504535493296599,-5.504535493296599,237,1.5090901265656833,0.39848462243614835,0.8237902562073032,0.1634834043642903,67.0,21.0,2.174648140808369,4.453998471018332,17.337997008442365,12.19156203916675,314.0659975207013,1929.963438302495,0.938368861411619,0.9980129311260193
5.504461835927253,-5.504461835927253,236,1.515780293508853,0.3963771267721768,0.8309224757301918,0.09295400087414891,68.0,20.0,2.1924927418053795,4.466815973074288,17.270768455326873,11.43791236608881,334.70956567046136,1654.869144738641,0.9184819125595929,0.9882356096906795
