test_name,sample_index,prop_diameter_in,prop_pitch_in,battery_capacity_mah,battery_capacity_ah,battery_cells,battery_voltage_v,motor_kv,motor_max_current_a,motor_max_power_w,motor_no_load_current_a,motor_resistance_ohm,commanded_throttle,commanded_throttle_percent,estimated_rpm,measured_static_thrust_g,measured_static_thrust_n,predicted_static_thrust_n,correction_factor,model_calculated_throttle,model_current_a,model_power_w,model_voltage_required_v,model_voltage_sag_v,raw_load_cell_g,zero_throttle_baseline_g
15x6_4500_run2,32,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.99,99.0,10413.0,3099.58,30.396496,59.957027999999994,0.5069713595543796,0.9902351583266898,59.04643657995526,1250.3985430799685,20.969742985279282,21.17652843261411,3997.96,898.38
15x6_4500_run2,33,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.95,95.0,10047.0,3043.99,29.851345,55.434732,0.5384953425949638,0.9503661294458347,54.721569336576174,1162.9150366605907,20.196698955539063,21.251492798166012,3942.37,898.38
15x6_4500_run2,34,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.89,89.0,9499.0,3010.83,29.526156,49.393601000000004,0.597772897748435,0.892319743521662,49.009969585580926,1046.3870547410506,19.05146720567699,21.350493860516597,3909.21,898.38
15x6_4500_run2,35,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.73,73.0,7899.9921875,2747.46,26.943379,33.581635367187495,0.8023248035837554,0.7282396549090091,34.05072062721221,735.8288372867485,15.737104198304625,21.60978750912832,3645.84,898.38
15x6_4500_run2,36,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.53,53.0,5843.703125,2400.47,23.540569,18.149535843749995,1.297034216338181,0.5282157586574172,19.418996251098555,424.5653615741181,11.548594565017577,21.86340406498096,3298.85,898.38
15x6_4500_run2,37,15.0,6.0,4500.0,4.5,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.17,17.0,1913.90625,1265.48,12.410119,1.9474354687499995,6.372544404752823,0.16885827855273375,3.5962003758281806,79.61148228623843,3.738128148320943,22.13766586015231,2163.86,898.38
14x8.5_4200,29,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.41,41.0,4564.234375,287.31,2.817549,10.797740203124995,0.26093876561176826,0.4096838965127535,13.453198850227981,295.29979837370536,8.99262497968057,21.950154878495766,1182.9,895.59
14x8.5_4200,30,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.44,44.0,4884.1015625,396.93,3.892554,12.282883554687496,0.3169088091301241,0.4394525256810322,15.038249139215914,329.64922205737804,9.633114991035146,21.920718230271703,1292.52,895.59
14x8.5_4200,31,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.51,51.0,5615.2265625,592.99,5.815245,16.3370198046875,0.35595506827576107,0.508615437808073,19.36475724298295,422.9334397941706,11.108348736080034,21.840368794058886,1488.58,895.59
14x8.5_4200,32,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.46,46.0,5112.0,831.26,8.151876,13.461079999999999,0.6055885560445373,0.4608544764688265,16.29563956111515,356.83159498079175,10.091499463747073,21.897366693865003,1726.85,895.59
14x8.5_4200,33,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.54,54.0,5935.09375,841.06,8.247981,18.165060781250006,0.45405744023238137,0.539103662903834,21.31558836789118,464.7680531998958,11.754691240809336,21.804139073167736,1736.65,895.59
14x8.5_4200,34,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.6,60.0,6574.0,1149.91,11.276765,22.444366000000002,0.5024318797866689,0.6010868604091216,25.837335034080525,561.1911485256973,13.05570505285298,21.720163777938502,2045.5,895.59
14x8.5_4200,35,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.66,66.0,7168.8671875,1481.61,14.529631,26.684623398437502,0.5444945121785294,0.6595680218557621,30.3063252948123,655.7430592771549,14.271184257601611,21.637168244524915,2377.2,895.59
14x8.5_4200,36,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.78,78.0,8356.9453125,1943.55,19.059715,36.524417617187495,0.5218348776909989,0.7797365176187819,40.65185814928121,871.7805988813848,16.721478408273114,21.445036920084778,2839.14,895.59
